,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
1,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
2,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
3,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
4,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
5,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
6,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
7,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
8,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
9,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
10,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
11,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
12,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
13,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
14,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
15,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
16,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
17,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
18,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
19,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
20,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
21,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
22,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
23,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
24,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
25,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
26,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
27,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
28,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
29,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
30,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
31,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
32,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
33,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
34,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
35,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
36,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
37,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
38,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
39,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
40,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
41,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
42,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
43,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
44,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
45,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
46,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
47,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
48,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
49,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
50,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
51,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
52,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
53,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
54,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
55,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
56,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
57,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
58,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
59,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
60,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
61,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
62,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
63,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
64,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
65,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
66,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
67,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
68,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
69,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
70,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
71,0.27,10.421,5.614,9.945,41.58,10.917,19.927,7.394
72,0.26,9.567,5.147,8.817,36.363,9.787,17.967,6.805
73,0.27,10.421,5.614,9.945,41.58,10.917,19.927,7.394
74,0.27,10.421,5.614,9.945,41.58,10.917,19.927,7.394
75,0.28,11.318,6.106,11.172,47.327,12.131,22.021,8.012
76,0.28,11.318,6.106,11.172,47.327,12.131,22.021,8.012
77,0.28,11.318,6.106,11.172,47.327,12.131,22.021,8.012
78,0.28,11.318,6.106,11.172,47.327,12.131,22.021,8.012
79,0.28,11.318,6.106,11.172,47.327,12.131,22.021,8.012
80,0.29,12.259,6.622,12.501,53.638,13.434,24.256,8.659
81,0.29,12.259,6.622,12.501,53.638,13.434,24.256,8.659
82,0.31,14.275,7.731,15.491,68.096,16.317,29.164,10.04
83,0.3,13.244,7.164,13.939,60.549,14.828,26.635,9.335
84,0.3,13.244,7.164,13.939,60.549,14.828,26.635,9.335
85,0.33,16.475,8.943,18.955,85.252,19.594,34.689,11.541
86,0.32,15.351,8.324,17.161,76.317,17.904,31.847,10.775
87,0.35,18.865,10.264,22.94,105.423,23.295,40.87,13.165
88,0.33,16.475,8.943,18.955,85.252,19.594,34.689,11.541
89,0.33,16.475,8.943,18.955,85.252,19.594,34.689,11.541
90,0.34,17.646,9.59,20.88,94.94,21.39,37.695,12.337
91,0.34,17.646,9.59,20.88,94.94,21.39,37.695,12.337
92,0.34,17.646,9.59,20.88,94.94,21.39,37.695,12.337
93,0.35,18.865,10.264,22.94,105.423,23.295,40.87,13.165
94,0.35,18.865,10.264,22.94,105.423,23.295,40.87,13.165
95,0.35,18.865,10.264,22.94,105.423,23.295,40.87,13.165
96,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
97,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
98,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
99,0.35,18.865,10.264,22.94,105.423,23.295,40.87,13.165
100,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
101,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
102,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
103,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
104,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
105,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
106,0.35,18.865,10.264,22.94,105.423,23.295,40.87,13.165
107,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
108,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
109,0.35,18.865,10.264,22.94,105.423,23.295,40.87,13.165
110,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
111,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
112,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
113,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
114,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
115,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
116,0.39,24.241,13.243,32.655,156.189,32.088,55.363,16.798
117,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
118,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
119,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
120,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
121,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
122,0.36,20.133,10.965,25.141,116.745,25.314,44.22,14.024
123,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
124,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
125,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
126,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
127,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
128,0.37,21.451,11.696,27.49,128.949,27.449,47.748,14.916
129,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
130,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
131,0.39,24.241,13.243,32.655,156.189,32.088,55.363,16.798
132,0.39,24.241,13.243,32.655,156.189,32.088,55.363,16.798
133,0.4,25.714,14.062,35.483,171.322,34.599,59.461,17.789
134,0.38,22.82,12.455,29.992,142.081,29.706,51.461,15.841
135,0.39,24.241,13.243,32.655,156.189,32.088,55.363,16.798
136,0.39,24.241,13.243,32.655,156.189,32.088,55.363,16.798
137,0.4,25.714,14.062,35.483,171.322,34.599,59.461,17.789
138,0.4,25.714,14.062,35.483,171.322,34.599,59.461,17.789
139,0.41,27.24,14.911,38.484,187.528,37.242,63.759,18.815
140,0.4,25.714,14.062,35.483,171.322,34.599,59.461,17.789
141,0.41,27.24,14.911,38.484,187.528,37.242,63.759,18.815
142,0.43,30.455,16.702,45.032,223.372,42.946,72.978,20.97
143,0.42,28.82,15.79,41.665,204.86,40.023,68.263,19.875
144,0.42,28.82,15.79,41.665,204.86,40.023,68.263,19.875
145,0.4,25.714,14.062,35.483,171.322,34.599,59.461,17.789
146,0.42,28.82,15.79,41.665,204.86,40.023,68.263,19.875
147,0.43,30.455,16.702,45.032,223.372,42.946,72.978,20.97
148,0.42,28.82,15.79,41.665,204.86,40.023,68.263,19.875
149,0.43,30.455,16.702,45.032,223.372,42.946,72.978,20.97
150,0.43,30.455,16.702,45.032,223.372,42.946,72.978,20.97
151,0.43,30.455,16.702,45.032,223.372,42.946,72.978,20.97
152,0.44,32.145,17.645,48.592,243.117,46.014,77.91,22.101
153,0.44,32.145,17.645,48.592,243.117,46.014,77.91,22.101
154,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
155,0.45,33.893,18.62,52.353,264.152,49.232,83.066,23.268
156,0.44,32.145,17.645,48.592,243.117,46.014,77.91,22.101
157,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
158,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
159,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
160,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
161,0.45,33.893,18.62,52.353,264.152,49.232,83.066,23.268
162,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
163,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
164,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
165,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
166,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
167,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
168,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
169,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
170,0.49,41.466,22.857,69.549,362.381,63.696,106.033,28.306
171,0.49,41.466,22.857,69.549,362.381,63.696,106.033,28.306
172,0.49,41.466,22.857,69.549,362.381,63.696,106.033,28.306
173,0.5,43.51,24.003,74.425,390.772,67.733,112.392,29.662
174,0.5,43.51,24.003,74.425,390.772,67.733,112.392,29.662
175,0.49,41.466,22.857,69.549,362.381,63.696,106.033,28.306
176,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
177,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
178,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
179,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
180,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
181,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
182,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
183,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
184,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
185,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
186,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
187,0.46,35.698,19.629,56.322,286.535,52.605,88.45,24.471
188,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
189,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
190,0.47,37.561,20.671,60.506,310.327,56.137,94.068,25.712
191,0.49,41.466,22.857,69.549,362.381,63.696,106.033,28.306
192,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
193,0.48,39.483,21.747,64.912,335.587,59.832,99.927,26.99
