,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
1,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
2,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
3,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
4,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
5,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
6,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
7,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
8,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
9,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
10,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
11,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
12,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
13,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
14,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
15,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
16,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
17,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
18,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
19,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
20,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
21,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
22,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
23,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
24,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
25,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
26,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
27,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
28,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
29,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
30,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
31,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
32,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
33,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
34,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
35,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
36,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
37,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
38,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
39,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
40,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
41,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
42,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
43,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
