,volt,lpg,co,ch4
0,0.02,0.006,0.001,0.003
1,0.02,0.006,0.001,0.003
2,0.02,0.006,0.001,0.003
3,0.03,0.051,0.012,0.068
4,0.02,0.006,0.001,0.003
5,0.03,0.051,0.012,0.068
6,0.03,0.051,0.012,0.068
7,0.02,0.006,0.001,0.003
8,0.02,0.006,0.001,0.003
9,0.03,0.051,0.012,0.068
10,0.02,0.006,0.001,0.003
11,0.01,0.0,0.0,0.0
12,0.02,0.006,0.001,0.003
13,0.02,0.006,0.001,0.003
14,0.02,0.006,0.001,0.003
15,0.02,0.006,0.001,0.003
16,0.03,0.051,0.012,0.068
17,0.02,0.006,0.001,0.003
18,0.02,0.006,0.001,0.003
19,0.02,0.006,0.001,0.003
20,0.03,0.051,0.012,0.068
21,0.02,0.006,0.001,0.003
22,0.02,0.006,0.001,0.003
23,0.01,0.0,0.0,0.0
24,0.02,0.006,0.001,0.003
25,0.02,0.006,0.001,0.003
26,0.03,0.051,0.012,0.068
27,0.02,0.006,0.001,0.003
28,0.02,0.006,0.001,0.003
29,0.02,0.006,0.001,0.003
30,0.03,0.051,0.012,0.068
31,0.02,0.006,0.001,0.003
32,0.02,0.006,0.001,0.003
33,0.02,0.006,0.001,0.003
34,0.03,0.051,0.012,0.068
35,0.03,0.051,0.012,0.068
36,0.03,0.051,0.012,0.068
37,0.02,0.006,0.001,0.003
38,0.03,0.051,0.012,0.068
39,0.03,0.051,0.012,0.068
40,0.02,0.006,0.001,0.003
41,0.02,0.006,0.001,0.003
42,0.03,0.051,0.012,0.068
43,0.02,0.006,0.001,0.003
44,0.02,0.006,0.001,0.003
45,0.02,0.006,0.001,0.003
46,0.02,0.006,0.001,0.003
47,0.02,0.006,0.001,0.003
48,0.03,0.051,0.012,0.068
49,0.02,0.006,0.001,0.003
50,0.03,0.051,0.012,0.068
51,0.02,0.006,0.001,0.003
52,0.02,0.006,0.001,0.003
53,0.02,0.006,0.001,0.003
54,0.02,0.006,0.001,0.003
55,0.03,0.051,0.012,0.068
56,0.02,0.006,0.001,0.003
57,0.03,0.051,0.012,0.068
58,0.02,0.006,0.001,0.003
59,0.02,0.006,0.001,0.003
60,0.02,0.006,0.001,0.003
61,0.02,0.006,0.001,0.003
62,0.02,0.006,0.001,0.003
63,0.02,0.006,0.001,0.003
64,0.02,0.006,0.001,0.003
65,0.03,0.051,0.012,0.068
66,0.02,0.006,0.001,0.003
67,0.02,0.006,0.001,0.003
68,0.03,0.051,0.012,0.068
69,0.02,0.006,0.001,0.003
70,0.02,0.006,0.001,0.003
71,0.02,0.006,0.001,0.003
72,0.02,0.006,0.001,0.003
73,0.03,0.051,0.012,0.068
74,0.02,0.006,0.001,0.003
75,0.03,0.051,0.012,0.068
76,0.02,0.006,0.001,0.003
77,0.02,0.006,0.001,0.003
78,0.02,0.006,0.001,0.003
79,0.02,0.006,0.001,0.003
80,0.03,0.051,0.012,0.068
81,0.02,0.006,0.001,0.003
82,0.02,0.006,0.001,0.003
83,0.03,0.051,0.012,0.068
84,0.03,0.051,0.012,0.068
85,0.02,0.006,0.001,0.003
86,0.02,0.006,0.001,0.003
87,0.02,0.006,0.001,0.003
88,0.02,0.006,0.001,0.003
89,0.02,0.006,0.001,0.003
90,0.02,0.006,0.001,0.003
91,0.03,0.051,0.012,0.068
92,0.02,0.006,0.001,0.003
93,0.02,0.006,0.001,0.003
94,0.02,0.006,0.001,0.003
95,0.02,0.006,0.001,0.003
96,0.02,0.006,0.001,0.003
97,0.03,0.051,0.012,0.068
98,0.02,0.006,0.001,0.003
99,0.02,0.006,0.001,0.003
100,0.02,0.006,0.001,0.003
101,0.02,0.006,0.001,0.003
102,0.03,0.051,0.012,0.068
103,0.02,0.006,0.001,0.003
104,0.02,0.006,0.001,0.003
105,0.03,0.051,0.012,0.068
106,0.02,0.006,0.001,0.003
107,0.02,0.006,0.001,0.003
108,0.02,0.006,0.001,0.003
109,0.03,0.051,0.012,0.068
110,0.03,0.051,0.012,0.068
111,0.02,0.006,0.001,0.003
112,0.03,0.051,0.012,0.068
113,0.02,0.006,0.001,0.003
114,0.03,0.051,0.012,0.068
115,0.03,0.051,0.012,0.068
116,0.02,0.006,0.001,0.003
117,0.03,0.051,0.012,0.068
118,0.03,0.051,0.012,0.068
119,0.02,0.006,0.001,0.003
120,0.02,0.006,0.001,0.003
121,0.02,0.006,0.001,0.003
122,0.01,0.0,0.0,0.0
123,0.03,0.051,0.012,0.068
124,0.02,0.006,0.001,0.003
125,0.02,0.006,0.001,0.003
126,0.02,0.006,0.001,0.003
127,0.02,0.006,0.001,0.003
128,0.02,0.006,0.001,0.003
129,0.02,0.006,0.001,0.003
130,0.03,0.051,0.012,0.068
131,0.02,0.006,0.001,0.003
132,0.02,0.006,0.001,0.003
133,0.02,0.006,0.001,0.003
134,0.02,0.006,0.001,0.003
135,0.02,0.006,0.001,0.003
136,0.03,0.051,0.012,0.068
137,0.02,0.006,0.001,0.003
138,0.02,0.006,0.001,0.003
139,0.02,0.006,0.001,0.003
140,0.03,0.051,0.012,0.068
141,0.02,0.006,0.001,0.003
142,0.03,0.051,0.012,0.068
143,0.02,0.006,0.001,0.003
144,0.02,0.006,0.001,0.003
145,0.02,0.006,0.001,0.003
146,0.02,0.006,0.001,0.003
147,0.02,0.006,0.001,0.003
148,0.02,0.006,0.001,0.003
149,0.02,0.006,0.001,0.003
150,0.02,0.006,0.001,0.003
151,0.02,0.006,0.001,0.003
152,0.02,0.006,0.001,0.003
153,0.02,0.006,0.001,0.003
154,0.03,0.051,0.012,0.068
155,0.02,0.006,0.001,0.003
156,0.02,0.006,0.001,0.003
157,0.02,0.006,0.001,0.003
158,0.02,0.006,0.001,0.003
159,0.03,0.051,0.012,0.068
160,0.02,0.006,0.001,0.003
161,0.02,0.006,0.001,0.003
162,0.02,0.006,0.001,0.003
163,0.02,0.006,0.001,0.003
164,0.02,0.006,0.001,0.003
165,0.02,0.006,0.001,0.003
166,0.02,0.006,0.001,0.003
167,0.03,0.051,0.012,0.068
168,0.02,0.006,0.001,0.003
169,0.02,0.006,0.001,0.003
170,0.02,0.006,0.001,0.003
171,0.02,0.006,0.001,0.003
172,0.02,0.006,0.001,0.003
173,0.03,0.051,0.012,0.068
174,0.02,0.006,0.001,0.003
175,0.02,0.006,0.001,0.003
176,0.02,0.006,0.001,0.003
177,0.02,0.006,0.001,0.003
178,0.03,0.051,0.012,0.068
179,0.02,0.006,0.001,0.003
180,0.03,0.051,0.012,0.068
