,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
1,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
2,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
3,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
4,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
5,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
6,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
7,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
8,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
9,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
10,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
11,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
12,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
13,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
14,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
15,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
16,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
17,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
18,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
19,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
20,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
21,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
22,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
23,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
24,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
25,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
26,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
27,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
28,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
29,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
30,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
31,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
32,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
33,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
34,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
35,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
36,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
37,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
38,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
39,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
40,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
41,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
42,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
43,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
44,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
45,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
46,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
47,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
48,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
49,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
50,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
51,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
52,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
53,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
54,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
55,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
56,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
57,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
58,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
59,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
60,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
61,0.11,4.811,2.558,3.348,12.376,4.068,7.817,3.488
62,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
63,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
64,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
65,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
66,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
67,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
68,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
69,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
70,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
71,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
72,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
73,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
74,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
75,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
76,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
77,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
