,volt,co,h2,lpg,ch4,alcohol
0,0.11,0.802,0.604,0.088,0.205,1.256
1,0.11,0.802,0.604,0.088,0.205,1.256
2,0.11,0.802,0.604,0.088,0.205,1.256
3,0.11,0.802,0.604,0.088,0.205,1.256
4,0.12,0.914,0.687,0.147,0.427,2.393
5,0.11,0.802,0.604,0.088,0.205,1.256
6,0.11,0.802,0.604,0.088,0.205,1.256
7,0.11,0.802,0.604,0.088,0.205,1.256
8,0.12,0.914,0.687,0.147,0.427,2.393
9,0.12,0.914,0.687,0.147,0.427,2.393
10,0.11,0.802,0.604,0.088,0.205,1.256
11,0.12,0.914,0.687,0.147,0.427,2.393
12,0.12,0.914,0.687,0.147,0.427,2.393
13,0.11,0.802,0.604,0.088,0.205,1.256
14,0.13,1.031,0.774,0.236,0.843,4.334
15,0.12,0.914,0.687,0.147,0.427,2.393
16,0.11,0.802,0.604,0.088,0.205,1.256
17,0.12,0.914,0.687,0.147,0.427,2.393
18,0.12,0.914,0.687,0.147,0.427,2.393
19,0.12,0.914,0.687,0.147,0.427,2.393
20,0.11,0.802,0.604,0.088,0.205,1.256
21,0.11,0.802,0.604,0.088,0.205,1.256
22,0.11,0.802,0.604,0.088,0.205,1.256
23,0.11,0.802,0.604,0.088,0.205,1.256
24,0.12,0.914,0.687,0.147,0.427,2.393
25,0.12,0.914,0.687,0.147,0.427,2.393
26,0.12,0.914,0.687,0.147,0.427,2.393
27,0.12,0.914,0.687,0.147,0.427,2.393
28,0.12,0.914,0.687,0.147,0.427,2.393
29,0.11,0.802,0.604,0.088,0.205,1.256
30,0.11,0.802,0.604,0.088,0.205,1.256
31,0.12,0.914,0.687,0.147,0.427,2.393
32,0.12,0.914,0.687,0.147,0.427,2.393
33,0.11,0.802,0.604,0.088,0.205,1.256
34,0.12,0.914,0.687,0.147,0.427,2.393
35,0.12,0.914,0.687,0.147,0.427,2.393
36,0.11,0.802,0.604,0.088,0.205,1.256
37,0.12,0.914,0.687,0.147,0.427,2.393
38,0.12,0.914,0.687,0.147,0.427,2.393
39,0.12,0.914,0.687,0.147,0.427,2.393
40,0.12,0.914,0.687,0.147,0.427,2.393
41,0.12,0.914,0.687,0.147,0.427,2.393
42,0.11,0.802,0.604,0.088,0.205,1.256
43,0.12,0.914,0.687,0.147,0.427,2.393
44,0.11,0.802,0.604,0.088,0.205,1.256
45,0.12,0.914,0.687,0.147,0.427,2.393
46,0.11,0.802,0.604,0.088,0.205,1.256
47,0.11,0.802,0.604,0.088,0.205,1.256
48,0.12,0.914,0.687,0.147,0.427,2.393
49,0.12,0.914,0.687,0.147,0.427,2.393
50,0.11,0.802,0.604,0.088,0.205,1.256
51,0.12,0.914,0.687,0.147,0.427,2.393
52,0.12,0.914,0.687,0.147,0.427,2.393
53,0.11,0.802,0.604,0.088,0.205,1.256
54,0.12,0.914,0.687,0.147,0.427,2.393
55,0.11,0.802,0.604,0.088,0.205,1.256
56,0.11,0.802,0.604,0.088,0.205,1.256
57,0.11,0.802,0.604,0.088,0.205,1.256
58,0.12,0.914,0.687,0.147,0.427,2.393
59,0.12,0.914,0.687,0.147,0.427,2.393
60,0.12,0.914,0.687,0.147,0.427,2.393
61,0.12,0.914,0.687,0.147,0.427,2.393
62,0.12,0.914,0.687,0.147,0.427,2.393
63,0.12,0.914,0.687,0.147,0.427,2.393
64,0.12,0.914,0.687,0.147,0.427,2.393
65,0.12,0.914,0.687,0.147,0.427,2.393
66,0.11,0.802,0.604,0.088,0.205,1.256
67,0.12,0.914,0.687,0.147,0.427,2.393
68,0.11,0.802,0.604,0.088,0.205,1.256
69,0.11,0.802,0.604,0.088,0.205,1.256
70,0.12,0.914,0.687,0.147,0.427,2.393
71,0.11,0.802,0.604,0.088,0.205,1.256
72,0.12,0.914,0.687,0.147,0.427,2.393
73,0.12,0.914,0.687,0.147,0.427,2.393
74,0.12,0.914,0.687,0.147,0.427,2.393
