id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.18,0.60,0.02,1.08,0.14,0.22
2,0.18,0.60,0.01,1.08,0.13,0.24
3,0.18,0.60,0.01,1.08,0.13,0.23
4,0.17,0.59,0.02,1.08,0.13,0.23
5,0.18,0.61,0.01,1.08,0.13,0.23
6,0.18,0.60,0.01,1.09,0.13,0.23
7,0.18,0.60,0.01,1.08,0.13,0.23
8,0.18,0.60,0.01,1.09,0.13,0.24
9,0.18,0.60,0.01,1.08,0.13,0.23
10,0.18,0.60,0.02,1.08,0.13,0.22
11,0.18,0.60,0.01,1.08,0.13,0.23
12,0.18,0.60,0.01,1.08,0.13,0.22
13,0.18,0.60,0.02,1.08,0.13,0.23
14,0.19,0.60,0.01,1.08,0.12,0.22
15,0.19,0.61,0.02,1.09,0.13,0.23
16,0.19,0.60,0.01,1.08,0.15,0.24
17,0.18,0.60,0.01,1.09,0.14,0.23
18,0.19,0.60,0.01,1.08,0.13,0.22
19,0.18,0.60,0.01,1.09,0.12,0.23
20,0.18,0.60,0.01,1.08,0.13,0.23
21,0.19,0.61,0.01,1.09,0.12,0.23
22,0.18,0.61,0.01,1.09,0.13,0.23
23,0.18,0.61,0.01,1.08,0.12,0.24
24,0.18,0.61,0.01,1.09,0.13,0.22
25,0.19,0.60,0.01,1.09,0.15,0.24
26,0.18,0.60,0.01,1.09,0.14,0.22
27,0.18,0.61,0.02,1.09,0.13,0.24
28,0.18,0.61,0.01,1.09,0.13,0.23
29,0.18,0.60,0.01,1.09,0.13,0.25
30,0.19,0.61,0.02,1.09,0.13,0.23
31,0.18,0.60,0.01,1.09,0.13,0.23
32,0.18,0.61,0.02,1.09,0.12,0.24
33,0.19,0.60,0.02,1.09,0.13,0.23
34,0.18,0.61,0.01,1.09,0.13,0.23
35,0.19,0.61,0.01,1.09,0.13,0.24
36,0.18,0.61,0.02,1.09,0.13,0.23
37,0.18,0.60,0.01,1.09,0.14,0.22
38,0.18,0.61,0.01,1.09,0.13,0.23
39,0.18,0.61,0.01,1.09,0.12,0.22
40,0.18,0.61,0.02,1.08,0.12,0.23
41,0.17,0.61,0.01,1.09,0.14,0.24
42,0.18,0.61,0.01,1.09,0.13,0.23
43,0.18,0.61,0.01,1.08,0.14,0.23
44,0.18,0.61,0.02,1.09,0.14,0.23
45,0.18,0.61,0.01,1.09,0.13,0.23
46,0.17,0.61,0.01,1.09,0.13,0.24
47,0.18,0.61,0.01,1.09,0.13,0.23
48,0.18,0.61,0.01,1.09,0.13,0.23
49,0.18,0.61,0.01,1.09,0.14,0.22
50,0.18,0.61,0.01,1.09,0.13,0.24
51,0.18,0.60,0.02,1.09,0.13,0.22
52,0.18,0.61,0.02,1.09,0.13,0.22
53,0.18,0.61,0.01,1.09,0.13,0.23
54,0.19,0.60,0.01,1.09,0.14,0.23
55,0.18,0.61,0.01,1.09,0.13,0.23
56,0.18,0.61,0.01,1.09,0.13,0.23
57,0.18,0.61,0.02,1.09,0.13,0.22
58,0.18,0.61,0.01,1.09,0.13,0.23
59,0.18,0.62,0.02,1.08,0.13,0.23
60,0.18,0.62,0.01,1.09,0.14,0.23
61,0.18,0.61,0.01,1.09,0.13,0.23
62,0.18,0.61,0.02,1.09,0.13,0.23
63,0.18,0.61,0.01,1.09,0.14,0.22
64,0.18,0.62,0.02,1.09,0.14,0.23
65,0.19,0.61,0.00,1.10,0.14,0.23
66,0.18,0.62,0.01,1.10,0.13,0.23
67,0.18,0.61,0.01,1.11,0.14,0.23
68,0.18,0.62,0.01,1.12,0.13,0.23
69,0.17,0.63,0.01,1.12,0.14,0.22
70,0.18,0.64,0.00,1.15,0.13,0.25
71,0.18,0.67,0.01,1.17,0.13,0.25
72,0.18,0.70,0.00,1.21,0.14,0.27
73,0.18,0.70,0.01,1.25,0.13,0.26
74,0.18,0.72,0.01,1.27,0.13,0.27
75,0.19,0.73,0.00,1.28,0.12,0.27
76,0.18,0.74,0.01,1.29,0.13,0.28
77,0.18,0.74,0.01,1.28,0.13,0.28
78,0.19,0.74,0.01,1.29,0.14,0.28
