id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.18,0.57,0.01,1.04,0.12,0.22
2,0.17,0.57,0.02,1.04,0.13,0.22
3,0.18,0.57,0.02,1.04,0.13,0.22
4,0.18,0.58,0.01,1.03,0.14,0.23
5,0.18,0.58,0.01,1.04,0.13,0.22
6,0.17,0.57,0.03,1.03,0.12,0.24
7,0.19,0.57,0.02,1.04,0.13,0.22
8,0.18,0.57,0.01,1.04,0.14,0.23
9,0.17,0.58,0.02,1.04,0.12,0.23
10,0.18,0.57,0.01,1.04,0.13,0.22
11,0.17,0.57,0.01,1.04,0.12,0.22
12,0.18,0.57,0.01,1.04,0.13,0.22
13,0.18,0.57,0.02,1.03,0.13,0.22
14,0.18,0.57,0.01,1.04,0.13,0.22
15,0.19,0.57,0.01,1.05,0.14,0.23
16,0.18,0.58,0.01,1.04,0.12,0.22
17,0.18,0.57,0.01,1.04,0.13,0.22
18,0.18,0.58,0.01,1.05,0.13,0.22
19,0.18,0.57,0.01,1.04,0.13,0.23
20,0.18,0.57,0.01,1.03,0.12,0.22
21,0.18,0.57,0.01,1.05,0.12,0.22
22,0.17,0.57,0.02,1.03,0.12,0.23
23,0.18,0.57,0.02,1.04,0.12,0.22
24,0.18,0.57,0.01,1.04,0.13,0.22
25,0.18,0.57,0.02,1.03,0.13,0.23
26,0.18,0.57,0.01,1.04,0.13,0.23
27,0.17,0.57,0.01,1.04,0.14,0.23
28,0.17,0.57,0.01,1.04,0.12,0.23
29,0.18,0.57,0.01,1.04,0.13,0.22
30,0.18,0.57,0.01,1.04,0.13,0.22
31,0.18,0.57,0.02,1.03,0.12,0.22
32,0.17,0.57,0.00,1.04,0.14,0.23
33,0.18,0.57,0.00,1.03,0.14,0.22
34,0.18,0.57,0.01,1.04,0.13,0.22
35,0.18,0.57,0.02,1.03,0.12,0.22
36,0.17,0.57,0.03,1.04,0.13,0.22
37,0.18,0.57,0.01,1.04,0.13,0.22
38,0.18,0.56,0.01,1.04,0.13,0.22
39,0.18,0.57,0.01,1.04,0.12,0.22
40,0.18,0.57,0.03,1.04,0.15,0.23
41,0.18,0.57,0.02,1.04,0.13,0.22
42,0.18,0.57,0.01,1.04,0.13,0.22
43,0.17,0.57,0.00,1.04,0.13,0.23
44,0.18,0.58,0.02,1.05,0.14,0.22
45,0.18,0.57,0.01,1.04,0.13,0.22
46,0.18,0.56,0.02,1.04,0.12,0.23
47,0.17,0.57,0.01,1.04,0.13,0.22
48,0.18,0.57,0.01,1.04,0.13,0.22
49,0.18,0.56,0.01,1.04,0.12,0.23
50,0.18,0.58,0.01,1.04,0.13,0.23
51,0.18,0.57,0.01,1.04,0.13,0.22
52,0.18,0.57,0.02,1.04,0.13,0.22
53,0.18,0.57,0.01,1.04,0.12,0.22
54,0.18,0.57,0.01,1.04,0.11,0.21
55,0.17,0.57,0.01,1.03,0.12,0.22
56,0.18,0.57,0.02,1.04,0.13,0.23
57,0.18,0.57,0.01,1.03,0.14,0.22
58,0.18,0.57,0.00,1.03,0.13,0.22
59,0.18,0.57,0.01,1.03,0.13,0.22
60,0.18,0.57,0.01,1.03,0.13,0.22
61,0.18,0.57,0.02,1.03,0.13,0.21
62,0.19,0.56,0.02,1.03,0.13,0.22
63,0.18,0.56,0.01,1.03,0.12,0.22
64,0.18,0.57,0.01,1.03,0.13,0.22
65,0.19,0.57,0.01,1.02,0.12,0.22
66,0.18,0.57,0.01,1.03,0.13,0.22
67,0.18,0.57,0.01,1.03,0.13,0.21
68,0.18,0.57,0.02,1.03,0.12,0.23
69,0.18,0.57,0.02,1.03,0.13,0.23
70,0.17,0.58,0.02,1.04,0.14,0.22
71,0.18,0.58,0.02,1.04,0.13,0.22
72,0.18,0.57,0.01,1.03,0.13,0.22
73,0.17,0.57,0.01,1.04,0.14,0.22
74,0.18,0.58,0.02,1.03,0.13,0.23
75,0.18,0.58,0.02,1.02,0.12,0.23
76,0.18,0.58,0.01,1.03,0.13,0.22
77,0.18,0.57,0.01,1.03,0.13,0.22
78,0.19,0.56,0.01,1.04,0.13,0.22
79,0.18,0.57,0.02,1.04,0.13,0.23
80,0.18,0.57,0.02,1.04,0.13,0.22
81,0.18,0.57,0.01,1.03,0.13,0.22
82,0.18,0.57,0.01,1.03,0.13,0.22
83,0.18,0.57,0.01,1.03,0.14,0.23
84,0.18,0.57,0.01,1.03,0.13,0.23
85,0.18,0.57,0.01,1.03,0.13,0.23
86,0.18,0.58,0.02,1.03,0.12,0.22
87,0.18,0.57,0.01,1.03,0.13,0.22
88,0.17,0.57,0.01,1.04,0.14,0.24
89,0.18,0.57,0.02,1.03,0.13,0.22
90,0.18,0.57,0.01,1.03,0.13,0.22
91,0.18,0.57,0.02,1.03,0.14,0.22
92,0.17,0.57,0.01,1.03,0.13,0.22
93,0.17,0.57,0.02,1.03,0.12,0.23
94,0.18,0.57,0.02,1.02,0.13,0.22
95,0.18,0.57,0.01,1.03,0.13,0.22
96,0.18,0.57,0.01,1.03,0.13,0.22
97,0.18,0.57,0.01,1.03,0.13,0.22
98,0.18,0.57,0.02,1.03,0.12,0.23
99,0.18,0.56,0.01,1.03,0.12,0.23
100,0.18,0.57,0.01,1.03,0.13,0.22
101,0.18,0.57,0.02,1.03,0.15,0.23
102,0.18,0.57,0.01,1.03,0.12,0.22
103,0.18,0.57,0.01,1.03,0.13,0.22
104,0.18,0.57,0.02,1.03,0.14,0.21
105,0.18,0.57,0.01,1.03,0.12,0.22
106,0.18,0.57,0.02,1.03,0.11,0.22
