id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.18,0.58,0.01,1.04,0.14,0.22
2,0.18,0.58,0.01,1.04,0.13,0.22
3,0.17,0.57,0.01,1.04,0.14,0.23
4,0.18,0.58,0.02,1.04,0.12,0.23
5,0.18,0.58,0.01,1.05,0.13,0.22
6,0.18,0.57,0.02,1.05,0.13,0.22
7,0.18,0.58,0.02,1.05,0.13,0.22
8,0.17,0.57,0.02,1.05,0.13,0.22
9,0.19,0.57,0.01,1.05,0.13,0.23
10,0.18,0.57,0.01,1.04,0.13,0.23
11,0.18,0.57,0.01,1.05,0.14,0.24
12,0.18,0.59,0.01,1.04,0.13,0.23
13,0.17,0.56,0.01,1.05,0.14,0.23
14,0.18,0.58,0.00,1.05,0.15,0.23
15,0.18,0.58,0.01,1.04,0.13,0.22
16,0.17,0.57,0.01,1.04,0.13,0.23
17,0.17,0.57,0.02,1.05,0.14,0.22
18,0.18,0.58,0.03,1.04,0.15,0.22
19,0.18,0.57,0.02,1.04,0.13,0.22
20,0.18,0.57,0.01,1.04,0.13,0.23
21,0.18,0.57,0.01,1.04,0.12,0.22
22,0.18,0.58,0.01,1.04,0.13,0.23
23,0.17,0.57,0.02,1.04,0.13,0.22
24,0.17,0.58,0.01,1.03,0.13,0.23
25,0.18,0.57,0.02,1.04,0.13,0.22
26,0.18,0.57,0.02,1.04,0.14,0.22
27,0.18,0.58,0.01,1.04,0.12,0.23
28,0.18,0.57,0.01,1.05,0.14,0.22
29,0.17,0.58,0.02,1.04,0.14,0.22
30,0.18,0.57,0.02,1.04,0.13,0.22
31,0.18,0.58,0.02,1.04,0.14,0.22
32,0.17,0.57,0.01,1.04,0.14,0.23
33,0.19,0.57,0.02,1.05,0.13,0.23
34,0.18,0.58,0.01,1.04,0.12,0.23
35,0.18,0.57,0.01,1.04,0.13,0.22
36,0.18,0.57,0.02,1.04,0.13,0.23
37,0.18,0.57,0.02,1.04,0.14,0.22
38,0.18,0.58,0.02,1.04,0.11,0.23
39,0.18,0.58,0.02,1.05,0.13,0.24
40,0.18,0.57,0.01,1.04,0.13,0.22
41,0.18,0.58,0.01,1.04,0.13,0.22
42,0.18,0.57,0.02,1.04,0.14,0.23
43,0.18,0.58,0.01,1.04,0.14,0.23
44,0.18,0.57,0.02,1.04,0.12,0.22
45,0.18,0.58,0.01,1.04,0.13,0.22
46,0.17,0.57,0.02,1.04,0.13,0.23
47,0.18,0.58,0.01,1.04,0.13,0.22
48,0.18,0.57,0.00,1.03,0.12,0.23
49,0.17,0.57,0.02,1.04,0.13,0.22
50,0.18,0.57,0.01,1.04,0.13,0.22
51,0.18,0.59,0.02,1.03,0.13,0.24
52,0.18,0.58,0.02,1.04,0.13,0.22
53,0.18,0.58,0.02,1.04,0.13,0.22
54,0.18,0.57,0.02,1.05,0.12,0.22
55,0.18,0.57,0.02,1.05,0.13,0.23
56,0.19,0.57,0.02,1.03,0.13,0.23
57,0.18,0.58,0.01,1.04,0.12,0.22
58,0.18,0.57,0.02,1.04,0.13,0.22
59,0.17,0.57,0.01,1.03,0.12,0.21
60,0.18,0.58,0.02,1.04,0.13,0.22
61,0.18,0.57,0.02,1.04,0.13,0.22
62,0.18,0.57,0.02,1.03,0.13,0.22
63,0.18,0.57,0.02,1.04,0.13,0.22
64,0.19,0.58,0.01,1.04,0.12,0.23
65,0.18,0.57,0.02,1.04,0.15,0.22
66,0.17,0.57,0.02,1.04,0.13,0.22
67,0.19,0.57,0.03,1.03,0.12,0.22
68,0.17,0.57,0.02,1.04,0.13,0.23
69,0.18,0.58,0.01,1.03,0.13,0.22
70,0.17,0.56,0.02,1.04,0.12,0.22
71,0.18,0.57,0.02,1.04,0.13,0.23
72,0.18,0.57,0.02,1.04,0.13,0.23
73,0.18,0.57,0.02,1.04,0.14,0.21
74,0.18,0.57,0.01,1.03,0.13,0.22
75,0.18,0.57,0.02,1.05,0.12,0.23
76,0.18,0.58,0.02,1.03,0.14,0.23
77,0.18,0.58,0.01,1.04,0.13,0.22
78,0.18,0.57,0.02,1.05,0.12,0.22
79,0.18,0.57,0.02,1.04,0.12,0.22
80,0.18,0.57,0.01,1.04,0.13,0.22
81,0.18,0.58,0.01,1.03,0.13,0.21
82,0.18,0.58,0.02,1.04,0.13,0.22
83,0.18,0.57,0.00,1.06,0.12,0.22
84,0.18,0.58,0.02,1.05,0.13,0.22
85,0.18,0.58,0.02,1.05,0.13,0.22
86,0.18,0.58,0.02,1.05,0.13,0.22
87,0.18,0.58,0.02,1.05,0.13,0.22
88,0.18,0.59,0.01,1.05,0.14,0.22
89,0.18,0.59,0.01,1.05,0.11,0.23
90,0.18,0.58,0.01,1.05,0.13,0.22
91,0.18,0.58,0.01,1.04,0.13,0.23
92,0.18,0.58,0.02,1.05,0.13,0.23
93,0.18,0.59,0.01,1.05,0.13,0.22
94,0.18,0.59,0.02,1.06,0.12,0.22
95,0.18,0.58,0.02,1.05,0.14,0.23
96,0.17,0.58,0.02,1.05,0.11,0.22
97,0.18,0.59,0.02,1.05,0.13,0.24
98,0.18,0.59,0.01,1.05,0.13,0.22
99,0.18,0.58,0.01,1.05,0.13,0.24
100,0.19,0.59,0.02,1.06,0.12,0.23
101,0.17,0.58,0.01,1.06,0.13,0.22
102,0.18,0.59,0.01,1.07,0.12,0.22
103,0.18,0.59,0.02,1.06,0.13,0.22
104,0.18,0.59,0.02,1.06,0.13,0.23
105,0.18,0.59,0.02,1.06,0.11,0.23
106,0.18,0.59,0.02,1.06,0.14,0.22
107,0.18,0.59,0.01,1.06,0.12,0.23
108,0.18,0.60,0.03,1.06,0.13,0.22
109,0.18,0.59,0.02,1.05,0.13,0.22
110,0.18,0.59,0.02,1.06,0.13,0.22
111,0.18,0.60,0.02,1.06,0.14,0.22
112,0.17,0.59,0.02,1.06,0.13,0.22
113,0.18,0.59,0.02,1.06,0.13,0.23
114,0.18,0.60,0.02,1.06,0.13,0.22
115,0.18,0.59,0.02,1.06,0.13,0.22
116,0.18,0.60,0.02,1.07,0.12,0.23
117,0.19,0.60,0.00,1.06,0.13,0.22
118,0.18,0.59,0.02,1.07,0.13,0.22
119,0.18,0.60,0.02,1.06,0.12,0.22
120,0.17,0.59,0.02,1.05,0.13,0.23
121,0.18,0.60,0.01,1.07,0.12,0.22
122,0.18,0.60,0.01,1.07,0.13,0.22
123,0.17,0.60,0.02,1.07,0.14,0.22
124,0.18,0.59,0.01,1.07,0.12,0.22
125,0.18,0.60,0.01,1.07,0.13,0.22
126,0.18,0.60,0.02,1.07,0.14,0.23
127,0.18,0.60,0.02,1.05,0.14,0.21
128,0.18,0.60,0.02,1.07,0.13,0.22
129,0.18,0.60,0.01,1.07,0.14,0.22
130,0.18,0.60,0.01,1.07,0.13,0.22
131,0.18,0.59,0.02,1.05,0.12,0.24
132,0.18,0.60,0.01,1.06,0.12,0.23
133,0.18,0.60,0.02,1.07,0.13,0.22
134,0.18,0.59,0.02,1.08,0.12,0.22
135,0.19,0.60,0.01,1.07,0.13,0.22
136,0.18,0.60,0.01,1.07,0.13,0.22
137,0.18,0.60,0.01,1.08,0.13,0.22
138,0.17,0.60,0.01,1.07,0.13,0.22
139,0.18,0.60,0.01,1.09,0.13,0.21
140,0.18,0.60,0.02,1.08,0.14,0.23
141,0.18,0.60,0.01,1.07,0.13,0.23
142,0.17,0.60,0.01,1.08,0.13,0.23
143,0.18,0.60,0.02,1.07,0.14,0.24
144,0.18,0.60,0.02,1.08,0.13,0.22
145,0.18,0.60,0.01,1.07,0.13,0.22
146,0.18,0.60,0.02,1.08,0.13,0.22
147,0.18,0.60,0.02,1.08,0.13,0.22
148,0.18,0.60,0.01,1.08,0.13,0.22
149,0.18,0.60,0.02,1.07,0.13,0.23
150,0.18,0.60,0.02,1.08,0.12,0.24
151,0.18,0.59,0.01,1.07,0.12,0.22
152,0.18,0.60,0.02,1.07,0.13,0.23
153,0.18,0.60,0.01,1.07,0.15,0.23
154,0.18,0.60,0.01,1.08,0.12,0.22
155,0.18,0.60,0.02,1.08,0.13,0.22
156,0.18,0.60,0.01,1.07,0.12,0.23
157,0.18,0.60,0.02,1.08,0.12,0.22
158,0.18,0.60,0.01,1.08,0.13,0.22
159,0.18,0.60,0.02,1.09,0.14,0.23
160,0.18,0.60,0.02,1.07,0.11,0.22
161,0.18,0.60,0.01,1.08,0.13,0.22
162,0.18,0.61,0.02,1.09,0.12,0.22
163,0.18,0.60,0.02,1.08,0.13,0.22
164,0.18,0.60,0.02,1.08,0.13,0.22
165,0.17,0.60,0.01,1.08,0.13,0.22
166,0.18,0.60,0.02,1.08,0.12,0.22
167,0.18,0.60,0.02,1.08,0.13,0.22
168,0.18,0.60,0.00,1.09,0.14,0.23
169,0.18,0.61,0.01,1.08,0.13,0.22
170,0.18,0.61,0.02,1.09,0.13,0.22
171,0.17,0.61,0.01,1.09,0.13,0.22
172,0.18,0.61,0.02,1.09,0.13,0.23
173,0.18,0.61,0.02,1.09,0.12,0.23
174,0.18,0.62,0.03,1.09,0.12,0.22
175,0.18,0.62,0.03,1.09,0.13,0.23
176,0.18,0.62,0.02,1.09,0.13,0.23
177,0.18,0.62,0.02,1.10,0.13,0.23
178,0.18,0.62,0.02,1.09,0.13,0.22
179,0.18,0.62,0.01,1.09,0.12,0.23
180,0.18,0.62,0.02,1.09,0.13,0.22
181,0.18,0.62,0.02,1.09,0.13,0.22
182,0.18,0.62,0.02,1.10,0.13,0.23
183,0.18,0.62,0.01,1.10,0.13,0.22
184,0.18,0.62,0.01,1.09,0.13,0.22
185,0.18,0.62,0.02,1.10,0.13,0.22
186,0.18,0.62,0.02,1.10,0.12,0.22
187,0.19,0.62,0.01,1.10,0.13,0.22
188,0.18,0.62,0.01,1.10,0.13,0.22
189,0.18,0.62,0.01,1.10,0.12,0.22
190,0.18,0.62,0.01,1.10,0.13,0.22
191,0.18,0.62,0.02,1.10,0.13,0.22
192,0.18,0.62,0.02,1.10,0.12,0.23
193,0.18,0.62,0.01,1.10,0.14,0.22
194,0.18,0.62,0.02,1.10,0.13,0.22
195,0.18,0.62,0.01,1.11,0.12,0.21
196,0.18,0.62,0.02,1.11,0.13,0.22
197,0.18,0.62,0.01,1.11,0.13,0.23
198,0.17,0.62,0.02,1.11,0.13,0.22
199,0.18,0.62,0.01,1.11,0.13,0.22
200,0.18,0.63,0.02,1.11,0.13,0.22
201,0.17,0.62,0.01,1.11,0.11,0.22
202,0.18,0.63,0.01,1.11,0.13,0.23
203,0.18,0.63,0.01,1.11,0.13,0.23
204,0.17,0.62,0.02,1.11,0.15,0.22
205,0.18,0.62,0.01,1.11,0.13,0.23
206,0.18,0.63,0.02,1.11,0.13,0.22
207,0.18,0.62,0.02,1.12,0.13,0.23
208,0.18,0.62,0.01,1.12,0.12,0.22
209,0.17,0.63,0.01,1.11,0.13,0.22
210,0.17,0.63,0.02,1.12,0.14,0.22
211,0.18,0.63,0.02,1.11,0.13,0.22
212,0.18,0.63,0.02,1.12,0.13,0.22
213,0.18,0.63,0.01,1.12,0.13,0.23
214,0.18,0.62,0.03,1.12,0.14,0.22
215,0.18,0.63,0.02,1.12,0.13,0.22
216,0.19,0.62,0.02,1.12,0.12,0.23
217,0.18,0.63,0.01,1.12,0.11,0.22
218,0.18,0.63,0.02,1.12,0.13,0.22
219,0.18,0.63,0.01,1.13,0.14,0.23
220,0.18,0.63,0.01,1.13,0.13,0.22
221,0.18,0.63,0.02,1.12,0.13,0.22
222,0.19,0.64,0.01,1.12,0.14,0.23
223,0.18,0.63,0.02,1.12,0.12,0.22
224,0.18,0.63,0.01,1.12,0.13,0.22
225,0.17,0.63,0.02,1.12,0.14,0.22
226,0.18,0.62,0.01,1.12,0.13,0.23
227,0.18,0.63,0.01,1.12,0.13,0.22
228,0.18,0.63,0.01,1.12,0.14,0.21
229,0.18,0.64,0.02,1.12,0.13,0.23
230,0.18,0.63,0.01,1.13,0.13,0.24
231,0.17,0.63,0.02,1.12,0.13,0.22
232,0.18,0.63,0.01,1.13,0.14,0.22
233,0.19,0.64,0.02,1.12,0.13,0.22
