,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
1,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
2,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
3,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
4,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
5,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
6,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
7,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
8,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
9,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
10,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
11,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
12,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
13,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
14,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
15,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
16,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
17,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
18,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
19,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
20,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
21,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
22,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
23,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
24,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
25,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
26,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
27,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
28,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
29,0.19,4.73,2.515,3.269,12.051,3.98,7.658,3.431
30,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
31,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
32,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
33,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
34,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
35,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
36,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
37,0.19,4.73,2.515,3.269,12.051,3.98,7.658,3.431
38,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
39,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
40,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
41,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
42,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
43,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
44,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
45,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
46,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
47,0.19,4.73,2.515,3.269,12.051,3.98,7.658,3.431
48,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
49,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
50,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
51,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
52,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
53,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
54,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
55,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
56,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
57,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
58,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
59,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
60,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
61,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
62,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
63,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
64,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
65,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
66,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
67,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
68,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
69,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
70,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
71,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
72,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
73,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
74,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
75,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
76,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
77,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
78,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
79,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
80,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
81,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
82,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
83,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
84,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
85,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
86,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
87,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
88,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
89,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
90,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
91,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
92,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
93,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
