id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.24,0.11,0.17,0.15,0.03,0.16
2,0.23,0.11,0.17,0.15,0.03,0.17
3,0.24,0.12,0.17,0.15,0.03,0.16
4,0.23,0.11,0.17,0.15,0.03,0.16
5,0.24,0.11,0.17,0.15,0.03,0.17
6,0.23,0.12,0.17,0.14,0.02,0.17
7,0.23,0.12,0.18,0.14,0.04,0.17
8,0.23,0.11,0.17,0.14,0.04,0.17
9,0.23,0.12,0.17,0.14,0.03,0.16
10,0.23,0.12,0.17,0.15,0.03,0.17
11,0.23,0.11,0.17,0.15,0.03,0.17
12,0.24,0.11,0.18,0.15,0.02,0.16
13,0.24,0.11,0.18,0.14,0.02,0.18
14,0.24,0.11,0.17,0.15,0.03,0.16
15,0.23,0.11,0.17,0.15,0.02,0.16
16,0.24,0.11,0.17,0.14,0.02,0.17
17,0.23,0.11,0.17,0.15,0.03,0.16
18,0.23,0.11,0.17,0.15,0.03,0.16
19,0.23,0.11,0.18,0.16,0.03,0.16
20,0.23,0.11,0.17,0.15,0.03,0.17
21,0.23,0.11,0.17,0.15,0.03,0.17
22,0.23,0.11,0.17,0.15,0.03,0.16
23,0.23,0.11,0.17,0.15,0.02,0.17
24,0.23,0.11,0.17,0.15,0.03,0.17
25,0.24,0.11,0.17,0.15,0.03,0.17
26,0.24,0.11,0.17,0.14,0.03,0.17
27,0.23,0.11,0.17,0.15,0.03,0.17
28,0.24,0.12,0.18,0.15,0.03,0.17
29,0.23,0.11,0.17,0.15,0.03,0.17
30,0.23,0.11,0.17,0.15,0.03,0.17
31,0.23,0.12,0.17,0.14,0.04,0.17
32,0.23,0.11,0.17,0.15,0.04,0.17
33,0.23,0.12,0.17,0.15,0.03,0.17
34,0.23,0.11,0.17,0.15,0.03,0.16
35,0.23,0.11,0.16,0.15,0.03,0.16
36,0.23,0.12,0.17,0.14,0.03,0.18
37,0.23,0.11,0.17,0.14,0.02,0.17
38,0.23,0.11,0.18,0.15,0.03,0.17
39,0.23,0.11,0.17,0.14,0.03,0.17
40,0.23,0.11,0.17,0.15,0.03,0.17
41,0.24,0.11,0.17,0.15,0.03,0.17
42,0.23,0.11,0.17,0.15,0.03,0.17
43,0.24,0.11,0.17,0.15,0.03,0.17
44,0.23,0.11,0.18,0.14,0.02,0.17
45,0.23,0.12,0.17,0.15,0.04,0.17
