id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.16,0.58,0.00,1.11,0.11,0.21
2,0.17,0.58,0.00,1.11,0.12,0.21
3,0.16,0.57,0.00,1.10,0.13,0.21
4,0.17,0.58,0.00,1.11,0.12,0.20
5,0.17,0.58,0.00,1.11,0.12,0.21
6,0.17,0.58,0.00,1.11,0.13,0.22
7,0.17,0.59,0.00,1.12,0.12,0.21
8,0.17,0.58,0.00,1.11,0.11,0.21
9,0.17,0.58,0.00,1.11,0.12,0.22
10,0.17,0.59,0.00,1.11,0.12,0.22
11,0.18,0.58,0.01,1.12,0.10,0.21
12,0.17,0.58,0.00,1.11,0.12,0.21
13,0.17,0.59,0.00,1.12,0.12,0.22
14,0.17,0.59,0.00,1.11,0.12,0.21
15,0.17,0.59,0.00,1.11,0.11,0.21
16,0.17,0.59,0.00,1.12,0.11,0.21
17,0.17,0.58,0.00,1.12,0.11,0.20
18,0.17,0.59,0.00,1.11,0.12,0.21
19,0.17,0.59,0.00,1.11,0.12,0.21
20,0.17,0.58,0.00,1.12,0.12,0.21
21,0.17,0.58,0.00,1.12,0.12,0.21
22,0.16,0.58,0.00,1.11,0.12,0.20
23,0.17,0.58,0.00,1.11,0.12,0.21
24,0.16,0.59,0.00,1.11,0.12,0.22
25,0.17,0.59,0.00,1.12,0.12,0.22
26,0.17,0.58,0.00,1.11,0.12,0.21
27,0.16,0.60,0.00,1.12,0.10,0.22
28,0.16,0.59,0.00,1.11,0.12,0.22
29,0.17,0.58,0.00,1.12,0.12,0.21
30,0.17,0.58,0.00,1.11,0.12,0.19
31,0.17,0.58,0.00,1.12,0.12,0.21
32,0.17,0.59,0.01,1.11,0.12,0.21
33,0.17,0.58,0.00,1.11,0.12,0.21
34,0.17,0.59,0.00,1.11,0.11,0.22
35,0.17,0.59,0.00,1.11,0.11,0.20
36,0.17,0.58,0.00,1.12,0.11,0.21
37,0.17,0.58,0.00,1.11,0.12,0.21
38,0.16,0.58,0.00,1.11,0.11,0.19
39,0.17,0.58,0.00,1.11,0.10,0.21
40,0.17,0.59,0.00,1.10,0.12,0.22
41,0.17,0.58,0.00,1.11,0.11,0.20
42,0.17,0.59,0.00,1.11,0.11,0.20
43,0.17,0.59,0.00,1.10,0.12,0.22
44,0.16,0.59,0.00,1.11,0.12,0.21
45,0.17,0.59,0.00,1.11,0.12,0.21
46,0.17,0.59,0.00,1.11,0.13,0.21
47,0.17,0.58,0.00,1.11,0.12,0.21
48,0.17,0.59,0.00,1.11,0.11,0.19
49,0.17,0.59,0.00,1.10,0.11,0.20
50,0.17,0.58,0.00,1.11,0.12,0.22
51,0.17,0.58,0.00,1.11,0.12,0.21
52,0.17,0.58,0.00,1.11,0.12,0.22
53,0.17,0.59,0.00,1.10,0.12,0.21
54,0.17,0.58,0.00,1.11,0.12,0.21
55,0.17,0.59,0.00,1.11,0.12,0.21
56,0.17,0.58,0.00,1.11,0.12,0.21
57,0.17,0.58,0.00,1.11,0.12,0.21
58,0.16,0.57,0.00,1.11,0.12,0.21
59,0.17,0.58,0.00,1.10,0.11,0.22
60,0.17,0.58,0.00,1.11,0.12,0.21
61,0.18,0.59,0.00,1.12,0.11,0.21
62,0.18,0.58,0.00,1.11,0.12,0.21
63,0.17,0.58,0.00,1.11,0.11,0.21
64,0.17,0.58,0.00,1.11,0.13,0.20
65,0.16,0.58,0.00,1.11,0.12,0.21
66,0.17,0.58,0.01,1.11,0.12,0.21
67,0.17,0.58,0.00,1.11,0.12,0.21
68,0.16,0.57,0.00,1.11,0.10,0.21
69,0.17,0.59,0.00,1.11,0.12,0.21
70,0.17,0.58,0.00,1.11,0.12,0.21
71,0.18,0.59,0.00,1.11,0.12,0.21
72,0.17,0.59,0.00,1.11,0.10,0.21
73,0.17,0.58,0.00,1.11,0.12,0.21
74,0.18,0.58,0.00,1.11,0.11,0.22
75,0.17,0.58,0.00,1.10,0.14,0.21
76,0.17,0.58,0.00,1.11,0.13,0.21
77,0.16,0.58,0.00,1.11,0.12,0.21
78,0.17,0.59,0.00,1.10,0.13,0.20
79,0.17,0.58,0.00,1.10,0.12,0.21
80,0.17,0.58,0.00,1.10,0.12,0.21
81,0.17,0.58,0.00,1.10,0.12,0.20
82,0.16,0.58,0.00,1.10,0.12,0.21
83,0.17,0.58,0.00,1.10,0.12,0.21
84,0.17,0.58,0.00,1.11,0.10,0.22
85,0.17,0.58,0.00,1.11,0.10,0.21
86,0.17,0.58,0.00,1.11,0.12,0.21
87,0.17,0.58,0.00,1.10,0.11,0.21
88,0.17,0.58,0.00,1.11,0.12,0.21
89,0.17,0.58,0.00,1.11,0.12,0.20
90,0.17,0.58,0.00,1.11,0.12,0.21
91,0.17,0.58,0.00,1.10,0.12,0.22
92,0.17,0.58,0.00,1.11,0.12,0.20
93,0.17,0.58,0.00,1.11,0.12,0.21
94,0.16,0.59,0.00,1.10,0.13,0.21
95,0.17,0.58,0.00,1.09,0.11,0.21
96,0.16,0.58,0.00,1.10,0.12,0.21
97,0.18,0.58,0.00,1.10,0.11,0.22
98,0.17,0.58,0.00,1.10,0.12,0.20
99,0.17,0.58,0.00,1.10,0.13,0.21
100,0.17,0.58,0.00,1.10,0.12,0.20
101,0.17,0.59,0.00,1.09,0.11,0.20
102,0.17,0.58,0.00,1.10,0.12,0.21
103,0.17,0.58,0.00,1.10,0.12,0.21
104,0.17,0.59,0.00,1.10,0.12,0.20
105,0.16,0.58,0.00,1.10,0.12,0.20
106,0.17,0.58,0.00,1.10,0.12,0.21
107,0.17,0.58,0.00,1.10,0.12,0.20
108,0.17,0.58,0.00,1.10,0.12,0.21
109,0.17,0.58,0.00,1.10,0.12,0.21
110,0.17,0.58,0.00,1.10,0.11,0.21
111,0.17,0.59,0.00,1.10,0.12,0.21
112,0.17,0.58,0.00,1.10,0.11,0.21
113,0.17,0.58,0.00,1.10,0.12,0.21
114,0.17,0.58,0.00,1.10,0.12,0.22
115,0.17,0.58,0.00,1.10,0.12,0.21
116,0.17,0.58,0.00,1.10,0.11,0.22
117,0.17,0.58,0.00,1.10,0.12,0.21
118,0.17,0.58,0.00,1.10,0.12,0.21
119,0.18,0.58,0.00,1.09,0.11,0.22
120,0.17,0.58,0.00,1.10,0.12,0.21
121,0.17,0.58,0.00,1.10,0.12,0.21
122,0.17,0.59,0.00,1.10,0.11,0.22
123,0.17,0.57,0.00,1.10,0.12,0.21
124,0.18,0.58,0.00,1.10,0.11,0.22
125,0.17,0.58,0.00,1.09,0.11,0.21
126,0.17,0.58,0.00,1.10,0.12,0.22
127,0.17,0.59,0.00,1.09,0.12,0.21
128,0.17,0.58,0.00,1.10,0.12,0.21
129,0.17,0.58,0.01,1.10,0.11,0.22
130,0.16,0.57,0.00,1.10,0.13,0.21
131,0.17,0.58,0.00,1.10,0.12,0.21
132,0.17,0.59,0.00,1.09,0.10,0.22
133,0.17,0.59,0.00,1.09,0.11,0.21
134,0.17,0.58,0.00,1.09,0.12,0.21
135,0.17,0.58,0.00,1.10,0.11,0.21
136,0.17,0.58,0.00,1.09,0.11,0.21
137,0.16,0.59,0.00,1.10,0.12,0.20
138,0.17,0.58,0.00,1.10,0.12,0.21
139,0.18,0.58,0.00,1.10,0.13,0.20
140,0.17,0.58,0.00,1.10,0.10,0.21
141,0.16,0.58,0.00,1.09,0.11,0.21
142,0.16,0.57,0.00,1.10,0.13,0.22
143,0.17,0.58,0.00,1.10,0.12,0.22
144,0.17,0.58,0.00,1.10,0.11,0.20
145,0.17,0.58,0.00,1.09,0.13,0.21
146,0.17,0.58,0.00,1.09,0.12,0.20
147,0.17,0.59,0.00,1.10,0.11,0.21
148,0.17,0.58,0.00,1.09,0.12,0.21
149,0.18,0.58,0.00,1.10,0.12,0.20
150,0.17,0.57,0.00,1.10,0.11,0.22
151,0.17,0.58,0.00,1.09,0.12,0.21
152,0.17,0.57,0.00,1.10,0.12,0.21
153,0.17,0.58,0.01,1.10,0.12,0.20
154,0.17,0.58,0.00,1.09,0.11,0.21
155,0.17,0.58,0.00,1.09,0.11,0.19
156,0.16,0.58,0.00,1.09,0.12,0.20
157,0.17,0.58,0.00,1.10,0.12,0.21
158,0.17,0.58,0.00,1.09,0.12,0.21
159,0.17,0.58,0.00,1.09,0.12,0.22
160,0.17,0.58,0.00,1.09,0.12,0.20
161,0.16,0.57,0.00,1.09,0.12,0.22
162,0.17,0.59,0.00,1.09,0.09,0.23
163,0.17,0.58,0.00,1.09,0.12,0.20
164,0.17,0.59,0.01,1.09,0.12,0.21
165,0.17,0.58,0.00,1.09,0.12,0.21
166,0.18,0.58,0.01,1.09,0.12,0.21
167,0.17,0.58,0.00,1.10,0.12,0.20
168,0.17,0.58,0.00,1.09,0.12,0.21
169,0.18,0.58,0.00,1.10,0.11,0.22
170,0.16,0.58,0.00,1.09,0.10,0.22
171,0.17,0.58,0.00,1.09,0.12,0.21
172,0.17,0.58,0.00,1.09,0.12,0.21
173,0.17,0.58,0.00,1.09,0.12,0.21
174,0.16,0.58,0.01,1.09,0.12,0.21
175,0.17,0.58,0.00,1.09,0.12,0.21
176,0.17,0.58,0.00,1.09,0.10,0.20
177,0.17,0.57,0.00,1.09,0.12,0.22
178,0.17,0.58,0.00,1.09,0.12,0.20
179,0.17,0.58,0.00,1.10,0.12,0.21
180,0.17,0.57,0.00,1.09,0.11,0.20
181,0.16,0.58,0.00,1.10,0.11,0.21
182,0.16,0.58,0.00,1.10,0.11,0.21
183,0.16,0.59,0.01,1.14,0.11,0.20
184,0.16,0.58,0.00,1.13,0.11,0.19
185,0.16,0.59,0.00,1.13,0.12,0.21
186,0.17,0.60,0.00,1.14,0.12,0.20
187,0.16,0.59,0.00,1.15,0.12,0.21
188,0.17,0.60,0.00,1.16,0.12,0.22
189,0.17,0.60,0.01,1.16,0.12,0.22
190,0.16,0.62,0.00,1.17,0.11,0.22
191,0.16,0.62,0.01,1.18,0.13,0.22
192,0.16,0.62,0.00,1.18,0.11,0.22
193,0.16,0.61,0.00,1.17,0.11,0.20
194,0.16,0.62,0.00,1.17,0.12,0.22
195,0.16,0.62,0.00,1.18,0.12,0.21
196,0.16,0.62,0.00,1.18,0.11,0.22
197,0.16,0.62,0.00,1.17,0.12,0.22
198,0.16,0.63,0.00,1.18,0.12,0.22
199,0.16,0.62,0.00,1.18,0.12,0.23
200,0.16,0.63,0.00,1.19,0.11,0.22
201,0.16,0.63,0.00,1.19,0.12,0.22
202,0.17,0.65,0.00,1.21,0.11,0.22
203,0.16,0.65,0.01,1.21,0.12,0.22
204,0.16,0.65,0.00,1.21,0.12,0.22
205,0.16,0.65,0.00,1.21,0.12,0.22
206,0.17,0.67,0.00,1.22,0.11,0.22
207,0.16,0.67,0.01,1.23,0.12,0.23
208,0.16,0.67,0.00,1.23,0.10,0.22
209,0.17,0.68,0.00,1.24,0.12,0.21
210,0.16,0.68,0.01,1.26,0.11,0.22
211,0.16,0.68,0.00,1.28,0.12,0.22
212,0.16,0.68,0.00,1.30,0.11,0.23
213,0.16,0.70,0.00,1.32,0.12,0.23
214,0.16,0.70,0.00,1.34,0.12,0.23
215,0.17,0.70,0.00,1.35,0.12,0.25
216,0.16,0.70,0.00,1.35,0.13,0.23
217,0.16,0.71,0.00,1.35,0.11,0.24
218,0.16,0.72,0.01,1.36,0.12,0.24
219,0.16,0.72,0.00,1.37,0.11,0.23
220,0.16,0.72,0.00,1.39,0.12,0.25
