id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.17,0.78,0.08,1.67,0.15,0.27
2,0.17,0.77,0.08,1.66,0.15,0.28
3,0.16,0.78,0.08,1.66,0.15,0.27
4,0.16,0.77,0.08,1.66,0.15,0.27
5,0.17,0.77,0.07,1.64,0.14,0.27
6,0.16,0.77,0.08,1.65,0.15,0.27
7,0.17,0.77,0.08,1.65,0.16,0.28
8,0.17,0.76,0.07,1.64,0.15,0.26
9,0.17,0.77,0.08,1.64,0.16,0.28
10,0.17,0.76,0.08,1.63,0.15,0.27
11,0.17,0.77,0.08,1.64,0.15,0.29
12,0.17,0.76,0.08,1.64,0.15,0.27
13,0.16,0.76,0.08,1.63,0.15,0.27
14,0.16,0.76,0.08,1.62,0.15,0.26
15,0.16,0.76,0.08,1.62,0.15,0.26
16,0.16,0.75,0.08,1.62,0.16,0.26
17,0.16,0.75,0.08,1.61,0.16,0.27
18,0.17,0.74,0.08,1.61,0.15,0.27
19,0.16,0.74,0.07,1.62,0.15,0.26
20,0.17,0.75,0.08,1.61,0.16,0.26
21,0.17,0.74,0.08,1.61,0.15,0.26
22,0.16,0.74,0.08,1.60,0.15,0.26
23,0.17,0.74,0.07,1.60,0.14,0.26
24,0.17,0.73,0.08,1.60,0.15,0.26
25,0.16,0.75,0.08,1.58,0.15,0.26
26,0.17,0.74,0.07,1.59,0.15,0.26
27,0.16,0.73,0.07,1.58,0.16,0.27
28,0.16,0.73,0.07,1.59,0.15,0.26
29,0.16,0.74,0.07,1.58,0.14,0.24
30,0.16,0.73,0.07,1.58,0.16,0.25
31,0.16,0.73,0.07,1.57,0.15,0.26
32,0.16,0.74,0.07,1.58,0.14,0.26
33,0.17,0.73,0.07,1.57,0.17,0.26
34,0.16,0.73,0.07,1.57,0.15,0.26
35,0.16,0.73,0.07,1.57,0.17,0.26
36,0.16,0.72,0.07,1.56,0.15,0.25
37,0.16,0.72,0.06,1.56,0.15,0.26
38,0.16,0.72,0.07,1.55,0.15,0.26
39,0.16,0.72,0.07,1.55,0.15,0.26
40,0.16,0.73,0.07,1.56,0.16,0.24
41,0.16,0.72,0.07,1.55,0.15,0.26
42,0.16,0.72,0.07,1.55,0.15,0.26
43,0.16,0.71,0.08,1.55,0.14,0.26
44,0.16,0.71,0.07,1.54,0.16,0.25
45,0.16,0.71,0.07,1.54,0.15,0.26
46,0.17,0.72,0.07,1.54,0.15,0.26
47,0.16,0.71,0.07,1.54,0.15,0.26
48,0.16,0.71,0.07,1.54,0.15,0.26
49,0.17,0.71,0.07,1.53,0.15,0.25
50,0.17,0.71,0.07,1.53,0.15,0.25
51,0.16,0.70,0.07,1.53,0.15,0.26
52,0.16,0.70,0.07,1.53,0.14,0.26
53,0.17,0.71,0.07,1.52,0.15,0.25
54,0.16,0.70,0.07,1.52,0.15,0.25
55,0.16,0.70,0.07,1.52,0.15,0.26
56,0.17,0.70,0.06,1.52,0.15,0.25
