id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.23,0.11,0.18,0.15,0.04,0.17
2,0.23,0.12,0.17,0.15,0.04,0.18
3,0.23,0.12,0.17,0.16,0.04,0.18
4,0.23,0.11,0.18,0.16,0.04,0.18
5,0.24,0.12,0.17,0.15,0.04,0.17
6,0.24,0.12,0.18,0.15,0.04,0.18
7,0.23,0.11,0.18,0.15,0.03,0.16
8,0.23,0.11,0.17,0.15,0.04,0.18
9,0.24,0.12,0.18,0.15,0.04,0.17
10,0.24,0.11,0.18,0.16,0.05,0.18
11,0.24,0.12,0.18,0.16,0.04,0.18
12,0.24,0.12,0.18,0.15,0.04,0.18
13,0.23,0.12,0.18,0.15,0.04,0.18
14,0.24,0.12,0.17,0.16,0.04,0.18
15,0.24,0.12,0.18,0.16,0.04,0.18
16,0.23,0.11,0.18,0.15,0.04,0.18
17,0.23,0.12,0.18,0.15,0.04,0.17
18,0.23,0.11,0.18,0.15,0.04,0.17
19,0.23,0.11,0.18,0.16,0.05,0.17
20,0.23,0.11,0.17,0.16,0.04,0.18
21,0.24,0.12,0.18,0.15,0.04,0.17
22,0.23,0.11,0.18,0.16,0.04,0.17
23,0.24,0.11,0.17,0.16,0.04,0.18
24,0.23,0.12,0.17,0.15,0.04,0.18
25,0.23,0.12,0.18,0.15,0.05,0.18
26,0.23,0.11,0.18,0.15,0.05,0.17
27,0.23,0.12,0.17,0.16,0.04,0.17
28,0.23,0.12,0.18,0.15,0.04,0.18
29,0.23,0.11,0.17,0.15,0.04,0.17
30,0.24,0.12,0.17,0.16,0.04,0.18
31,0.23,0.11,0.18,0.15,0.03,0.16
32,0.24,0.12,0.18,0.15,0.05,0.18
33,0.23,0.11,0.18,0.15,0.04,0.18
34,0.23,0.12,0.17,0.15,0.04,0.18
35,0.23,0.12,0.18,0.15,0.05,0.17
36,0.24,0.12,0.17,0.15,0.04,0.17
37,0.23,0.12,0.18,0.16,0.04,0.18
38,0.24,0.11,0.18,0.15,0.04,0.16
39,0.23,0.11,0.18,0.15,0.04,0.17
