,volt,lpg,co,ch4
0,0.16,0.014,0.003,0.011
1,0.17,0.019,0.004,0.017
2,0.17,0.019,0.004,0.017
3,0.15,0.01,0.002,0.006
4,0.16,0.014,0.003,0.011
5,0.16,0.014,0.003,0.011
6,0.17,0.019,0.004,0.017
7,0.16,0.014,0.003,0.011
8,0.17,0.019,0.004,0.017
9,0.16,0.014,0.003,0.011
10,0.17,0.019,0.004,0.017
11,0.16,0.014,0.003,0.011
12,0.17,0.019,0.004,0.017
13,0.17,0.019,0.004,0.017
14,0.17,0.019,0.004,0.017
15,0.16,0.014,0.003,0.011
16,0.16,0.014,0.003,0.011
17,0.16,0.014,0.003,0.011
18,0.17,0.019,0.004,0.017
19,0.17,0.019,0.004,0.017
20,0.17,0.019,0.004,0.017
21,0.16,0.014,0.003,0.011
22,0.16,0.014,0.003,0.011
23,0.17,0.019,0.004,0.017
24,0.17,0.019,0.004,0.017
25,0.17,0.019,0.004,0.017
26,0.16,0.014,0.003,0.011
27,0.17,0.019,0.004,0.017
28,0.16,0.014,0.003,0.011
29,0.17,0.019,0.004,0.017
30,0.16,0.014,0.003,0.011
31,0.16,0.014,0.003,0.011
32,0.16,0.014,0.003,0.011
33,0.16,0.014,0.003,0.011
34,0.16,0.014,0.003,0.011
35,0.16,0.014,0.003,0.011
36,0.16,0.014,0.003,0.011
37,0.17,0.019,0.004,0.017
38,0.16,0.014,0.003,0.011
39,0.16,0.014,0.003,0.011
40,0.18,0.026,0.006,0.026
41,0.17,0.019,0.004,0.017
42,0.16,0.014,0.003,0.011
43,0.17,0.019,0.004,0.017
44,0.17,0.019,0.004,0.017
45,0.16,0.014,0.003,0.011
46,0.16,0.014,0.003,0.011
47,0.17,0.019,0.004,0.017
48,0.16,0.014,0.003,0.011
49,0.16,0.014,0.003,0.011
50,0.15,0.01,0.002,0.006
51,0.16,0.014,0.003,0.011
52,0.16,0.014,0.003,0.011
53,0.16,0.014,0.003,0.011
54,0.16,0.014,0.003,0.011
55,0.16,0.014,0.003,0.011
56,0.16,0.014,0.003,0.011
57,0.15,0.01,0.002,0.006
58,0.16,0.014,0.003,0.011
59,0.16,0.014,0.003,0.011
60,0.16,0.014,0.003,0.011
61,0.16,0.014,0.003,0.011
62,0.16,0.014,0.003,0.011
63,0.16,0.014,0.003,0.011
64,0.16,0.014,0.003,0.011
65,0.17,0.019,0.004,0.017
66,0.16,0.014,0.003,0.011
67,0.16,0.014,0.003,0.011
68,0.16,0.014,0.003,0.011
69,0.16,0.014,0.003,0.011
70,0.16,0.014,0.003,0.011
71,0.16,0.014,0.003,0.011
72,0.15,0.01,0.002,0.006
73,0.16,0.014,0.003,0.011
74,0.17,0.019,0.004,0.017
75,0.16,0.014,0.003,0.011
76,0.16,0.014,0.003,0.011
77,0.17,0.019,0.004,0.017
78,0.16,0.014,0.003,0.011
79,0.16,0.014,0.003,0.011
80,0.17,0.019,0.004,0.017
81,0.16,0.014,0.003,0.011
82,0.17,0.019,0.004,0.017
83,0.16,0.014,0.003,0.011
84,0.17,0.019,0.004,0.017
85,0.16,0.014,0.003,0.011
86,0.16,0.014,0.003,0.011
87,0.16,0.014,0.003,0.011
88,0.16,0.014,0.003,0.011
89,0.16,0.014,0.003,0.011
90,0.17,0.019,0.004,0.017
91,0.17,0.019,0.004,0.017
92,0.16,0.014,0.003,0.011
93,0.17,0.019,0.004,0.017
94,0.16,0.014,0.003,0.011
95,0.17,0.019,0.004,0.017
96,0.16,0.014,0.003,0.011
97,0.16,0.014,0.003,0.011
98,0.16,0.014,0.003,0.011
99,0.16,0.014,0.003,0.011
100,0.16,0.014,0.003,0.011
101,0.16,0.014,0.003,0.011
102,0.16,0.014,0.003,0.011
103,0.17,0.019,0.004,0.017
104,0.16,0.014,0.003,0.011
105,0.17,0.019,0.004,0.017
106,0.16,0.014,0.003,0.011
107,0.16,0.014,0.003,0.011
108,0.16,0.014,0.003,0.011
109,0.18,0.026,0.006,0.026
110,0.15,0.01,0.002,0.006
111,0.16,0.014,0.003,0.011
112,0.17,0.019,0.004,0.017
113,0.16,0.014,0.003,0.011
114,0.16,0.014,0.003,0.011
115,0.17,0.019,0.004,0.017
116,0.17,0.019,0.004,0.017
117,0.16,0.014,0.003,0.011
118,0.16,0.014,0.003,0.011
119,0.17,0.019,0.004,0.017
120,0.16,0.014,0.003,0.011
121,0.16,0.014,0.003,0.011
122,0.17,0.019,0.004,0.017
123,0.16,0.014,0.003,0.011
124,0.16,0.014,0.003,0.011
125,0.16,0.014,0.003,0.011
126,0.16,0.014,0.003,0.011
127,0.16,0.014,0.003,0.011
128,0.16,0.014,0.003,0.011
129,0.15,0.01,0.002,0.006
130,0.16,0.014,0.003,0.011
131,0.16,0.014,0.003,0.011
132,0.16,0.014,0.003,0.011
133,0.16,0.014,0.003,0.011
134,0.16,0.014,0.003,0.011
135,0.16,0.014,0.003,0.011
136,0.16,0.014,0.003,0.011
137,0.16,0.014,0.003,0.011
138,0.16,0.014,0.003,0.011
139,0.17,0.019,0.004,0.017
140,0.16,0.014,0.003,0.011
141,0.16,0.014,0.003,0.011
142,0.16,0.014,0.003,0.011
143,0.17,0.019,0.004,0.017
144,0.16,0.014,0.003,0.011
145,0.16,0.014,0.003,0.011
146,0.16,0.014,0.003,0.011
147,0.16,0.014,0.003,0.011
148,0.16,0.014,0.003,0.011
149,0.16,0.014,0.003,0.011
150,0.16,0.014,0.003,0.011
151,0.16,0.014,0.003,0.011
152,0.16,0.014,0.003,0.011
153,0.16,0.014,0.003,0.011
154,0.16,0.014,0.003,0.011
155,0.16,0.014,0.003,0.011
156,0.16,0.014,0.003,0.011
157,0.16,0.014,0.003,0.011
158,0.16,0.014,0.003,0.011
159,0.16,0.014,0.003,0.011
160,0.17,0.019,0.004,0.017
161,0.16,0.014,0.003,0.011
162,0.16,0.014,0.003,0.011
163,0.16,0.014,0.003,0.011
164,0.16,0.014,0.003,0.011
165,0.16,0.014,0.003,0.011
166,0.16,0.014,0.003,0.011
167,0.16,0.014,0.003,0.011
168,0.16,0.014,0.003,0.011
169,0.16,0.014,0.003,0.011
170,0.17,0.019,0.004,0.017
171,0.16,0.014,0.003,0.011
172,0.16,0.014,0.003,0.011
173,0.17,0.019,0.004,0.017
174,0.17,0.019,0.004,0.017
175,0.17,0.019,0.004,0.017
176,0.16,0.014,0.003,0.011
177,0.16,0.014,0.003,0.011
178,0.17,0.019,0.004,0.017
179,0.16,0.014,0.003,0.011
180,0.16,0.014,0.003,0.011
181,0.17,0.019,0.004,0.017
182,0.16,0.014,0.003,0.011
183,0.17,0.019,0.004,0.017
184,0.16,0.014,0.003,0.011
185,0.17,0.019,0.004,0.017
186,0.16,0.014,0.003,0.011
187,0.16,0.014,0.003,0.011
188,0.17,0.019,0.004,0.017
189,0.16,0.014,0.003,0.011
190,0.16,0.014,0.003,0.011
191,0.17,0.019,0.004,0.017
192,0.16,0.014,0.003,0.011
193,0.16,0.014,0.003,0.011
194,0.17,0.019,0.004,0.017
195,0.16,0.014,0.003,0.011
196,0.16,0.014,0.003,0.011
197,0.16,0.014,0.003,0.011
198,0.17,0.019,0.004,0.017
199,0.16,0.014,0.003,0.011
200,0.17,0.019,0.004,0.017
201,0.16,0.014,0.003,0.011
202,0.16,0.014,0.003,0.011
203,0.16,0.014,0.003,0.011
204,0.17,0.019,0.004,0.017
205,0.16,0.014,0.003,0.011
206,0.17,0.019,0.004,0.017
207,0.17,0.019,0.004,0.017
208,0.17,0.019,0.004,0.017
209,0.16,0.014,0.003,0.011
210,0.16,0.014,0.003,0.011
211,0.17,0.019,0.004,0.017
212,0.16,0.014,0.003,0.011
213,0.16,0.014,0.003,0.011
214,0.16,0.014,0.003,0.011
215,0.17,0.019,0.004,0.017
216,0.16,0.014,0.003,0.011
217,0.16,0.014,0.003,0.011
218,0.16,0.014,0.003,0.011
219,0.17,0.019,0.004,0.017
220,0.16,0.014,0.003,0.011
221,0.17,0.019,0.004,0.017
222,0.17,0.019,0.004,0.017
223,0.17,0.019,0.004,0.017
224,0.16,0.014,0.003,0.011
225,0.16,0.014,0.003,0.011
226,0.16,0.014,0.003,0.011
227,0.16,0.014,0.003,0.011
228,0.16,0.014,0.003,0.011
229,0.16,0.014,0.003,0.011
230,0.17,0.019,0.004,0.017
231,0.17,0.019,0.004,0.017
232,0.16,0.014,0.003,0.011
233,0.16,0.014,0.003,0.011
234,0.16,0.014,0.003,0.011
235,0.17,0.019,0.004,0.017
236,0.16,0.014,0.003,0.011
237,0.17,0.019,0.004,0.017
238,0.16,0.014,0.003,0.011
239,0.16,0.014,0.003,0.011
240,0.16,0.014,0.003,0.011
241,0.17,0.019,0.004,0.017
242,0.17,0.019,0.004,0.017
243,0.16,0.014,0.003,0.011
244,0.16,0.014,0.003,0.011
245,0.16,0.014,0.003,0.011
246,0.17,0.019,0.004,0.017
247,0.16,0.014,0.003,0.011
248,0.16,0.014,0.003,0.011
249,0.17,0.019,0.004,0.017
250,0.17,0.019,0.004,0.017
251,0.16,0.014,0.003,0.011
252,0.16,0.014,0.003,0.011
253,0.17,0.019,0.004,0.017
254,0.17,0.019,0.004,0.017
255,0.16,0.014,0.003,0.011
256,0.16,0.014,0.003,0.011
257,0.16,0.014,0.003,0.011
258,0.16,0.014,0.003,0.011
259,0.16,0.014,0.003,0.011
260,0.16,0.014,0.003,0.011
261,0.16,0.014,0.003,0.011
262,0.17,0.019,0.004,0.017
263,0.17,0.019,0.004,0.017
264,0.17,0.019,0.004,0.017
265,0.17,0.019,0.004,0.017
266,0.17,0.019,0.004,0.017
267,0.17,0.019,0.004,0.017
268,0.17,0.019,0.004,0.017
269,0.17,0.019,0.004,0.017
270,0.17,0.019,0.004,0.017
271,0.17,0.019,0.004,0.017
272,0.16,0.014,0.003,0.011
273,0.17,0.019,0.004,0.017
274,0.17,0.019,0.004,0.017
275,0.16,0.014,0.003,0.011
276,0.16,0.014,0.003,0.011
277,0.16,0.014,0.003,0.011
278,0.17,0.019,0.004,0.017
279,0.15,0.01,0.002,0.006
280,0.17,0.019,0.004,0.017
281,0.17,0.019,0.004,0.017
282,0.17,0.019,0.004,0.017
283,0.16,0.014,0.003,0.011
284,0.17,0.019,0.004,0.017
285,0.17,0.019,0.004,0.017
286,0.16,0.014,0.003,0.011
287,0.17,0.019,0.004,0.017
288,0.17,0.019,0.004,0.017
289,0.17,0.019,0.004,0.017
290,0.18,0.026,0.006,0.026
291,0.17,0.019,0.004,0.017
292,0.18,0.026,0.006,0.026
293,0.17,0.019,0.004,0.017
294,0.16,0.014,0.003,0.011
295,0.17,0.019,0.004,0.017
296,0.17,0.019,0.004,0.017
297,0.17,0.019,0.004,0.017
298,0.16,0.014,0.003,0.011
299,0.17,0.019,0.004,0.017
300,0.17,0.019,0.004,0.017
301,0.17,0.019,0.004,0.017
302,0.17,0.019,0.004,0.017
303,0.18,0.026,0.006,0.026
304,0.16,0.014,0.003,0.011
305,0.17,0.019,0.004,0.017
306,0.17,0.019,0.004,0.017
307,0.17,0.019,0.004,0.017
308,0.18,0.026,0.006,0.026
309,0.17,0.019,0.004,0.017
310,0.18,0.026,0.006,0.026
311,0.17,0.019,0.004,0.017
312,0.17,0.019,0.004,0.017
313,0.17,0.019,0.004,0.017
314,0.18,0.026,0.006,0.026
315,0.18,0.026,0.006,0.026
316,0.17,0.019,0.004,0.017
317,0.17,0.019,0.004,0.017
318,0.16,0.014,0.003,0.011
319,0.17,0.019,0.004,0.017
320,0.17,0.019,0.004,0.017
321,0.17,0.019,0.004,0.017
322,0.17,0.019,0.004,0.017
323,0.17,0.019,0.004,0.017
324,0.17,0.019,0.004,0.017
325,0.16,0.014,0.003,0.011
326,0.17,0.019,0.004,0.017
327,0.17,0.019,0.004,0.017
328,0.17,0.019,0.004,0.017
329,0.17,0.019,0.004,0.017
330,0.17,0.019,0.004,0.017
331,0.17,0.019,0.004,0.017
332,0.17,0.019,0.004,0.017
333,0.17,0.019,0.004,0.017
334,0.17,0.019,0.004,0.017
335,0.17,0.019,0.004,0.017
336,0.17,0.019,0.004,0.017
337,0.16,0.014,0.003,0.011
338,0.17,0.019,0.004,0.017
339,0.16,0.014,0.003,0.011
340,0.17,0.019,0.004,0.017
341,0.16,0.014,0.003,0.011
342,0.17,0.019,0.004,0.017
343,0.17,0.019,0.004,0.017
344,0.17,0.019,0.004,0.017
345,0.17,0.019,0.004,0.017
346,0.17,0.019,0.004,0.017
347,0.17,0.019,0.004,0.017
348,0.17,0.019,0.004,0.017
349,0.16,0.014,0.003,0.011
350,0.17,0.019,0.004,0.017
351,0.17,0.019,0.004,0.017
352,0.17,0.019,0.004,0.017
353,0.17,0.019,0.004,0.017
354,0.17,0.019,0.004,0.017
355,0.17,0.019,0.004,0.017
356,0.18,0.026,0.006,0.026
357,0.17,0.019,0.004,0.017
358,0.17,0.019,0.004,0.017
359,0.18,0.026,0.006,0.026
360,0.16,0.014,0.003,0.011
361,0.17,0.019,0.004,0.017
362,0.16,0.014,0.003,0.011
363,0.17,0.019,0.004,0.017
364,0.17,0.019,0.004,0.017
365,0.16,0.014,0.003,0.011
