,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
1,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
2,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
3,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
4,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
5,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
6,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
7,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
8,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
9,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
10,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
11,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
12,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
13,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
14,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
15,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
16,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
17,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
18,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
19,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
20,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
21,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
22,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
23,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
24,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
25,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
26,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
27,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
28,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
29,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
30,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
31,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
32,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
33,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
34,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
35,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
36,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
37,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
38,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
39,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
40,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
41,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
42,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
43,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
44,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
45,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
46,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
47,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
48,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
49,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
50,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
51,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
52,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
53,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
54,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
55,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
56,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
57,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
58,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
59,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
60,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
61,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
62,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
63,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
64,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
65,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
66,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
67,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
68,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
69,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
70,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
71,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
72,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
73,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
74,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
75,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
76,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
77,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
78,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
79,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
80,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
