id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.17,0.59,0.06,1.15,0.17,0.26
2,0.18,0.59,0.06,1.16,0.15,0.28
3,0.17,0.59,0.05,1.15,0.18,0.28
4,0.18,0.59,0.07,1.15,0.17,0.26
5,0.17,0.60,0.05,1.15,0.17,0.26
6,0.18,0.59,0.06,1.14,0.16,0.25
7,0.17,0.59,0.06,1.15,0.17,0.26
8,0.18,0.60,0.06,1.15,0.18,0.27
9,0.18,0.60,0.06,1.14,0.17,0.26
10,0.18,0.59,0.06,1.15,0.17,0.26
11,0.17,0.60,0.06,1.15,0.18,0.27
12,0.17,0.60,0.07,1.15,0.17,0.25
13,0.17,0.59,0.06,1.15,0.17,0.26
14,0.17,0.59,0.06,1.15,0.17,0.25
15,0.17,0.59,0.06,1.15,0.17,0.26
16,0.18,0.59,0.06,1.15,0.17,0.26
17,0.17,0.59,0.06,1.15,0.17,0.26
18,0.17,0.60,0.06,1.14,0.17,0.27
19,0.18,0.59,0.06,1.15,0.17,0.26
20,0.18,0.59,0.06,1.15,0.17,0.26
21,0.18,0.59,0.06,1.15,0.17,0.26
22,0.17,0.58,0.06,1.16,0.16,0.27
23,0.18,0.59,0.06,1.15,0.16,0.25
24,0.17,0.59,0.06,1.15,0.17,0.26
25,0.17,0.59,0.06,1.15,0.17,0.25
26,0.17,0.59,0.06,1.15,0.16,0.26
27,0.17,0.59,0.06,1.15,0.17,0.26
28,0.17,0.59,0.05,1.15,0.18,0.26
29,0.17,0.59,0.06,1.15,0.17,0.25
30,0.16,0.59,0.06,1.15,0.17,0.27
31,0.17,0.59,0.06,1.14,0.15,0.26
32,0.18,0.59,0.06,1.15,0.17,0.26
33,0.17,0.59,0.06,1.15,0.17,0.25
34,0.18,0.59,0.06,1.15,0.17,0.26
35,0.17,0.59,0.06,1.15,0.17,0.26
36,0.17,0.59,0.06,1.14,0.17,0.26
37,0.17,0.59,0.06,1.15,0.16,0.26
38,0.17,0.60,0.06,1.15,0.18,0.25
39,0.17,0.59,0.05,1.14,0.18,0.26
40,0.18,0.60,0.06,1.15,0.17,0.26
41,0.18,0.60,0.05,1.15,0.18,0.26
42,0.17,0.59,0.06,1.15,0.17,0.26
43,0.18,0.60,0.06,1.15,0.16,0.26
44,0.18,0.60,0.06,1.15,0.18,0.27
45,0.18,0.59,0.07,1.15,0.16,0.27
46,0.18,0.59,0.06,1.14,0.16,0.26
47,0.18,0.58,0.06,1.15,0.18,0.27
