id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.19,0.58,0.02,1.07,0.13,0.23
2,0.18,0.59,0.01,1.07,0.14,0.23
3,0.18,0.59,0.01,1.07,0.13,0.23
4,0.18,0.59,0.01,1.06,0.13,0.23
5,0.18,0.59,0.01,1.07,0.13,0.23
6,0.18,0.59,0.01,1.06,0.14,0.23
7,0.18,0.59,0.01,1.07,0.14,0.22
8,0.18,0.59,0.01,1.07,0.13,0.22
9,0.18,0.59,0.01,1.06,0.14,0.23
10,0.18,0.59,0.01,1.07,0.13,0.22
11,0.18,0.58,0.01,1.06,0.13,0.21
12,0.18,0.58,0.01,1.07,0.13,0.22
13,0.18,0.59,0.01,1.07,0.13,0.23
14,0.18,0.59,0.01,1.07,0.13,0.22
15,0.18,0.59,0.01,1.07,0.13,0.22
16,0.17,0.59,0.01,1.06,0.13,0.23
17,0.17,0.58,0.01,1.06,0.13,0.23
18,0.18,0.59,0.01,1.07,0.13,0.23
19,0.17,0.59,0.01,1.07,0.12,0.22
20,0.18,0.59,0.01,1.07,0.14,0.23
21,0.19,0.60,0.02,1.09,0.14,0.24
22,0.18,0.58,0.01,1.06,0.14,0.22
23,0.18,0.59,0.01,1.06,0.13,0.22
24,0.18,0.59,0.02,1.07,0.12,0.23
25,0.18,0.58,0.01,1.06,0.12,0.23
26,0.18,0.58,0.01,1.07,0.14,0.22
27,0.18,0.58,0.01,1.07,0.15,0.23
28,0.18,0.59,0.01,1.07,0.13,0.22
29,0.17,0.59,0.01,1.07,0.13,0.22
30,0.18,0.58,0.02,1.06,0.13,0.22
31,0.18,0.58,0.01,1.07,0.12,0.23
32,0.18,0.58,0.01,1.06,0.14,0.21
33,0.18,0.58,0.01,1.06,0.13,0.22
34,0.17,0.58,0.00,1.06,0.12,0.21
35,0.18,0.57,0.02,1.07,0.14,0.23
36,0.18,0.58,0.01,1.06,0.13,0.22
37,0.18,0.59,0.02,1.06,0.12,0.22
38,0.18,0.58,0.01,1.06,0.13,0.22
39,0.19,0.58,0.01,1.07,0.13,0.24
40,0.18,0.58,0.01,1.07,0.15,0.23
41,0.18,0.58,0.01,1.06,0.13,0.22
42,0.18,0.58,0.01,1.05,0.13,0.22
43,0.18,0.58,0.01,1.06,0.13,0.22
44,0.18,0.58,0.01,1.06,0.13,0.23
45,0.18,0.58,0.02,1.06,0.16,0.22
46,0.18,0.58,0.01,1.06,0.13,0.23
47,0.17,0.58,0.01,1.05,0.14,0.23
48,0.19,0.58,0.02,1.06,0.13,0.22
49,0.18,0.57,0.01,1.06,0.12,0.23
50,0.18,0.58,0.01,1.05,0.13,0.24
51,0.18,0.58,0.01,1.06,0.13,0.23
52,0.18,0.58,0.01,1.06,0.13,0.23
53,0.18,0.59,0.01,1.06,0.13,0.23
54,0.18,0.58,0.01,1.06,0.12,0.24
55,0.18,0.58,0.01,1.06,0.14,0.24
56,0.18,0.58,0.01,1.06,0.13,0.23
57,0.18,0.58,0.01,1.07,0.12,0.22
58,0.18,0.58,0.02,1.06,0.13,0.23
59,0.19,0.58,0.01,1.06,0.14,0.23
60,0.18,0.58,0.01,1.06,0.12,0.21
61,0.18,0.58,0.01,1.06,0.13,0.23
62,0.18,0.59,0.01,1.06,0.13,0.23
63,0.18,0.58,0.02,1.06,0.13,0.22
64,0.19,0.58,0.02,1.06,0.14,0.23
65,0.18,0.59,0.00,1.06,0.12,0.24
66,0.18,0.58,0.01,1.06,0.13,0.23
67,0.18,0.59,0.02,1.06,0.13,0.22
68,0.18,0.59,0.01,1.07,0.12,0.22
69,0.17,0.58,0.01,1.06,0.14,0.22
70,0.18,0.58,0.01,1.06,0.12,0.24
71,0.18,0.58,0.01,1.06,0.13,0.22
72,0.18,0.59,0.01,1.06,0.13,0.24
73,0.18,0.59,0.02,1.06,0.14,0.23
74,0.18,0.59,0.00,1.06,0.12,0.22
75,0.18,0.59,0.00,1.07,0.12,0.22
76,0.18,0.58,0.01,1.06,0.13,0.23
77,0.19,0.59,0.00,1.06,0.13,0.22
78,0.18,0.59,0.01,1.06,0.12,0.23
79,0.18,0.58,0.01,1.05,0.13,0.22
80,0.18,0.59,0.01,1.06,0.14,0.23
81,0.18,0.59,0.01,1.06,0.13,0.23
82,0.18,0.58,0.02,1.06,0.14,0.22
83,0.18,0.58,0.01,1.06,0.13,0.23
84,0.18,0.59,0.01,1.06,0.13,0.23
85,0.18,0.59,0.01,1.06,0.14,0.23
86,0.19,0.58,0.01,1.06,0.13,0.24
87,0.18,0.59,0.01,1.06,0.12,0.24
88,0.18,0.59,0.02,1.06,0.13,0.22
89,0.18,0.59,0.01,1.06,0.13,0.23
90,0.18,0.59,0.01,1.06,0.13,0.23
91,0.18,0.59,0.02,1.06,0.13,0.22
92,0.18,0.59,0.01,1.06,0.13,0.23
93,0.18,0.59,0.01,1.06,0.13,0.22
94,0.18,0.59,0.01,1.06,0.13,0.24
95,0.18,0.59,0.01,1.05,0.11,0.22
96,0.18,0.59,0.02,1.06,0.13,0.22
97,0.18,0.59,0.01,1.06,0.13,0.23
98,0.18,0.58,0.01,1.05,0.13,0.24
99,0.18,0.59,0.01,1.06,0.13,0.23
100,0.18,0.59,0.01,1.06,0.13,0.23
101,0.19,0.58,0.01,1.07,0.13,0.23
102,0.18,0.59,0.01,1.06,0.12,0.22
103,0.18,0.59,0.01,1.06,0.13,0.23
