,volt,co,h2,lpg,ch4,alcohol
1,0.18,0.909,0.683,0.143,0.413,2.322
2,0.17,0.833,0.627,0.102,0.253,1.513
3,0.17,0.833,0.627,0.102,0.253,1.513
4,0.17,0.833,0.627,0.102,0.253,1.513
5,0.17,0.833,0.627,0.102,0.253,1.513
6,0.18,0.909,0.683,0.143,0.413,2.322
7,0.17,0.833,0.627,0.102,0.253,1.513
8,0.17,0.833,0.627,0.102,0.253,1.513
9,0.17,0.833,0.627,0.102,0.253,1.513
10,0.17,0.833,0.627,0.102,0.253,1.513
11,0.18,0.909,0.683,0.143,0.413,2.322
12,0.17,0.833,0.627,0.102,0.253,1.513
13,0.18,0.909,0.683,0.143,0.413,2.322
14,0.18,0.909,0.683,0.143,0.413,2.322
15,0.18,0.909,0.683,0.143,0.413,2.322
16,0.17,0.833,0.627,0.102,0.253,1.513
17,0.18,0.909,0.683,0.143,0.413,2.322
18,0.17,0.833,0.627,0.102,0.253,1.513
19,0.17,0.833,0.627,0.102,0.253,1.513
20,0.18,0.909,0.683,0.143,0.413,2.322
21,0.17,0.833,0.627,0.102,0.253,1.513
22,0.18,0.909,0.683,0.143,0.413,2.322
23,0.18,0.909,0.683,0.143,0.413,2.322
24,0.17,0.833,0.627,0.102,0.253,1.513
25,0.18,0.909,0.683,0.143,0.413,2.322
26,0.19,0.987,0.741,0.199,0.657,3.486
27,0.18,0.909,0.683,0.143,0.413,2.322
28,0.18,0.909,0.683,0.143,0.413,2.322
29,0.17,0.833,0.627,0.102,0.253,1.513
30,0.17,0.833,0.627,0.102,0.253,1.513
31,0.17,0.833,0.627,0.102,0.253,1.513
32,0.18,0.909,0.683,0.143,0.413,2.322
33,0.17,0.833,0.627,0.102,0.253,1.513
34,0.17,0.833,0.627,0.102,0.253,1.513
35,0.18,0.909,0.683,0.143,0.413,2.322
36,0.18,0.909,0.683,0.143,0.413,2.322
37,0.17,0.833,0.627,0.102,0.253,1.513
38,0.17,0.833,0.627,0.102,0.253,1.513
39,0.18,0.909,0.683,0.143,0.413,2.322
40,0.17,0.833,0.627,0.102,0.253,1.513
41,0.18,0.909,0.683,0.143,0.413,2.322
42,0.17,0.833,0.627,0.102,0.253,1.513
43,0.18,0.909,0.683,0.143,0.413,2.322
44,0.17,0.833,0.627,0.102,0.253,1.513
45,0.18,0.909,0.683,0.143,0.413,2.322
46,0.18,0.909,0.683,0.143,0.413,2.322
47,0.18,0.909,0.683,0.143,0.413,2.322
48,0.17,0.833,0.627,0.102,0.253,1.513
49,0.18,0.909,0.683,0.143,0.413,2.322
50,0.17,0.833,0.627,0.102,0.253,1.513
51,0.17,0.833,0.627,0.102,0.253,1.513
52,0.18,0.909,0.683,0.143,0.413,2.322
53,0.17,0.833,0.627,0.102,0.253,1.513
54,0.17,0.833,0.627,0.102,0.253,1.513
55,0.18,0.909,0.683,0.143,0.413,2.322
56,0.18,0.909,0.683,0.143,0.413,2.322
57,0.17,0.833,0.627,0.102,0.253,1.513
58,0.18,0.909,0.683,0.143,0.413,2.322
59,0.18,0.909,0.683,0.143,0.413,2.322
60,0.17,0.833,0.627,0.102,0.253,1.513
61,0.18,0.909,0.683,0.143,0.413,2.322
62,0.17,0.833,0.627,0.102,0.253,1.513
63,0.18,0.909,0.683,0.143,0.413,2.322
64,0.18,0.909,0.683,0.143,0.413,2.322
65,0.18,0.909,0.683,0.143,0.413,2.322
66,0.18,0.909,0.683,0.143,0.413,2.322
67,0.18,0.909,0.683,0.143,0.413,2.322
68,0.18,0.909,0.683,0.143,0.413,2.322
69,0.17,0.833,0.627,0.102,0.253,1.513
70,0.18,0.909,0.683,0.143,0.413,2.322
71,0.18,0.909,0.683,0.143,0.413,2.322
72,0.18,0.909,0.683,0.143,0.413,2.322
73,0.18,0.909,0.683,0.143,0.413,2.322
74,0.18,0.909,0.683,0.143,0.413,2.322
75,0.18,0.909,0.683,0.143,0.413,2.322
76,0.18,0.909,0.683,0.143,0.413,2.322
77,0.18,0.909,0.683,0.143,0.413,2.322
78,0.18,0.909,0.683,0.143,0.413,2.322
79,0.18,0.909,0.683,0.143,0.413,2.322
80,0.18,0.909,0.683,0.143,0.413,2.322
81,0.18,0.909,0.683,0.143,0.413,2.322
82,0.19,0.987,0.741,0.199,0.657,3.486
83,0.18,0.909,0.683,0.143,0.413,2.322
84,0.18,0.909,0.683,0.143,0.413,2.322
85,0.18,0.909,0.683,0.143,0.413,2.322
86,0.18,0.909,0.683,0.143,0.413,2.322
87,0.18,0.909,0.683,0.143,0.413,2.322
88,0.18,0.909,0.683,0.143,0.413,2.322
89,0.18,0.909,0.683,0.143,0.413,2.322
90,0.18,0.909,0.683,0.143,0.413,2.322
91,0.18,0.909,0.683,0.143,0.413,2.322
92,0.18,0.909,0.683,0.143,0.413,2.322
93,0.19,0.987,0.741,0.199,0.657,3.486
94,0.19,0.987,0.741,0.199,0.657,3.486
95,0.18,0.909,0.683,0.143,0.413,2.322
96,0.18,0.909,0.683,0.143,0.413,2.322
97,0.18,0.909,0.683,0.143,0.413,2.322
98,0.18,0.909,0.683,0.143,0.413,2.322
99,0.18,0.909,0.683,0.143,0.413,2.322
100,0.18,0.909,0.683,0.143,0.413,2.322
101,0.18,0.909,0.683,0.143,0.413,2.322
102,0.19,0.987,0.741,0.199,0.657,3.486
103,0.18,0.909,0.683,0.143,0.413,2.322
104,0.18,0.909,0.683,0.143,0.413,2.322
105,0.18,0.909,0.683,0.143,0.413,2.322
106,0.18,0.909,0.683,0.143,0.413,2.322
107,0.18,0.909,0.683,0.143,0.413,2.322
108,0.18,0.909,0.683,0.143,0.413,2.322
109,0.18,0.909,0.683,0.143,0.413,2.322
110,0.18,0.909,0.683,0.143,0.413,2.322
111,0.19,0.987,0.741,0.199,0.657,3.486
112,0.18,0.909,0.683,0.143,0.413,2.322
113,0.19,0.987,0.741,0.199,0.657,3.486
114,0.18,0.909,0.683,0.143,0.413,2.322
115,0.18,0.909,0.683,0.143,0.413,2.322
116,0.18,0.909,0.683,0.143,0.413,2.322
117,0.18,0.909,0.683,0.143,0.413,2.322
118,0.18,0.909,0.683,0.143,0.413,2.322
119,0.18,0.909,0.683,0.143,0.413,2.322
120,0.18,0.909,0.683,0.143,0.413,2.322
121,0.18,0.909,0.683,0.143,0.413,2.322
122,0.19,0.987,0.741,0.199,0.657,3.486
123,0.19,0.987,0.741,0.199,0.657,3.486
124,0.18,0.909,0.683,0.143,0.413,2.322
125,0.18,0.909,0.683,0.143,0.413,2.322
126,0.18,0.909,0.683,0.143,0.413,2.322
127,0.19,0.987,0.741,0.199,0.657,3.486
128,0.18,0.909,0.683,0.143,0.413,2.322
129,0.19,0.987,0.741,0.199,0.657,3.486
130,0.18,0.909,0.683,0.143,0.413,2.322
131,0.19,0.987,0.741,0.199,0.657,3.486
132,0.19,0.987,0.741,0.199,0.657,3.486
133,0.19,0.987,0.741,0.199,0.657,3.486
134,0.19,0.987,0.741,0.199,0.657,3.486
135,0.19,0.987,0.741,0.199,0.657,3.486
136,0.19,0.987,0.741,0.199,0.657,3.486
137,0.18,0.909,0.683,0.143,0.413,2.322
138,0.19,0.987,0.741,0.199,0.657,3.486
139,0.19,0.987,0.741,0.199,0.657,3.486
140,0.19,0.987,0.741,0.199,0.657,3.486
141,0.19,0.987,0.741,0.199,0.657,3.486
142,0.19,0.987,0.741,0.199,0.657,3.486
143,0.19,0.987,0.741,0.199,0.657,3.486
144,0.18,0.909,0.683,0.143,0.413,2.322
145,0.19,0.987,0.741,0.199,0.657,3.486
146,0.19,0.987,0.741,0.199,0.657,3.486
147,0.19,0.987,0.741,0.199,0.657,3.486
148,0.18,0.909,0.683,0.143,0.413,2.322
149,0.18,0.909,0.683,0.143,0.413,2.322
150,0.18,0.909,0.683,0.143,0.413,2.322
151,0.19,0.987,0.741,0.199,0.657,3.486
152,0.19,0.987,0.741,0.199,0.657,3.486
153,0.18,0.909,0.683,0.143,0.413,2.322
154,0.18,0.909,0.683,0.143,0.413,2.322
155,0.19,0.987,0.741,0.199,0.657,3.486
156,0.19,0.987,0.741,0.199,0.657,3.486
157,0.19,0.987,0.741,0.199,0.657,3.486
158,0.18,0.909,0.683,0.143,0.413,2.322
159,0.19,0.987,0.741,0.199,0.657,3.486
160,0.18,0.909,0.683,0.143,0.413,2.322
161,0.19,0.987,0.741,0.199,0.657,3.486
162,0.19,0.987,0.741,0.199,0.657,3.486
