id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.18,0.59,0.03,1.08,0.13,0.24
2,0.18,0.60,0.02,1.08,0.13,0.24
3,0.19,0.59,0.01,1.08,0.13,0.23
4,0.17,0.59,0.01,1.08,0.13,0.24
5,0.18,0.58,0.01,1.08,0.14,0.24
6,0.17,0.59,0.02,1.08,0.13,0.23
7,0.16,0.59,0.02,1.08,0.14,0.26
8,0.17,0.59,0.02,1.09,0.14,0.24
9,0.18,0.59,0.02,1.08,0.13,0.23
10,0.17,0.59,0.00,1.09,0.13,0.25
11,0.17,0.59,0.02,1.09,0.14,0.24
12,0.18,0.59,0.01,1.08,0.13,0.23
13,0.17,0.59,0.02,1.08,0.13,0.23
14,0.18,0.59,0.02,1.08,0.13,0.23
15,0.18,0.59,0.01,1.08,0.13,0.23
16,0.17,0.59,0.02,1.08,0.12,0.24
17,0.18,0.59,0.01,1.08,0.13,0.23
18,0.18,0.59,0.01,1.08,0.13,0.25
19,0.18,0.59,0.02,1.08,0.13,0.22
20,0.17,0.59,0.01,1.07,0.13,0.23
21,0.17,0.59,0.03,1.08,0.13,0.23
22,0.18,0.59,0.02,1.08,0.12,0.24
23,0.18,0.59,0.01,1.08,0.13,0.23
24,0.18,0.59,0.01,1.08,0.15,0.23
25,0.18,0.60,0.01,1.08,0.13,0.23
26,0.18,0.59,0.02,1.08,0.13,0.23
27,0.18,0.59,0.01,1.08,0.13,0.23
28,0.18,0.59,0.02,1.08,0.13,0.23
29,0.18,0.59,0.01,1.09,0.13,0.23
30,0.18,0.59,0.01,1.08,0.12,0.22
31,0.18,0.59,0.01,1.08,0.13,0.23
32,0.18,0.60,0.02,1.08,0.15,0.21
33,0.19,0.58,0.01,1.08,0.13,0.24
34,0.18,0.59,0.01,1.08,0.13,0.23
35,0.18,0.59,0.02,1.08,0.14,0.23
36,0.18,0.59,0.01,1.08,0.13,0.23
37,0.18,0.59,0.01,1.07,0.12,0.23
38,0.17,0.59,0.01,1.08,0.13,0.22
39,0.18,0.59,0.02,1.07,0.13,0.23
40,0.16,0.59,0.00,1.08,0.13,0.23
41,0.18,0.60,0.02,1.07,0.14,0.22
42,0.18,0.59,0.01,1.08,0.13,0.23
43,0.18,0.60,0.01,1.08,0.13,0.24
44,0.18,0.58,0.02,1.08,0.12,0.22
45,0.18,0.59,0.01,1.08,0.13,0.23
46,0.18,0.58,0.02,1.08,0.13,0.23
47,0.18,0.59,0.02,1.08,0.13,0.23
48,0.18,0.59,0.01,1.08,0.14,0.24
49,0.18,0.59,0.01,1.07,0.14,0.23
50,0.18,0.59,0.01,1.07,0.14,0.23
51,0.17,0.60,0.01,1.06,0.12,0.21
52,0.19,0.59,0.01,1.08,0.12,0.22
53,0.18,0.59,0.01,1.08,0.13,0.23
54,0.18,0.57,0.02,1.08,0.13,0.23
55,0.19,0.59,0.00,1.08,0.13,0.23
56,0.18,0.59,0.02,1.07,0.13,0.23
57,0.18,0.60,0.01,1.08,0.13,0.23
58,0.18,0.60,0.01,1.07,0.14,0.22
59,0.18,0.59,0.01,1.08,0.13,0.23
60,0.19,0.58,0.02,1.07,0.13,0.24
61,0.19,0.58,0.02,1.08,0.13,0.24
62,0.18,0.59,0.01,1.07,0.13,0.23
63,0.18,0.60,0.02,1.07,0.13,0.23
64,0.18,0.59,0.02,1.08,0.13,0.24
