,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
1,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
2,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
3,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
4,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
5,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
6,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
7,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
8,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
9,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
10,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
11,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
12,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
13,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
14,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
15,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
16,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
17,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
18,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
19,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
20,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
21,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
22,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
23,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
24,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
25,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
26,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
27,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
28,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
29,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
30,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
31,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
32,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
33,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
34,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
35,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
36,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
37,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
38,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
39,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
40,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
41,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
42,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
43,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
44,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
45,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
46,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
47,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
48,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
49,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
50,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
51,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
52,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
53,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
54,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
55,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
56,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
57,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
58,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
59,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
60,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
61,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
62,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
63,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
64,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
65,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
66,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
67,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
68,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
69,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
70,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
71,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
72,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
73,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
74,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
75,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
76,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
77,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
