,volt,co,h2,lpg,ch4,alcohol
0,0.25,0.906,0.681,0.142,0.405,2.285
1,0.24,0.85,0.64,0.11,0.284,1.675
2,0.24,0.85,0.64,0.11,0.284,1.675
3,0.24,0.85,0.64,0.11,0.284,1.675
4,0.24,0.85,0.64,0.11,0.284,1.675
5,0.24,0.85,0.64,0.11,0.284,1.675
6,0.24,0.85,0.64,0.11,0.284,1.675
7,0.24,0.85,0.64,0.11,0.284,1.675
8,0.24,0.85,0.64,0.11,0.284,1.675
9,0.24,0.85,0.64,0.11,0.284,1.675
10,0.24,0.85,0.64,0.11,0.284,1.675
11,0.24,0.85,0.64,0.11,0.284,1.675
12,0.25,0.906,0.681,0.142,0.405,2.285
13,0.24,0.85,0.64,0.11,0.284,1.675
14,0.24,0.85,0.64,0.11,0.284,1.675
15,0.24,0.85,0.64,0.11,0.284,1.675
16,0.25,0.906,0.681,0.142,0.405,2.285
17,0.24,0.85,0.64,0.11,0.284,1.675
18,0.24,0.85,0.64,0.11,0.284,1.675
19,0.24,0.85,0.64,0.11,0.284,1.675
20,0.25,0.906,0.681,0.142,0.405,2.285
21,0.24,0.85,0.64,0.11,0.284,1.675
22,0.24,0.85,0.64,0.11,0.284,1.675
23,0.24,0.85,0.64,0.11,0.284,1.675
24,0.24,0.85,0.64,0.11,0.284,1.675
25,0.24,0.85,0.64,0.11,0.284,1.675
26,0.24,0.85,0.64,0.11,0.284,1.675
27,0.24,0.85,0.64,0.11,0.284,1.675
28,0.24,0.85,0.64,0.11,0.284,1.675
29,0.24,0.85,0.64,0.11,0.284,1.675
30,0.24,0.85,0.64,0.11,0.284,1.675
31,0.24,0.85,0.64,0.11,0.284,1.675
32,0.24,0.85,0.64,0.11,0.284,1.675
33,0.24,0.85,0.64,0.11,0.284,1.675
34,0.24,0.85,0.64,0.11,0.284,1.675
35,0.25,0.906,0.681,0.142,0.405,2.285
36,0.25,0.906,0.681,0.142,0.405,2.285
37,0.24,0.85,0.64,0.11,0.284,1.675
38,0.24,0.85,0.64,0.11,0.284,1.675
39,0.23,0.797,0.6,0.085,0.196,1.212
40,0.24,0.85,0.64,0.11,0.284,1.675
41,0.24,0.85,0.64,0.11,0.284,1.675
42,0.24,0.85,0.64,0.11,0.284,1.675
43,0.25,0.906,0.681,0.142,0.405,2.285
44,0.24,0.85,0.64,0.11,0.284,1.675
45,0.24,0.85,0.64,0.11,0.284,1.675
46,0.24,0.85,0.64,0.11,0.284,1.675
47,0.24,0.85,0.64,0.11,0.284,1.675
48,0.24,0.85,0.64,0.11,0.284,1.675
49,0.24,0.85,0.64,0.11,0.284,1.675
50,0.24,0.85,0.64,0.11,0.284,1.675
51,0.24,0.85,0.64,0.11,0.284,1.675
52,0.25,0.906,0.681,0.142,0.405,2.285
53,0.24,0.85,0.64,0.11,0.284,1.675
54,0.24,0.85,0.64,0.11,0.284,1.675
55,0.24,0.85,0.64,0.11,0.284,1.675
56,0.24,0.85,0.64,0.11,0.284,1.675
57,0.24,0.85,0.64,0.11,0.284,1.675
58,0.24,0.85,0.64,0.11,0.284,1.675
59,0.24,0.85,0.64,0.11,0.284,1.675
60,0.25,0.906,0.681,0.142,0.405,2.285
61,0.25,0.906,0.681,0.142,0.405,2.285
62,0.24,0.85,0.64,0.11,0.284,1.675
63,0.25,0.906,0.681,0.142,0.405,2.285
64,0.23,0.797,0.6,0.085,0.196,1.212
65,0.24,0.85,0.64,0.11,0.284,1.675
66,0.24,0.85,0.64,0.11,0.284,1.675
67,0.23,0.797,0.6,0.085,0.196,1.212
68,0.24,0.85,0.64,0.11,0.284,1.675
69,0.24,0.85,0.64,0.11,0.284,1.675
70,0.24,0.85,0.64,0.11,0.284,1.675
71,0.24,0.85,0.64,0.11,0.284,1.675
72,0.24,0.85,0.64,0.11,0.284,1.675
73,0.24,0.85,0.64,0.11,0.284,1.675
74,0.24,0.85,0.64,0.11,0.284,1.675
75,0.24,0.85,0.64,0.11,0.284,1.675
76,0.25,0.906,0.681,0.142,0.405,2.285
77,0.24,0.85,0.64,0.11,0.284,1.675
78,0.24,0.85,0.64,0.11,0.284,1.675
79,0.24,0.85,0.64,0.11,0.284,1.675
80,0.25,0.906,0.681,0.142,0.405,2.285
81,0.24,0.85,0.64,0.11,0.284,1.675
82,0.24,0.85,0.64,0.11,0.284,1.675
83,0.24,0.85,0.64,0.11,0.284,1.675
84,0.24,0.85,0.64,0.11,0.284,1.675
85,0.24,0.85,0.64,0.11,0.284,1.675
86,0.24,0.85,0.64,0.11,0.284,1.675
87,0.24,0.85,0.64,0.11,0.284,1.675
88,0.23,0.797,0.6,0.085,0.196,1.212
89,0.24,0.85,0.64,0.11,0.284,1.675
90,0.24,0.85,0.64,0.11,0.284,1.675
91,0.24,0.85,0.64,0.11,0.284,1.675
92,0.24,0.85,0.64,0.11,0.284,1.675
93,0.24,0.85,0.64,0.11,0.284,1.675
94,0.24,0.85,0.64,0.11,0.284,1.675
95,0.24,0.85,0.64,0.11,0.284,1.675
96,0.24,0.85,0.64,0.11,0.284,1.675
97,0.24,0.85,0.64,0.11,0.284,1.675
98,0.24,0.85,0.64,0.11,0.284,1.675
99,0.24,0.85,0.64,0.11,0.284,1.675
100,0.24,0.85,0.64,0.11,0.284,1.675
101,0.25,0.906,0.681,0.142,0.405,2.285
102,0.24,0.85,0.64,0.11,0.284,1.675
103,0.24,0.85,0.64,0.11,0.284,1.675
104,0.24,0.85,0.64,0.11,0.284,1.675
105,0.24,0.85,0.64,0.11,0.284,1.675
106,0.24,0.85,0.64,0.11,0.284,1.675
107,0.24,0.85,0.64,0.11,0.284,1.675
108,0.24,0.85,0.64,0.11,0.284,1.675
