,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
1,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
2,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
3,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
4,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
5,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
6,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
7,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
8,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
9,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
10,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
11,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
12,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
13,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
14,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
15,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
16,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
17,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
18,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
19,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
20,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
21,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
22,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
23,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
24,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
25,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
26,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
27,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
28,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
29,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
30,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
31,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
32,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
33,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
34,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
35,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
36,0.2,5.303,2.825,3.841,14.421,4.607,8.797,3.835
37,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
38,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
39,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
40,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
41,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
42,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
43,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
44,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
45,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
46,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
47,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
48,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
49,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
50,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
51,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
52,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
53,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
54,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
55,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
56,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
57,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
58,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
59,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
60,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
61,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
62,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
63,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
64,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
65,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
66,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
67,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
