,volt,co,h2,lpg,ch4,alcohol
0,0.17,0.833,0.627,0.102,0.253,1.513
1,0.18,0.909,0.683,0.143,0.413,2.322
2,0.17,0.833,0.627,0.102,0.253,1.513
3,0.17,0.833,0.627,0.102,0.253,1.513
4,0.19,0.987,0.741,0.199,0.657,3.486
5,0.18,0.909,0.683,0.143,0.413,2.322
6,0.17,0.833,0.627,0.102,0.253,1.513
7,0.18,0.909,0.683,0.143,0.413,2.322
8,0.18,0.909,0.683,0.143,0.413,2.322
9,0.18,0.909,0.683,0.143,0.413,2.322
10,0.17,0.833,0.627,0.102,0.253,1.513
11,0.17,0.833,0.627,0.102,0.253,1.513
12,0.17,0.833,0.627,0.102,0.253,1.513
13,0.17,0.833,0.627,0.102,0.253,1.513
14,0.17,0.833,0.627,0.102,0.253,1.513
15,0.18,0.909,0.683,0.143,0.413,2.322
16,0.18,0.909,0.683,0.143,0.413,2.322
17,0.18,0.909,0.683,0.143,0.413,2.322
18,0.18,0.909,0.683,0.143,0.413,2.322
19,0.18,0.909,0.683,0.143,0.413,2.322
20,0.17,0.833,0.627,0.102,0.253,1.513
21,0.17,0.833,0.627,0.102,0.253,1.513
22,0.17,0.833,0.627,0.102,0.253,1.513
23,0.17,0.833,0.627,0.102,0.253,1.513
24,0.17,0.833,0.627,0.102,0.253,1.513
25,0.18,0.909,0.683,0.143,0.413,2.322
26,0.18,0.909,0.683,0.143,0.413,2.322
27,0.18,0.909,0.683,0.143,0.413,2.322
28,0.18,0.909,0.683,0.143,0.413,2.322
29,0.17,0.833,0.627,0.102,0.253,1.513
30,0.17,0.833,0.627,0.102,0.253,1.513
31,0.18,0.909,0.683,0.143,0.413,2.322
32,0.18,0.909,0.683,0.143,0.413,2.322
33,0.17,0.833,0.627,0.102,0.253,1.513
34,0.17,0.833,0.627,0.102,0.253,1.513
35,0.18,0.909,0.683,0.143,0.413,2.322
36,0.17,0.833,0.627,0.102,0.253,1.513
37,0.17,0.833,0.627,0.102,0.253,1.513
38,0.18,0.909,0.683,0.143,0.413,2.322
39,0.18,0.909,0.683,0.143,0.413,2.322
40,0.19,0.987,0.741,0.199,0.657,3.486
41,0.18,0.909,0.683,0.143,0.413,2.322
42,0.17,0.833,0.627,0.102,0.253,1.513
43,0.18,0.909,0.683,0.143,0.413,2.322
44,0.17,0.833,0.627,0.102,0.253,1.513
45,0.17,0.833,0.627,0.102,0.253,1.513
46,0.17,0.833,0.627,0.102,0.253,1.513
47,0.17,0.833,0.627,0.102,0.253,1.513
48,0.18,0.909,0.683,0.143,0.413,2.322
49,0.18,0.909,0.683,0.143,0.413,2.322
50,0.18,0.909,0.683,0.143,0.413,2.322
51,0.17,0.833,0.627,0.102,0.253,1.513
52,0.18,0.909,0.683,0.143,0.413,2.322
53,0.17,0.833,0.627,0.102,0.253,1.513
54,0.18,0.909,0.683,0.143,0.413,2.322
55,0.17,0.833,0.627,0.102,0.253,1.513
56,0.17,0.833,0.627,0.102,0.253,1.513
57,0.17,0.833,0.627,0.102,0.253,1.513
58,0.17,0.833,0.627,0.102,0.253,1.513
59,0.17,0.833,0.627,0.102,0.253,1.513
60,0.17,0.833,0.627,0.102,0.253,1.513
61,0.18,0.909,0.683,0.143,0.413,2.322
62,0.17,0.833,0.627,0.102,0.253,1.513
63,0.18,0.909,0.683,0.143,0.413,2.322
64,0.18,0.909,0.683,0.143,0.413,2.322
65,0.18,0.909,0.683,0.143,0.413,2.322
66,0.18,0.909,0.683,0.143,0.413,2.322
67,0.17,0.833,0.627,0.102,0.253,1.513
68,0.17,0.833,0.627,0.102,0.253,1.513
69,0.18,0.909,0.683,0.143,0.413,2.322
70,0.17,0.833,0.627,0.102,0.253,1.513
71,0.17,0.833,0.627,0.102,0.253,1.513
72,0.17,0.833,0.627,0.102,0.253,1.513
73,0.18,0.909,0.683,0.143,0.413,2.322
74,0.18,0.909,0.683,0.143,0.413,2.322
75,0.18,0.909,0.683,0.143,0.413,2.322
76,0.18,0.909,0.683,0.143,0.413,2.322
77,0.18,0.909,0.683,0.143,0.413,2.322
78,0.18,0.909,0.683,0.143,0.413,2.322
79,0.17,0.833,0.627,0.102,0.253,1.513
80,0.18,0.909,0.683,0.143,0.413,2.322
81,0.17,0.833,0.627,0.102,0.253,1.513
82,0.17,0.833,0.627,0.102,0.253,1.513
83,0.17,0.833,0.627,0.102,0.253,1.513
84,0.18,0.909,0.683,0.143,0.413,2.322
85,0.17,0.833,0.627,0.102,0.253,1.513
86,0.17,0.833,0.627,0.102,0.253,1.513
