,volt,lpg,co,ch4
0,0.03,0.051,0.012,0.068
1,0.03,0.051,0.012,0.068
2,0.03,0.051,0.012,0.068
3,0.03,0.051,0.012,0.068
4,0.02,0.006,0.001,0.003
5,0.03,0.051,0.012,0.068
6,0.02,0.006,0.001,0.003
7,0.03,0.051,0.012,0.068
8,0.03,0.051,0.012,0.068
9,0.02,0.006,0.001,0.003
10,0.02,0.006,0.001,0.003
11,0.03,0.051,0.012,0.068
12,0.04,0.243,0.058,0.589
13,0.02,0.006,0.001,0.003
14,0.03,0.051,0.012,0.068
15,0.03,0.051,0.012,0.068
16,0.03,0.051,0.012,0.068
17,0.02,0.006,0.001,0.003
18,0.03,0.051,0.012,0.068
19,0.03,0.051,0.012,0.068
20,0.03,0.051,0.012,0.068
21,0.03,0.051,0.012,0.068
22,0.03,0.051,0.012,0.068
23,0.04,0.243,0.058,0.589
24,0.03,0.051,0.012,0.068
25,0.03,0.051,0.012,0.068
26,0.03,0.051,0.012,0.068
27,0.03,0.051,0.012,0.068
28,0.02,0.006,0.001,0.003
29,0.03,0.051,0.012,0.068
30,0.03,0.051,0.012,0.068
31,0.03,0.051,0.012,0.068
32,0.03,0.051,0.012,0.068
33,0.02,0.006,0.001,0.003
34,0.02,0.006,0.001,0.003
35,0.03,0.051,0.012,0.068
36,0.03,0.051,0.012,0.068
37,0.03,0.051,0.012,0.068
38,0.02,0.006,0.001,0.003
39,0.03,0.051,0.012,0.068
40,0.02,0.006,0.001,0.003
41,0.02,0.006,0.001,0.003
42,0.02,0.006,0.001,0.003
43,0.03,0.051,0.012,0.068
44,0.02,0.006,0.001,0.003
45,0.02,0.006,0.001,0.003
46,0.03,0.051,0.012,0.068
47,0.03,0.051,0.012,0.068
48,0.03,0.051,0.012,0.068
49,0.03,0.051,0.012,0.068
50,0.03,0.051,0.012,0.068
51,0.03,0.051,0.012,0.068
52,0.03,0.051,0.012,0.068
53,0.03,0.051,0.012,0.068
54,0.03,0.051,0.012,0.068
55,0.02,0.006,0.001,0.003
56,0.03,0.051,0.012,0.068
57,0.03,0.051,0.012,0.068
58,0.03,0.051,0.012,0.068
59,0.04,0.243,0.058,0.589
60,0.03,0.051,0.012,0.068
61,0.03,0.051,0.012,0.068
62,0.03,0.051,0.012,0.068
63,0.03,0.051,0.012,0.068
64,0.03,0.051,0.012,0.068
65,0.03,0.051,0.012,0.068
66,0.03,0.051,0.012,0.068
67,0.03,0.051,0.012,0.068
68,0.03,0.051,0.012,0.068
69,0.03,0.051,0.012,0.068
70,0.03,0.051,0.012,0.068
71,0.03,0.051,0.012,0.068
72,0.03,0.051,0.012,0.068
73,0.02,0.006,0.001,0.003
74,0.02,0.006,0.001,0.003
75,0.03,0.051,0.012,0.068
76,0.03,0.051,0.012,0.068
77,0.03,0.051,0.012,0.068
78,0.03,0.051,0.012,0.068
79,0.03,0.051,0.012,0.068
80,0.03,0.051,0.012,0.068
81,0.03,0.051,0.012,0.068
82,0.03,0.051,0.012,0.068
83,0.03,0.051,0.012,0.068
84,0.03,0.051,0.012,0.068
85,0.03,0.051,0.012,0.068
86,0.02,0.006,0.001,0.003
87,0.02,0.006,0.001,0.003
88,0.02,0.006,0.001,0.003
89,0.03,0.051,0.012,0.068
90,0.02,0.006,0.001,0.003
91,0.02,0.006,0.001,0.003
92,0.03,0.051,0.012,0.068
93,0.03,0.051,0.012,0.068
94,0.03,0.051,0.012,0.068
95,0.02,0.006,0.001,0.003
96,0.03,0.051,0.012,0.068
97,0.04,0.243,0.058,0.589
98,0.02,0.006,0.001,0.003
99,0.03,0.051,0.012,0.068
100,0.03,0.051,0.012,0.068
101,0.03,0.051,0.012,0.068
102,0.03,0.051,0.012,0.068
103,0.03,0.051,0.012,0.068
104,0.03,0.051,0.012,0.068
105,0.02,0.006,0.001,0.003
106,0.03,0.051,0.012,0.068
107,0.03,0.051,0.012,0.068
108,0.03,0.051,0.012,0.068
109,0.03,0.051,0.012,0.068
110,0.02,0.006,0.001,0.003
111,0.02,0.006,0.001,0.003
112,0.04,0.243,0.058,0.589
113,0.03,0.051,0.012,0.068
114,0.03,0.051,0.012,0.068
115,0.02,0.006,0.001,0.003
116,0.03,0.051,0.012,0.068
117,0.03,0.051,0.012,0.068
118,0.03,0.051,0.012,0.068
119,0.03,0.051,0.012,0.068
120,0.03,0.051,0.012,0.068
121,0.03,0.051,0.012,0.068
122,0.02,0.006,0.001,0.003
123,0.03,0.051,0.012,0.068
124,0.03,0.051,0.012,0.068
125,0.03,0.051,0.012,0.068
126,0.03,0.051,0.012,0.068
127,0.03,0.051,0.012,0.068
128,0.03,0.051,0.012,0.068
129,0.03,0.051,0.012,0.068
130,0.02,0.006,0.001,0.003
131,0.03,0.051,0.012,0.068
132,0.03,0.051,0.012,0.068
133,0.03,0.051,0.012,0.068
134,0.03,0.051,0.012,0.068
135,0.03,0.051,0.012,0.068
136,0.03,0.051,0.012,0.068
137,0.04,0.243,0.058,0.589
138,0.02,0.006,0.001,0.003
139,0.02,0.006,0.001,0.003
140,0.03,0.051,0.012,0.068
141,0.03,0.051,0.012,0.068
142,0.03,0.051,0.012,0.068
143,0.03,0.051,0.012,0.068
144,0.03,0.051,0.012,0.068
145,0.03,0.051,0.012,0.068
146,0.03,0.051,0.012,0.068
147,0.03,0.051,0.012,0.068
