,volt,co,h2,lpg,ch4,alcohol
0,0.24,0.85,0.64,0.11,0.284,1.675
1,0.24,0.85,0.64,0.11,0.284,1.675
2,0.24,0.85,0.64,0.11,0.284,1.675
3,0.24,0.85,0.64,0.11,0.284,1.675
4,0.24,0.85,0.64,0.11,0.284,1.675
5,0.24,0.85,0.64,0.11,0.284,1.675
6,0.24,0.85,0.64,0.11,0.284,1.675
7,0.24,0.85,0.64,0.11,0.284,1.675
8,0.24,0.85,0.64,0.11,0.284,1.675
9,0.23,0.797,0.6,0.085,0.196,1.212
10,0.24,0.85,0.64,0.11,0.284,1.675
11,0.24,0.85,0.64,0.11,0.284,1.675
12,0.24,0.85,0.64,0.11,0.284,1.675
13,0.24,0.85,0.64,0.11,0.284,1.675
14,0.24,0.85,0.64,0.11,0.284,1.675
15,0.23,0.797,0.6,0.085,0.196,1.212
16,0.24,0.85,0.64,0.11,0.284,1.675
17,0.23,0.797,0.6,0.085,0.196,1.212
18,0.24,0.85,0.64,0.11,0.284,1.675
19,0.24,0.85,0.64,0.11,0.284,1.675
20,0.24,0.85,0.64,0.11,0.284,1.675
21,0.24,0.85,0.64,0.11,0.284,1.675
22,0.24,0.85,0.64,0.11,0.284,1.675
23,0.24,0.85,0.64,0.11,0.284,1.675
24,0.24,0.85,0.64,0.11,0.284,1.675
25,0.24,0.85,0.64,0.11,0.284,1.675
26,0.24,0.85,0.64,0.11,0.284,1.675
27,0.24,0.85,0.64,0.11,0.284,1.675
28,0.24,0.85,0.64,0.11,0.284,1.675
29,0.24,0.85,0.64,0.11,0.284,1.675
30,0.24,0.85,0.64,0.11,0.284,1.675
31,0.23,0.797,0.6,0.085,0.196,1.212
32,0.24,0.85,0.64,0.11,0.284,1.675
33,0.24,0.85,0.64,0.11,0.284,1.675
34,0.24,0.85,0.64,0.11,0.284,1.675
35,0.24,0.85,0.64,0.11,0.284,1.675
36,0.24,0.85,0.64,0.11,0.284,1.675
37,0.24,0.85,0.64,0.11,0.284,1.675
38,0.24,0.85,0.64,0.11,0.284,1.675
39,0.23,0.797,0.6,0.085,0.196,1.212
40,0.24,0.85,0.64,0.11,0.284,1.675
41,0.24,0.85,0.64,0.11,0.284,1.675
42,0.24,0.85,0.64,0.11,0.284,1.675
43,0.24,0.85,0.64,0.11,0.284,1.675
44,0.24,0.85,0.64,0.11,0.284,1.675
45,0.24,0.85,0.64,0.11,0.284,1.675
46,0.24,0.85,0.64,0.11,0.284,1.675
47,0.24,0.85,0.64,0.11,0.284,1.675
48,0.24,0.85,0.64,0.11,0.284,1.675
49,0.24,0.85,0.64,0.11,0.284,1.675
50,0.24,0.85,0.64,0.11,0.284,1.675
51,0.24,0.85,0.64,0.11,0.284,1.675
52,0.24,0.85,0.64,0.11,0.284,1.675
53,0.24,0.85,0.64,0.11,0.284,1.675
54,0.24,0.85,0.64,0.11,0.284,1.675
55,0.23,0.797,0.6,0.085,0.196,1.212
56,0.24,0.85,0.64,0.11,0.284,1.675
57,0.24,0.85,0.64,0.11,0.284,1.675
58,0.24,0.85,0.64,0.11,0.284,1.675
59,0.24,0.85,0.64,0.11,0.284,1.675
60,0.24,0.85,0.64,0.11,0.284,1.675
61,0.24,0.85,0.64,0.11,0.284,1.675
62,0.24,0.85,0.64,0.11,0.284,1.675
63,0.24,0.85,0.64,0.11,0.284,1.675
64,0.24,0.85,0.64,0.11,0.284,1.675
65,0.24,0.85,0.64,0.11,0.284,1.675
66,0.24,0.85,0.64,0.11,0.284,1.675
67,0.24,0.85,0.64,0.11,0.284,1.675
68,0.23,0.797,0.6,0.085,0.196,1.212
69,0.24,0.85,0.64,0.11,0.284,1.675
70,0.24,0.85,0.64,0.11,0.284,1.675
71,0.24,0.85,0.64,0.11,0.284,1.675
72,0.24,0.85,0.64,0.11,0.284,1.675
73,0.24,0.85,0.64,0.11,0.284,1.675
74,0.24,0.85,0.64,0.11,0.284,1.675
75,0.24,0.85,0.64,0.11,0.284,1.675
76,0.24,0.85,0.64,0.11,0.284,1.675
77,0.24,0.85,0.64,0.11,0.284,1.675
78,0.24,0.85,0.64,0.11,0.284,1.675
79,0.25,0.906,0.681,0.142,0.405,2.285
80,0.24,0.85,0.64,0.11,0.284,1.675
81,0.24,0.85,0.64,0.11,0.284,1.675
82,0.24,0.85,0.64,0.11,0.284,1.675
83,0.24,0.85,0.64,0.11,0.284,1.675
84,0.24,0.85,0.64,0.11,0.284,1.675
85,0.24,0.85,0.64,0.11,0.284,1.675
86,0.24,0.85,0.64,0.11,0.284,1.675
87,0.24,0.85,0.64,0.11,0.284,1.675
88,0.24,0.85,0.64,0.11,0.284,1.675
89,0.23,0.797,0.6,0.085,0.196,1.212
90,0.24,0.85,0.64,0.11,0.284,1.675
91,0.24,0.85,0.64,0.11,0.284,1.675
92,0.24,0.85,0.64,0.11,0.284,1.675
93,0.24,0.85,0.64,0.11,0.284,1.675
94,0.24,0.85,0.64,0.11,0.284,1.675
95,0.24,0.85,0.64,0.11,0.284,1.675
96,0.24,0.85,0.64,0.11,0.284,1.675
97,0.24,0.85,0.64,0.11,0.284,1.675
98,0.24,0.85,0.64,0.11,0.284,1.675
99,0.24,0.85,0.64,0.11,0.284,1.675
100,0.25,0.906,0.681,0.142,0.405,2.285
101,0.24,0.85,0.64,0.11,0.284,1.675
102,0.24,0.85,0.64,0.11,0.284,1.675
103,0.23,0.797,0.6,0.085,0.196,1.212
104,0.24,0.85,0.64,0.11,0.284,1.675
105,0.24,0.85,0.64,0.11,0.284,1.675
106,0.24,0.85,0.64,0.11,0.284,1.675
107,0.25,0.906,0.681,0.142,0.405,2.285
108,0.25,0.906,0.681,0.142,0.405,2.285
109,0.24,0.85,0.64,0.11,0.284,1.675
110,0.24,0.85,0.64,0.11,0.284,1.675
111,0.24,0.85,0.64,0.11,0.284,1.675
112,0.24,0.85,0.64,0.11,0.284,1.675
113,0.24,0.85,0.64,0.11,0.284,1.675
114,0.24,0.85,0.64,0.11,0.284,1.675
115,0.24,0.85,0.64,0.11,0.284,1.675
116,0.24,0.85,0.64,0.11,0.284,1.675
117,0.24,0.85,0.64,0.11,0.284,1.675
118,0.24,0.85,0.64,0.11,0.284,1.675
119,0.25,0.906,0.681,0.142,0.405,2.285
120,0.24,0.85,0.64,0.11,0.284,1.675
121,0.23,0.797,0.6,0.085,0.196,1.212
122,0.24,0.85,0.64,0.11,0.284,1.675
123,0.24,0.85,0.64,0.11,0.284,1.675
124,0.24,0.85,0.64,0.11,0.284,1.675
125,0.24,0.85,0.64,0.11,0.284,1.675
126,0.23,0.797,0.6,0.085,0.196,1.212
127,0.24,0.85,0.64,0.11,0.284,1.675
128,0.24,0.85,0.64,0.11,0.284,1.675
129,0.25,0.906,0.681,0.142,0.405,2.285
130,0.24,0.85,0.64,0.11,0.284,1.675
131,0.24,0.85,0.64,0.11,0.284,1.675
132,0.24,0.85,0.64,0.11,0.284,1.675
133,0.23,0.797,0.6,0.085,0.196,1.212
134,0.24,0.85,0.64,0.11,0.284,1.675
135,0.24,0.85,0.64,0.11,0.284,1.675
136,0.24,0.85,0.64,0.11,0.284,1.675
137,0.24,0.85,0.64,0.11,0.284,1.675
138,0.24,0.85,0.64,0.11,0.284,1.675
139,0.24,0.85,0.64,0.11,0.284,1.675
140,0.24,0.85,0.64,0.11,0.284,1.675
141,0.24,0.85,0.64,0.11,0.284,1.675
142,0.25,0.906,0.681,0.142,0.405,2.285
143,0.24,0.85,0.64,0.11,0.284,1.675
144,0.25,0.906,0.681,0.142,0.405,2.285
145,0.24,0.85,0.64,0.11,0.284,1.675
146,0.24,0.85,0.64,0.11,0.284,1.675
147,0.24,0.85,0.64,0.11,0.284,1.675
148,0.24,0.85,0.64,0.11,0.284,1.675
149,0.24,0.85,0.64,0.11,0.284,1.675
150,0.25,0.906,0.681,0.142,0.405,2.285
151,0.25,0.906,0.681,0.142,0.405,2.285
152,0.24,0.85,0.64,0.11,0.284,1.675
153,0.24,0.85,0.64,0.11,0.284,1.675
154,0.24,0.85,0.64,0.11,0.284,1.675
155,0.24,0.85,0.64,0.11,0.284,1.675
156,0.24,0.85,0.64,0.11,0.284,1.675
157,0.24,0.85,0.64,0.11,0.284,1.675
158,0.24,0.85,0.64,0.11,0.284,1.675
159,0.23,0.797,0.6,0.085,0.196,1.212
160,0.25,0.906,0.681,0.142,0.405,2.285
161,0.24,0.85,0.64,0.11,0.284,1.675
162,0.24,0.85,0.64,0.11,0.284,1.675
163,0.24,0.85,0.64,0.11,0.284,1.675
164,0.24,0.85,0.64,0.11,0.284,1.675
165,0.24,0.85,0.64,0.11,0.284,1.675
166,0.24,0.85,0.64,0.11,0.284,1.675
167,0.25,0.906,0.681,0.142,0.405,2.285
168,0.25,0.906,0.681,0.142,0.405,2.285
169,0.23,0.797,0.6,0.085,0.196,1.212
170,0.24,0.85,0.64,0.11,0.284,1.675
171,0.24,0.85,0.64,0.11,0.284,1.675
172,0.24,0.85,0.64,0.11,0.284,1.675
173,0.24,0.85,0.64,0.11,0.284,1.675
174,0.24,0.85,0.64,0.11,0.284,1.675
175,0.24,0.85,0.64,0.11,0.284,1.675
176,0.24,0.85,0.64,0.11,0.284,1.675
177,0.24,0.85,0.64,0.11,0.284,1.675
178,0.24,0.85,0.64,0.11,0.284,1.675
179,0.24,0.85,0.64,0.11,0.284,1.675
180,0.23,0.797,0.6,0.085,0.196,1.212
181,0.24,0.85,0.64,0.11,0.284,1.675
182,0.24,0.85,0.64,0.11,0.284,1.675
183,0.24,0.85,0.64,0.11,0.284,1.675
184,0.25,0.906,0.681,0.142,0.405,2.285
185,0.24,0.85,0.64,0.11,0.284,1.675
186,0.24,0.85,0.64,0.11,0.284,1.675
187,0.24,0.85,0.64,0.11,0.284,1.675
188,0.24,0.85,0.64,0.11,0.284,1.675
189,0.25,0.906,0.681,0.142,0.405,2.285
190,0.24,0.85,0.64,0.11,0.284,1.675
191,0.24,0.85,0.64,0.11,0.284,1.675
192,0.24,0.85,0.64,0.11,0.284,1.675
193,0.24,0.85,0.64,0.11,0.284,1.675
194,0.24,0.85,0.64,0.11,0.284,1.675
195,0.24,0.85,0.64,0.11,0.284,1.675
196,0.24,0.85,0.64,0.11,0.284,1.675
197,0.24,0.85,0.64,0.11,0.284,1.675
198,0.24,0.85,0.64,0.11,0.284,1.675
199,0.24,0.85,0.64,0.11,0.284,1.675
200,0.24,0.85,0.64,0.11,0.284,1.675
201,0.24,0.85,0.64,0.11,0.284,1.675
202,0.24,0.85,0.64,0.11,0.284,1.675
203,0.25,0.906,0.681,0.142,0.405,2.285
204,0.24,0.85,0.64,0.11,0.284,1.675
205,0.24,0.85,0.64,0.11,0.284,1.675
206,0.24,0.85,0.64,0.11,0.284,1.675
207,0.24,0.85,0.64,0.11,0.284,1.675
208,0.24,0.85,0.64,0.11,0.284,1.675
209,0.24,0.85,0.64,0.11,0.284,1.675
210,0.25,0.906,0.681,0.142,0.405,2.285
211,0.24,0.85,0.64,0.11,0.284,1.675
212,0.24,0.85,0.64,0.11,0.284,1.675
213,0.24,0.85,0.64,0.11,0.284,1.675
214,0.24,0.85,0.64,0.11,0.284,1.675
215,0.24,0.85,0.64,0.11,0.284,1.675
216,0.24,0.85,0.64,0.11,0.284,1.675
217,0.25,0.906,0.681,0.142,0.405,2.285
218,0.23,0.797,0.6,0.085,0.196,1.212
219,0.24,0.85,0.64,0.11,0.284,1.675
220,0.24,0.85,0.64,0.11,0.284,1.675
221,0.24,0.85,0.64,0.11,0.284,1.675
222,0.24,0.85,0.64,0.11,0.284,1.675
223,0.23,0.797,0.6,0.085,0.196,1.212
224,0.24,0.85,0.64,0.11,0.284,1.675
225,0.24,0.85,0.64,0.11,0.284,1.675
226,0.24,0.85,0.64,0.11,0.284,1.675
227,0.24,0.85,0.64,0.11,0.284,1.675
228,0.24,0.85,0.64,0.11,0.284,1.675
229,0.24,0.85,0.64,0.11,0.284,1.675
230,0.24,0.85,0.64,0.11,0.284,1.675
231,0.24,0.85,0.64,0.11,0.284,1.675
232,0.24,0.85,0.64,0.11,0.284,1.675
233,0.24,0.85,0.64,0.11,0.284,1.675
234,0.24,0.85,0.64,0.11,0.284,1.675
235,0.24,0.85,0.64,0.11,0.284,1.675
236,0.25,0.906,0.681,0.142,0.405,2.285
237,0.24,0.85,0.64,0.11,0.284,1.675
238,0.24,0.85,0.64,0.11,0.284,1.675
239,0.25,0.906,0.681,0.142,0.405,2.285
240,0.24,0.85,0.64,0.11,0.284,1.675
241,0.24,0.85,0.64,0.11,0.284,1.675
242,0.24,0.85,0.64,0.11,0.284,1.675
243,0.24,0.85,0.64,0.11,0.284,1.675
244,0.24,0.85,0.64,0.11,0.284,1.675
245,0.24,0.85,0.64,0.11,0.284,1.675
246,0.25,0.906,0.681,0.142,0.405,2.285
247,0.24,0.85,0.64,0.11,0.284,1.675
248,0.24,0.85,0.64,0.11,0.284,1.675
249,0.25,0.906,0.681,0.142,0.405,2.285
250,0.24,0.85,0.64,0.11,0.284,1.675
251,0.25,0.906,0.681,0.142,0.405,2.285
252,0.24,0.85,0.64,0.11,0.284,1.675
