,volt,lpg,co,ch4
0,0.14,0.01,0.002,0.007
1,0.15,0.015,0.003,0.012
2,0.14,0.01,0.002,0.007
3,0.15,0.015,0.003,0.012
4,0.15,0.015,0.003,0.012
5,0.14,0.01,0.002,0.007
6,0.15,0.015,0.003,0.012
7,0.15,0.015,0.003,0.012
8,0.14,0.01,0.002,0.007
9,0.14,0.01,0.002,0.007
10,0.14,0.01,0.002,0.007
11,0.15,0.015,0.003,0.012
12,0.15,0.015,0.003,0.012
13,0.15,0.015,0.003,0.012
14,0.15,0.015,0.003,0.012
15,0.15,0.015,0.003,0.012
16,0.15,0.015,0.003,0.012
17,0.15,0.015,0.003,0.012
18,0.15,0.015,0.003,0.012
19,0.15,0.015,0.003,0.012
20,0.14,0.01,0.002,0.007
21,0.15,0.015,0.003,0.012
22,0.15,0.015,0.003,0.012
23,0.13,0.007,0.001,0.004
24,0.14,0.01,0.002,0.007
25,0.15,0.015,0.003,0.012
26,0.14,0.01,0.002,0.007
27,0.14,0.01,0.002,0.007
28,0.15,0.015,0.003,0.012
29,0.15,0.015,0.003,0.012
30,0.15,0.015,0.003,0.012
31,0.15,0.015,0.003,0.012
32,0.15,0.015,0.003,0.012
33,0.14,0.01,0.002,0.007
34,0.14,0.01,0.002,0.007
35,0.15,0.015,0.003,0.012
36,0.14,0.01,0.002,0.007
37,0.14,0.01,0.002,0.007
38,0.15,0.015,0.003,0.012
39,0.15,0.015,0.003,0.012
40,0.15,0.015,0.003,0.012
41,0.15,0.015,0.003,0.012
42,0.14,0.01,0.002,0.007
43,0.15,0.015,0.003,0.012
44,0.14,0.01,0.002,0.007
45,0.14,0.01,0.002,0.007
46,0.15,0.015,0.003,0.012
47,0.15,0.015,0.003,0.012
48,0.14,0.01,0.002,0.007
49,0.15,0.015,0.003,0.012
50,0.15,0.015,0.003,0.012
51,0.14,0.01,0.002,0.007
52,0.15,0.015,0.003,0.012
53,0.14,0.01,0.002,0.007
54,0.14,0.01,0.002,0.007
55,0.14,0.01,0.002,0.007
56,0.14,0.01,0.002,0.007
57,0.14,0.01,0.002,0.007
58,0.14,0.01,0.002,0.007
59,0.14,0.01,0.002,0.007
60,0.15,0.015,0.003,0.012
61,0.15,0.015,0.003,0.012
62,0.15,0.015,0.003,0.012
63,0.14,0.01,0.002,0.007
64,0.14,0.01,0.002,0.007
65,0.15,0.015,0.003,0.012
66,0.15,0.015,0.003,0.012
67,0.15,0.015,0.003,0.012
68,0.15,0.015,0.003,0.012
69,0.16,0.021,0.005,0.019
70,0.15,0.015,0.003,0.012
71,0.15,0.015,0.003,0.012
72,0.15,0.015,0.003,0.012
73,0.14,0.01,0.002,0.007
74,0.15,0.015,0.003,0.012
75,0.15,0.015,0.003,0.012
76,0.15,0.015,0.003,0.012
77,0.15,0.015,0.003,0.012
78,0.15,0.015,0.003,0.012
79,0.15,0.015,0.003,0.012
80,0.14,0.01,0.002,0.007
81,0.15,0.015,0.003,0.012
82,0.15,0.015,0.003,0.012
83,0.15,0.015,0.003,0.012
84,0.14,0.01,0.002,0.007
85,0.15,0.015,0.003,0.012
86,0.15,0.015,0.003,0.012
87,0.15,0.015,0.003,0.012
88,0.15,0.015,0.003,0.012
89,0.15,0.015,0.003,0.012
90,0.14,0.01,0.002,0.007
91,0.15,0.015,0.003,0.012
92,0.15,0.015,0.003,0.012
93,0.14,0.01,0.002,0.007
94,0.14,0.01,0.002,0.007
95,0.15,0.015,0.003,0.012
96,0.14,0.01,0.002,0.007
97,0.14,0.01,0.002,0.007
98,0.14,0.01,0.002,0.007
99,0.15,0.015,0.003,0.012
100,0.14,0.01,0.002,0.007
101,0.14,0.01,0.002,0.007
102,0.14,0.01,0.002,0.007
103,0.15,0.015,0.003,0.012
104,0.15,0.015,0.003,0.012
105,0.14,0.01,0.002,0.007
106,0.14,0.01,0.002,0.007
107,0.15,0.015,0.003,0.012
108,0.14,0.01,0.002,0.007
109,0.14,0.01,0.002,0.007
110,0.15,0.015,0.003,0.012
111,0.15,0.015,0.003,0.012
112,0.15,0.015,0.003,0.012
113,0.15,0.015,0.003,0.012
114,0.14,0.01,0.002,0.007
115,0.14,0.01,0.002,0.007
116,0.15,0.015,0.003,0.012
117,0.15,0.015,0.003,0.012
118,0.15,0.015,0.003,0.012
119,0.15,0.015,0.003,0.012
120,0.15,0.015,0.003,0.012
121,0.15,0.015,0.003,0.012
122,0.15,0.015,0.003,0.012
123,0.15,0.015,0.003,0.012
124,0.15,0.015,0.003,0.012
125,0.15,0.015,0.003,0.012
126,0.15,0.015,0.003,0.012
127,0.15,0.015,0.003,0.012
128,0.14,0.01,0.002,0.007
129,0.15,0.015,0.003,0.012
130,0.14,0.01,0.002,0.007
131,0.15,0.015,0.003,0.012
132,0.15,0.015,0.003,0.012
133,0.15,0.015,0.003,0.012
134,0.15,0.015,0.003,0.012
135,0.14,0.01,0.002,0.007
136,0.15,0.015,0.003,0.012
137,0.14,0.01,0.002,0.007
138,0.15,0.015,0.003,0.012
139,0.14,0.01,0.002,0.007
140,0.14,0.01,0.002,0.007
141,0.14,0.01,0.002,0.007
142,0.15,0.015,0.003,0.012
143,0.14,0.01,0.002,0.007
144,0.15,0.015,0.003,0.012
145,0.15,0.015,0.003,0.012
146,0.15,0.015,0.003,0.012
147,0.14,0.01,0.002,0.007
148,0.15,0.015,0.003,0.012
149,0.14,0.01,0.002,0.007
150,0.14,0.01,0.002,0.007
151,0.15,0.015,0.003,0.012
152,0.15,0.015,0.003,0.012
153,0.15,0.015,0.003,0.012
154,0.15,0.015,0.003,0.012
155,0.15,0.015,0.003,0.012
156,0.14,0.01,0.002,0.007
157,0.15,0.015,0.003,0.012
158,0.15,0.015,0.003,0.012
159,0.14,0.01,0.002,0.007
160,0.15,0.015,0.003,0.012
161,0.15,0.015,0.003,0.012
162,0.15,0.015,0.003,0.012
163,0.14,0.01,0.002,0.007
164,0.14,0.01,0.002,0.007
165,0.15,0.015,0.003,0.012
166,0.14,0.01,0.002,0.007
167,0.15,0.015,0.003,0.012
168,0.15,0.015,0.003,0.012
169,0.14,0.01,0.002,0.007
170,0.15,0.015,0.003,0.012
171,0.15,0.015,0.003,0.012
172,0.15,0.015,0.003,0.012
173,0.16,0.021,0.005,0.019
174,0.14,0.01,0.002,0.007
175,0.15,0.015,0.003,0.012
176,0.15,0.015,0.003,0.012
177,0.14,0.01,0.002,0.007
178,0.14,0.01,0.002,0.007
179,0.15,0.015,0.003,0.012
180,0.15,0.015,0.003,0.012
181,0.15,0.015,0.003,0.012
182,0.15,0.015,0.003,0.012
