,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
1,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
2,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
3,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
4,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
5,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
6,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
7,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
8,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
9,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
10,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
11,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
12,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
13,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
14,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
15,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
16,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
17,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
18,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
19,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
20,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
21,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
22,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
23,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
24,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
25,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
26,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
27,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
28,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
29,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
30,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
31,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
32,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
33,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
34,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
35,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
36,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
37,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
38,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
39,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
40,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
41,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
42,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
43,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
44,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
45,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
46,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
47,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
48,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
49,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
50,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
51,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
52,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
53,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
54,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
55,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
56,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
57,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
58,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
59,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
60,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
61,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
62,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
63,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
64,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
65,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
66,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
67,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
68,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
69,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
70,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
