,volt,lpg,co,ch4
0,0.16,0.014,0.003,0.011
1,0.15,0.01,0.002,0.006
2,0.16,0.014,0.003,0.011
3,0.16,0.014,0.003,0.011
4,0.16,0.014,0.003,0.011
5,0.16,0.014,0.003,0.011
6,0.16,0.014,0.003,0.011
7,0.16,0.014,0.003,0.011
8,0.16,0.014,0.003,0.011
9,0.16,0.014,0.003,0.011
10,0.16,0.014,0.003,0.011
11,0.16,0.014,0.003,0.011
12,0.16,0.014,0.003,0.011
13,0.16,0.014,0.003,0.011
14,0.16,0.014,0.003,0.011
15,0.16,0.014,0.003,0.011
16,0.16,0.014,0.003,0.011
17,0.17,0.019,0.004,0.017
18,0.16,0.014,0.003,0.011
19,0.16,0.014,0.003,0.011
20,0.16,0.014,0.003,0.011
21,0.16,0.014,0.003,0.011
22,0.16,0.014,0.003,0.011
23,0.16,0.014,0.003,0.011
24,0.16,0.014,0.003,0.011
25,0.16,0.014,0.003,0.011
26,0.16,0.014,0.003,0.011
27,0.16,0.014,0.003,0.011
28,0.16,0.014,0.003,0.011
29,0.16,0.014,0.003,0.011
30,0.16,0.014,0.003,0.011
31,0.16,0.014,0.003,0.011
32,0.16,0.014,0.003,0.011
33,0.16,0.014,0.003,0.011
34,0.16,0.014,0.003,0.011
35,0.17,0.019,0.004,0.017
36,0.16,0.014,0.003,0.011
37,0.16,0.014,0.003,0.011
38,0.17,0.019,0.004,0.017
39,0.16,0.014,0.003,0.011
40,0.16,0.014,0.003,0.011
41,0.15,0.01,0.002,0.006
42,0.15,0.01,0.002,0.006
43,0.16,0.014,0.003,0.011
44,0.16,0.014,0.003,0.011
45,0.16,0.014,0.003,0.011
46,0.16,0.014,0.003,0.011
47,0.16,0.014,0.003,0.011
48,0.16,0.014,0.003,0.011
49,0.16,0.014,0.003,0.011
50,0.16,0.014,0.003,0.011
51,0.15,0.01,0.002,0.006
52,0.16,0.014,0.003,0.011
53,0.16,0.014,0.003,0.011
54,0.16,0.014,0.003,0.011
55,0.16,0.014,0.003,0.011
56,0.16,0.014,0.003,0.011
57,0.16,0.014,0.003,0.011
58,0.16,0.014,0.003,0.011
59,0.17,0.019,0.004,0.017
60,0.16,0.014,0.003,0.011
61,0.16,0.014,0.003,0.011
62,0.16,0.014,0.003,0.011
63,0.17,0.019,0.004,0.017
64,0.16,0.014,0.003,0.011
65,0.16,0.014,0.003,0.011
66,0.16,0.014,0.003,0.011
67,0.16,0.014,0.003,0.011
68,0.16,0.014,0.003,0.011
69,0.16,0.014,0.003,0.011
70,0.16,0.014,0.003,0.011
71,0.16,0.014,0.003,0.011
72,0.16,0.014,0.003,0.011
73,0.16,0.014,0.003,0.011
74,0.16,0.014,0.003,0.011
75,0.16,0.014,0.003,0.011
76,0.16,0.014,0.003,0.011
77,0.16,0.014,0.003,0.011
78,0.16,0.014,0.003,0.011
79,0.17,0.019,0.004,0.017
80,0.16,0.014,0.003,0.011
81,0.16,0.014,0.003,0.011
82,0.16,0.014,0.003,0.011
83,0.16,0.014,0.003,0.011
84,0.16,0.014,0.003,0.011
85,0.17,0.019,0.004,0.017
86,0.15,0.01,0.002,0.006
87,0.16,0.014,0.003,0.011
88,0.15,0.01,0.002,0.006
89,0.17,0.019,0.004,0.017
90,0.16,0.014,0.003,0.011
91,0.16,0.014,0.003,0.011
92,0.16,0.014,0.003,0.011
93,0.16,0.014,0.003,0.011
94,0.16,0.014,0.003,0.011
95,0.16,0.014,0.003,0.011
96,0.16,0.014,0.003,0.011
97,0.15,0.01,0.002,0.006
98,0.16,0.014,0.003,0.011
99,0.16,0.014,0.003,0.011
100,0.16,0.014,0.003,0.011
101,0.16,0.014,0.003,0.011
102,0.16,0.014,0.003,0.011
103,0.16,0.014,0.003,0.011
104,0.16,0.014,0.003,0.011
105,0.16,0.014,0.003,0.011
106,0.16,0.014,0.003,0.011
107,0.16,0.014,0.003,0.011
108,0.16,0.014,0.003,0.011
109,0.16,0.014,0.003,0.011
110,0.16,0.014,0.003,0.011
111,0.15,0.01,0.002,0.006
112,0.16,0.014,0.003,0.011
113,0.16,0.014,0.003,0.011
114,0.16,0.014,0.003,0.011
115,0.16,0.014,0.003,0.011
116,0.16,0.014,0.003,0.011
117,0.16,0.014,0.003,0.011
118,0.16,0.014,0.003,0.011
119,0.17,0.019,0.004,0.017
120,0.16,0.014,0.003,0.011
121,0.16,0.014,0.003,0.011
122,0.16,0.014,0.003,0.011
123,0.16,0.014,0.003,0.011
124,0.17,0.019,0.004,0.017
125,0.16,0.014,0.003,0.011
126,0.16,0.014,0.003,0.011
127,0.16,0.014,0.003,0.011
128,0.16,0.014,0.003,0.011
129,0.16,0.014,0.003,0.011
130,0.17,0.019,0.004,0.017
131,0.16,0.014,0.003,0.011
132,0.16,0.014,0.003,0.011
133,0.16,0.014,0.003,0.011
134,0.17,0.019,0.004,0.017
135,0.16,0.014,0.003,0.011
