,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
1,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
2,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
3,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
4,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
5,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
6,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
7,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
8,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
9,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
10,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
11,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
12,0.56,6.316,3.374,4.913,18.963,5.759,10.868,4.545
13,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
14,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
15,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
16,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
17,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
18,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
19,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
20,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
21,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
22,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
23,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
24,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
25,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
26,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
27,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
28,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
29,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
30,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
31,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
32,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
33,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
34,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
35,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
36,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
37,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
38,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
39,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
40,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
41,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
42,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
43,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
44,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
45,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
46,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
47,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
48,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
49,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
50,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
51,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
52,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
53,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
54,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
55,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
56,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
57,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
58,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
59,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
60,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
61,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
62,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
63,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
64,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
65,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
66,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
67,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
68,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
69,0.56,6.316,3.374,4.913,18.963,5.759,10.868,4.545
70,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
71,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
72,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
73,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
74,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
75,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
76,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
77,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
78,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
79,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
80,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
81,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
82,0.57,6.592,3.524,5.218,20.28,6.082,11.447,4.738
83,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
84,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
85,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
86,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
87,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
88,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
89,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
90,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
91,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
92,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
93,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
94,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
95,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
96,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
97,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
98,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
99,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
100,0.58,6.876,3.679,5.537,21.666,6.419,12.046,4.936
101,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
102,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
103,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
104,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
105,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
106,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
107,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
108,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
109,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
110,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
111,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
112,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
113,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
114,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
115,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
116,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
117,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
118,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
119,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
120,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
121,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
122,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
123,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
124,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
125,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
126,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
127,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
128,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
129,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
130,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
131,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
132,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
133,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
134,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
135,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
136,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
137,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
138,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
139,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
140,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
141,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
142,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
143,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
144,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
145,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
146,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
147,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
148,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
149,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
150,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
151,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
152,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
153,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
154,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
155,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
156,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
157,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
158,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
159,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
160,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
161,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
162,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
163,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
164,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
165,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
166,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
167,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
168,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
169,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
170,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
171,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
172,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
173,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
174,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
175,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
176,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
177,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
178,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
179,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
180,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
181,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
182,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
183,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
184,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
185,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
