,volt,lpg,co,ch4
0,0.03,0.051,0.012,0.068
1,0.03,0.051,0.012,0.068
2,0.03,0.051,0.012,0.068
3,0.03,0.051,0.012,0.068
4,0.03,0.051,0.012,0.068
5,0.02,0.006,0.001,0.003
6,0.04,0.243,0.058,0.589
7,0.04,0.243,0.058,0.589
8,0.03,0.051,0.012,0.068
9,0.03,0.051,0.012,0.068
10,0.03,0.051,0.012,0.068
11,0.02,0.006,0.001,0.003
12,0.02,0.006,0.001,0.003
13,0.03,0.051,0.012,0.068
14,0.02,0.006,0.001,0.003
15,0.02,0.006,0.001,0.003
16,0.03,0.051,0.012,0.068
17,0.03,0.051,0.012,0.068
18,0.03,0.051,0.012,0.068
19,0.03,0.051,0.012,0.068
20,0.03,0.051,0.012,0.068
21,0.03,0.051,0.012,0.068
22,0.02,0.006,0.001,0.003
23,0.03,0.051,0.012,0.068
24,0.03,0.051,0.012,0.068
25,0.03,0.051,0.012,0.068
26,0.03,0.051,0.012,0.068
27,0.03,0.051,0.012,0.068
28,0.03,0.051,0.012,0.068
29,0.03,0.051,0.012,0.068
30,0.04,0.243,0.058,0.589
31,0.04,0.243,0.058,0.589
32,0.03,0.051,0.012,0.068
33,0.03,0.051,0.012,0.068
34,0.03,0.051,0.012,0.068
35,0.03,0.051,0.012,0.068
36,0.02,0.006,0.001,0.003
37,0.03,0.051,0.012,0.068
38,0.03,0.051,0.012,0.068
39,0.03,0.051,0.012,0.068
40,0.03,0.051,0.012,0.068
41,0.03,0.051,0.012,0.068
42,0.03,0.051,0.012,0.068
43,0.02,0.006,0.001,0.003
44,0.04,0.243,0.058,0.589
45,0.03,0.051,0.012,0.068
46,0.04,0.243,0.058,0.589
47,0.03,0.051,0.012,0.068
48,0.03,0.051,0.012,0.068
49,0.02,0.006,0.001,0.003
50,0.03,0.051,0.012,0.068
51,0.03,0.051,0.012,0.068
52,0.03,0.051,0.012,0.068
53,0.03,0.051,0.012,0.068
54,0.03,0.051,0.012,0.068
55,0.02,0.006,0.001,0.003
56,0.03,0.051,0.012,0.068
57,0.03,0.051,0.012,0.068
58,0.04,0.243,0.058,0.589
59,0.03,0.051,0.012,0.068
60,0.03,0.051,0.012,0.068
61,0.04,0.243,0.058,0.589
62,0.03,0.051,0.012,0.068
63,0.03,0.051,0.012,0.068
64,0.03,0.051,0.012,0.068
65,0.03,0.051,0.012,0.068
66,0.03,0.051,0.012,0.068
67,0.02,0.006,0.001,0.003
68,0.03,0.051,0.012,0.068
69,0.03,0.051,0.012,0.068
70,0.02,0.006,0.001,0.003
71,0.03,0.051,0.012,0.068
72,0.03,0.051,0.012,0.068
73,0.03,0.051,0.012,0.068
74,0.03,0.051,0.012,0.068
75,0.03,0.051,0.012,0.068
76,0.03,0.051,0.012,0.068
77,0.02,0.006,0.001,0.003
78,0.03,0.051,0.012,0.068
79,0.03,0.051,0.012,0.068
80,0.03,0.051,0.012,0.068
81,0.03,0.051,0.012,0.068
82,0.03,0.051,0.012,0.068
83,0.03,0.051,0.012,0.068
84,0.03,0.051,0.012,0.068
85,0.03,0.051,0.012,0.068
86,0.03,0.051,0.012,0.068
87,0.03,0.051,0.012,0.068
88,0.03,0.051,0.012,0.068
89,0.03,0.051,0.012,0.068
90,0.03,0.051,0.012,0.068
91,0.03,0.051,0.012,0.068
92,0.03,0.051,0.012,0.068
93,0.03,0.051,0.012,0.068
94,0.03,0.051,0.012,0.068
95,0.03,0.051,0.012,0.068
96,0.04,0.243,0.058,0.589
97,0.04,0.243,0.058,0.589
98,0.03,0.051,0.012,0.068
99,0.04,0.243,0.058,0.589
100,0.03,0.051,0.012,0.068
101,0.03,0.051,0.012,0.068
102,0.02,0.006,0.001,0.003
103,0.03,0.051,0.012,0.068
104,0.03,0.051,0.012,0.068
105,0.03,0.051,0.012,0.068
106,0.03,0.051,0.012,0.068
107,0.03,0.051,0.012,0.068
108,0.02,0.006,0.001,0.003
109,0.03,0.051,0.012,0.068
110,0.03,0.051,0.012,0.068
111,0.03,0.051,0.012,0.068
112,0.03,0.051,0.012,0.068
113,0.03,0.051,0.012,0.068
114,0.03,0.051,0.012,0.068
115,0.03,0.051,0.012,0.068
116,0.04,0.243,0.058,0.589
117,0.03,0.051,0.012,0.068
118,0.03,0.051,0.012,0.068
119,0.04,0.243,0.058,0.589
120,0.02,0.006,0.001,0.003
121,0.03,0.051,0.012,0.068
122,0.03,0.051,0.012,0.068
123,0.02,0.006,0.001,0.003
124,0.03,0.051,0.012,0.068
125,0.03,0.051,0.012,0.068
126,0.03,0.051,0.012,0.068
127,0.03,0.051,0.012,0.068
128,0.03,0.051,0.012,0.068
129,0.03,0.051,0.012,0.068
130,0.03,0.051,0.012,0.068
131,0.03,0.051,0.012,0.068
132,0.03,0.051,0.012,0.068
133,0.03,0.051,0.012,0.068
134,0.04,0.243,0.058,0.589
135,0.03,0.051,0.012,0.068
136,0.03,0.051,0.012,0.068
137,0.03,0.051,0.012,0.068
138,0.03,0.051,0.012,0.068
139,0.03,0.051,0.012,0.068
140,0.03,0.051,0.012,0.068
141,0.04,0.243,0.058,0.589
142,0.03,0.051,0.012,0.068
143,0.03,0.051,0.012,0.068
144,0.03,0.051,0.012,0.068
145,0.03,0.051,0.012,0.068
146,0.03,0.051,0.012,0.068
147,0.03,0.051,0.012,0.068
