id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.23,0.12,0.17,0.15,0.05,0.17
2,0.24,0.12,0.18,0.15,0.04,0.18
3,0.24,0.11,0.18,0.16,0.05,0.18
4,0.24,0.12,0.18,0.17,0.04,0.19
5,0.24,0.12,0.18,0.16,0.04,0.18
6,0.24,0.12,0.18,0.16,0.05,0.18
7,0.24,0.12,0.18,0.16,0.05,0.19
8,0.24,0.12,0.17,0.16,0.04,0.18
9,0.23,0.12,0.18,0.16,0.05,0.18
10,0.24,0.12,0.18,0.16,0.05,0.19
11,0.24,0.12,0.18,0.16,0.05,0.18
12,0.24,0.13,0.18,0.16,0.05,0.18
13,0.24,0.12,0.18,0.17,0.05,0.18
14,0.24,0.12,0.18,0.16,0.04,0.17
15,0.24,0.12,0.18,0.16,0.04,0.18
16,0.24,0.12,0.18,0.16,0.05,0.18
17,0.23,0.11,0.18,0.16,0.05,0.18
18,0.23,0.11,0.18,0.17,0.04,0.18
19,0.24,0.11,0.18,0.16,0.04,0.18
20,0.23,0.12,0.19,0.16,0.05,0.18
21,0.24,0.12,0.18,0.16,0.04,0.18
22,0.24,0.11,0.17,0.15,0.05,0.18
23,0.24,0.12,0.17,0.16,0.04,0.18
24,0.24,0.13,0.18,0.16,0.05,0.18
25,0.24,0.12,0.18,0.17,0.04,0.18
26,0.24,0.12,0.18,0.16,0.05,0.19
27,0.24,0.12,0.19,0.16,0.04,0.17
28,0.23,0.12,0.18,0.16,0.05,0.18
29,0.23,0.13,0.17,0.16,0.05,0.19
30,0.24,0.12,0.18,0.16,0.05,0.18
31,0.24,0.12,0.18,0.16,0.04,0.18
32,0.23,0.12,0.18,0.16,0.04,0.18
33,0.24,0.11,0.19,0.15,0.05,0.18
34,0.23,0.12,0.18,0.16,0.05,0.18
35,0.23,0.12,0.18,0.16,0.05,0.19
36,0.23,0.12,0.18,0.16,0.04,0.18
37,0.24,0.12,0.18,0.16,0.05,0.18
38,0.24,0.12,0.18,0.16,0.06,0.19
39,0.24,0.12,0.18,0.16,0.04,0.19
40,0.24,0.11,0.18,0.16,0.05,0.18
41,0.24,0.12,0.18,0.16,0.05,0.18
42,0.24,0.12,0.18,0.17,0.05,0.19
43,0.24,0.12,0.18,0.16,0.05,0.18
44,0.23,0.12,0.18,0.16,0.05,0.19
45,0.23,0.12,0.18,0.16,0.05,0.18
46,0.24,0.11,0.18,0.16,0.04,0.17
47,0.24,0.11,0.18,0.16,0.05,0.18
48,0.24,0.12,0.18,0.16,0.05,0.18
49,0.24,0.12,0.18,0.15,0.05,0.19
50,0.24,0.12,0.18,0.16,0.05,0.19
51,0.23,0.12,0.18,0.17,0.05,0.17
52,0.24,0.12,0.18,0.16,0.05,0.19
53,0.23,0.12,0.18,0.16,0.05,0.18
54,0.24,0.13,0.17,0.16,0.04,0.19
55,0.24,0.12,0.17,0.16,0.05,0.18
56,0.24,0.11,0.19,0.16,0.04,0.19
57,0.24,0.12,0.18,0.16,0.04,0.18
58,0.24,0.12,0.18,0.15,0.05,0.19
59,0.24,0.12,0.18,0.15,0.05,0.17
60,0.24,0.12,0.18,0.16,0.05,0.18
61,0.24,0.12,0.18,0.16,0.04,0.18
62,0.23,0.12,0.18,0.16,0.04,0.18
63,0.23,0.11,0.18,0.16,0.05,0.19
64,0.24,0.12,0.18,0.16,0.05,0.18
65,0.24,0.12,0.19,0.15,0.05,0.18
66,0.23,0.12,0.18,0.16,0.05,0.18
67,0.24,0.12,0.18,0.16,0.05,0.18
68,0.25,0.12,0.19,0.15,0.04,0.19
69,0.23,0.11,0.18,0.16,0.04,0.18
70,0.24,0.12,0.18,0.16,0.05,0.18
71,0.24,0.12,0.18,0.16,0.05,0.18
72,0.24,0.12,0.18,0.17,0.05,0.18
73,0.23,0.12,0.17,0.16,0.03,0.18
74,0.24,0.13,0.18,0.15,0.04,0.18
75,0.24,0.12,0.17,0.16,0.04,0.18
76,0.24,0.12,0.18,0.16,0.05,0.18
77,0.24,0.12,0.18,0.17,0.05,0.18
78,0.24,0.12,0.18,0.16,0.05,0.19
79,0.23,0.12,0.18,0.16,0.05,0.18
80,0.24,0.13,0.18,0.16,0.04,0.18
81,0.23,0.12,0.18,0.16,0.05,0.18
82,0.24,0.11,0.18,0.16,0.03,0.18
83,0.24,0.12,0.18,0.16,0.04,0.18
84,0.23,0.12,0.18,0.15,0.05,0.18
85,0.23,0.13,0.17,0.16,0.05,0.18
86,0.24,0.12,0.18,0.16,0.05,0.18
87,0.23,0.12,0.18,0.16,0.05,0.19
88,0.24,0.12,0.18,0.16,0.04,0.19
89,0.24,0.12,0.18,0.16,0.05,0.19
90,0.24,0.12,0.19,0.16,0.05,0.18
