,volt,co,h2,lpg,ch4,alcohol
0,0.12,0.914,0.687,0.147,0.427,2.393
1,0.12,0.914,0.687,0.147,0.427,2.393
2,0.11,0.802,0.604,0.088,0.205,1.256
3,0.12,0.914,0.687,0.147,0.427,2.393
4,0.12,0.914,0.687,0.147,0.427,2.393
5,0.12,0.914,0.687,0.147,0.427,2.393
6,0.12,0.914,0.687,0.147,0.427,2.393
7,0.12,0.914,0.687,0.147,0.427,2.393
8,0.12,0.914,0.687,0.147,0.427,2.393
9,0.12,0.914,0.687,0.147,0.427,2.393
10,0.12,0.914,0.687,0.147,0.427,2.393
11,0.13,1.031,0.774,0.236,0.843,4.334
12,0.12,0.914,0.687,0.147,0.427,2.393
13,0.12,0.914,0.687,0.147,0.427,2.393
14,0.12,0.914,0.687,0.147,0.427,2.393
15,0.12,0.914,0.687,0.147,0.427,2.393
16,0.11,0.802,0.604,0.088,0.205,1.256
17,0.11,0.802,0.604,0.088,0.205,1.256
18,0.11,0.802,0.604,0.088,0.205,1.256
19,0.12,0.914,0.687,0.147,0.427,2.393
20,0.12,0.914,0.687,0.147,0.427,2.393
21,0.11,0.802,0.604,0.088,0.205,1.256
22,0.12,0.914,0.687,0.147,0.427,2.393
23,0.13,1.031,0.774,0.236,0.843,4.334
24,0.12,0.914,0.687,0.147,0.427,2.393
25,0.12,0.914,0.687,0.147,0.427,2.393
26,0.12,0.914,0.687,0.147,0.427,2.393
27,0.12,0.914,0.687,0.147,0.427,2.393
28,0.13,1.031,0.774,0.236,0.843,4.334
29,0.12,0.914,0.687,0.147,0.427,2.393
30,0.12,0.914,0.687,0.147,0.427,2.393
31,0.12,0.914,0.687,0.147,0.427,2.393
32,0.11,0.802,0.604,0.088,0.205,1.256
33,0.12,0.914,0.687,0.147,0.427,2.393
34,0.12,0.914,0.687,0.147,0.427,2.393
35,0.12,0.914,0.687,0.147,0.427,2.393
36,0.12,0.914,0.687,0.147,0.427,2.393
37,0.12,0.914,0.687,0.147,0.427,2.393
38,0.12,0.914,0.687,0.147,0.427,2.393
39,0.11,0.802,0.604,0.088,0.205,1.256
40,0.12,0.914,0.687,0.147,0.427,2.393
41,0.12,0.914,0.687,0.147,0.427,2.393
42,0.12,0.914,0.687,0.147,0.427,2.393
43,0.12,0.914,0.687,0.147,0.427,2.393
44,0.12,0.914,0.687,0.147,0.427,2.393
45,0.11,0.802,0.604,0.088,0.205,1.256
46,0.11,0.802,0.604,0.088,0.205,1.256
47,0.12,0.914,0.687,0.147,0.427,2.393
48,0.12,0.914,0.687,0.147,0.427,2.393
49,0.12,0.914,0.687,0.147,0.427,2.393
50,0.12,0.914,0.687,0.147,0.427,2.393
51,0.12,0.914,0.687,0.147,0.427,2.393
52,0.12,0.914,0.687,0.147,0.427,2.393
53,0.13,1.031,0.774,0.236,0.843,4.334
54,0.12,0.914,0.687,0.147,0.427,2.393
55,0.11,0.802,0.604,0.088,0.205,1.256
56,0.12,0.914,0.687,0.147,0.427,2.393
57,0.12,0.914,0.687,0.147,0.427,2.393
58,0.12,0.914,0.687,0.147,0.427,2.393
59,0.12,0.914,0.687,0.147,0.427,2.393
60,0.12,0.914,0.687,0.147,0.427,2.393
61,0.12,0.914,0.687,0.147,0.427,2.393
62,0.11,0.802,0.604,0.088,0.205,1.256
63,0.12,0.914,0.687,0.147,0.427,2.393
64,0.12,0.914,0.687,0.147,0.427,2.393
65,0.12,0.914,0.687,0.147,0.427,2.393
66,0.12,0.914,0.687,0.147,0.427,2.393
67,0.12,0.914,0.687,0.147,0.427,2.393
68,0.11,0.802,0.604,0.088,0.205,1.256
69,0.12,0.914,0.687,0.147,0.427,2.393
70,0.12,0.914,0.687,0.147,0.427,2.393
71,0.12,0.914,0.687,0.147,0.427,2.393
72,0.12,0.914,0.687,0.147,0.427,2.393
73,0.13,1.031,0.774,0.236,0.843,4.334
74,0.12,0.914,0.687,0.147,0.427,2.393
75,0.12,0.914,0.687,0.147,0.427,2.393
76,0.12,0.914,0.687,0.147,0.427,2.393
77,0.12,0.914,0.687,0.147,0.427,2.393
78,0.12,0.914,0.687,0.147,0.427,2.393
79,0.13,1.031,0.774,0.236,0.843,4.334
80,0.12,0.914,0.687,0.147,0.427,2.393
81,0.11,0.802,0.604,0.088,0.205,1.256
82,0.12,0.914,0.687,0.147,0.427,2.393
83,0.12,0.914,0.687,0.147,0.427,2.393
84,0.13,1.031,0.774,0.236,0.843,4.334
85,0.12,0.914,0.687,0.147,0.427,2.393
86,0.12,0.914,0.687,0.147,0.427,2.393
87,0.12,0.914,0.687,0.147,0.427,2.393
88,0.12,0.914,0.687,0.147,0.427,2.393
89,0.12,0.914,0.687,0.147,0.427,2.393
90,0.12,0.914,0.687,0.147,0.427,2.393
91,0.12,0.914,0.687,0.147,0.427,2.393
92,0.11,0.802,0.604,0.088,0.205,1.256
93,0.12,0.914,0.687,0.147,0.427,2.393
94,0.11,0.802,0.604,0.088,0.205,1.256
95,0.12,0.914,0.687,0.147,0.427,2.393
96,0.12,0.914,0.687,0.147,0.427,2.393
97,0.12,0.914,0.687,0.147,0.427,2.393
98,0.12,0.914,0.687,0.147,0.427,2.393
99,0.12,0.914,0.687,0.147,0.427,2.393
100,0.12,0.914,0.687,0.147,0.427,2.393
101,0.12,0.914,0.687,0.147,0.427,2.393
102,0.12,0.914,0.687,0.147,0.427,2.393
103,0.12,0.914,0.687,0.147,0.427,2.393
104,0.12,0.914,0.687,0.147,0.427,2.393
105,0.12,0.914,0.687,0.147,0.427,2.393
106,0.11,0.802,0.604,0.088,0.205,1.256
107,0.12,0.914,0.687,0.147,0.427,2.393
108,0.12,0.914,0.687,0.147,0.427,2.393
109,0.12,0.914,0.687,0.147,0.427,2.393
110,0.12,0.914,0.687,0.147,0.427,2.393
111,0.11,0.802,0.604,0.088,0.205,1.256
112,0.12,0.914,0.687,0.147,0.427,2.393
113,0.12,0.914,0.687,0.147,0.427,2.393
114,0.12,0.914,0.687,0.147,0.427,2.393
115,0.12,0.914,0.687,0.147,0.427,2.393
116,0.12,0.914,0.687,0.147,0.427,2.393
117,0.12,0.914,0.687,0.147,0.427,2.393
118,0.12,0.914,0.687,0.147,0.427,2.393
119,0.11,0.802,0.604,0.088,0.205,1.256
120,0.11,0.802,0.604,0.088,0.205,1.256
121,0.12,0.914,0.687,0.147,0.427,2.393
122,0.12,0.914,0.687,0.147,0.427,2.393
123,0.12,0.914,0.687,0.147,0.427,2.393
124,0.11,0.802,0.604,0.088,0.205,1.256
125,0.12,0.914,0.687,0.147,0.427,2.393
126,0.12,0.914,0.687,0.147,0.427,2.393
127,0.11,0.802,0.604,0.088,0.205,1.256
128,0.12,0.914,0.687,0.147,0.427,2.393
129,0.11,0.802,0.604,0.088,0.205,1.256
130,0.12,0.914,0.687,0.147,0.427,2.393
131,0.12,0.914,0.687,0.147,0.427,2.393
132,0.12,0.914,0.687,0.147,0.427,2.393
133,0.12,0.914,0.687,0.147,0.427,2.393
134,0.11,0.802,0.604,0.088,0.205,1.256
135,0.12,0.914,0.687,0.147,0.427,2.393
136,0.12,0.914,0.687,0.147,0.427,2.393
137,0.11,0.802,0.604,0.088,0.205,1.256
138,0.12,0.914,0.687,0.147,0.427,2.393
139,0.12,0.914,0.687,0.147,0.427,2.393
140,0.12,0.914,0.687,0.147,0.427,2.393
141,0.12,0.914,0.687,0.147,0.427,2.393
142,0.13,1.031,0.774,0.236,0.843,4.334
143,0.12,0.914,0.687,0.147,0.427,2.393
144,0.12,0.914,0.687,0.147,0.427,2.393
145,0.12,0.914,0.687,0.147,0.427,2.393
146,0.12,0.914,0.687,0.147,0.427,2.393
147,0.12,0.914,0.687,0.147,0.427,2.393
148,0.12,0.914,0.687,0.147,0.427,2.393
149,0.11,0.802,0.604,0.088,0.205,1.256
150,0.12,0.914,0.687,0.147,0.427,2.393
151,0.12,0.914,0.687,0.147,0.427,2.393
152,0.11,0.802,0.604,0.088,0.205,1.256
153,0.11,0.802,0.604,0.088,0.205,1.256
154,0.12,0.914,0.687,0.147,0.427,2.393
155,0.12,0.914,0.687,0.147,0.427,2.393
156,0.12,0.914,0.687,0.147,0.427,2.393
157,0.13,1.031,0.774,0.236,0.843,4.334
158,0.12,0.914,0.687,0.147,0.427,2.393
159,0.11,0.802,0.604,0.088,0.205,1.256
160,0.12,0.914,0.687,0.147,0.427,2.393
161,0.12,0.914,0.687,0.147,0.427,2.393
162,0.12,0.914,0.687,0.147,0.427,2.393
163,0.11,0.802,0.604,0.088,0.205,1.256
164,0.12,0.914,0.687,0.147,0.427,2.393
165,0.12,0.914,0.687,0.147,0.427,2.393
166,0.12,0.914,0.687,0.147,0.427,2.393
167,0.11,0.802,0.604,0.088,0.205,1.256
168,0.11,0.802,0.604,0.088,0.205,1.256
169,0.12,0.914,0.687,0.147,0.427,2.393
170,0.12,0.914,0.687,0.147,0.427,2.393
171,0.12,0.914,0.687,0.147,0.427,2.393
172,0.11,0.802,0.604,0.088,0.205,1.256
173,0.12,0.914,0.687,0.147,0.427,2.393
174,0.11,0.802,0.604,0.088,0.205,1.256
175,0.12,0.914,0.687,0.147,0.427,2.393
176,0.12,0.914,0.687,0.147,0.427,2.393
177,0.12,0.914,0.687,0.147,0.427,2.393
178,0.12,0.914,0.687,0.147,0.427,2.393
179,0.12,0.914,0.687,0.147,0.427,2.393
180,0.12,0.914,0.687,0.147,0.427,2.393
181,0.12,0.914,0.687,0.147,0.427,2.393
182,0.11,0.802,0.604,0.088,0.205,1.256
183,0.12,0.914,0.687,0.147,0.427,2.393
184,0.12,0.914,0.687,0.147,0.427,2.393
185,0.12,0.914,0.687,0.147,0.427,2.393
186,0.12,0.914,0.687,0.147,0.427,2.393
187,0.11,0.802,0.604,0.088,0.205,1.256
188,0.12,0.914,0.687,0.147,0.427,2.393
189,0.12,0.914,0.687,0.147,0.427,2.393
190,0.12,0.914,0.687,0.147,0.427,2.393
191,0.12,0.914,0.687,0.147,0.427,2.393
192,0.13,1.031,0.774,0.236,0.843,4.334
193,0.13,1.031,0.774,0.236,0.843,4.334
194,0.12,0.914,0.687,0.147,0.427,2.393
195,0.12,0.914,0.687,0.147,0.427,2.393
196,0.12,0.914,0.687,0.147,0.427,2.393
197,0.12,0.914,0.687,0.147,0.427,2.393
198,0.12,0.914,0.687,0.147,0.427,2.393
199,0.12,0.914,0.687,0.147,0.427,2.393
200,0.12,0.914,0.687,0.147,0.427,2.393
201,0.13,1.031,0.774,0.236,0.843,4.334
