,volt,lpg,co,ch4
0,0.17,0.019,0.004,0.017
1,0.18,0.026,0.006,0.026
2,0.18,0.026,0.006,0.026
3,0.19,0.035,0.008,0.04
4,0.18,0.026,0.006,0.026
5,0.18,0.026,0.006,0.026
6,0.19,0.035,0.008,0.04
7,0.18,0.026,0.006,0.026
8,0.18,0.026,0.006,0.026
9,0.19,0.035,0.008,0.04
10,0.18,0.026,0.006,0.026
11,0.18,0.026,0.006,0.026
12,0.18,0.026,0.006,0.026
13,0.17,0.019,0.004,0.017
14,0.18,0.026,0.006,0.026
15,0.18,0.026,0.006,0.026
16,0.18,0.026,0.006,0.026
17,0.18,0.026,0.006,0.026
18,0.18,0.026,0.006,0.026
19,0.18,0.026,0.006,0.026
20,0.18,0.026,0.006,0.026
21,0.18,0.026,0.006,0.026
22,0.18,0.026,0.006,0.026
23,0.18,0.026,0.006,0.026
24,0.18,0.026,0.006,0.026
25,0.19,0.035,0.008,0.04
26,0.17,0.019,0.004,0.017
27,0.18,0.026,0.006,0.026
28,0.19,0.035,0.008,0.04
29,0.18,0.026,0.006,0.026
30,0.18,0.026,0.006,0.026
31,0.18,0.026,0.006,0.026
32,0.18,0.026,0.006,0.026
33,0.18,0.026,0.006,0.026
34,0.19,0.035,0.008,0.04
35,0.18,0.026,0.006,0.026
36,0.18,0.026,0.006,0.026
37,0.19,0.035,0.008,0.04
38,0.19,0.035,0.008,0.04
39,0.18,0.026,0.006,0.026
40,0.18,0.026,0.006,0.026
41,0.19,0.035,0.008,0.04
42,0.18,0.026,0.006,0.026
43,0.19,0.035,0.008,0.04
44,0.18,0.026,0.006,0.026
45,0.17,0.019,0.004,0.017
46,0.18,0.026,0.006,0.026
47,0.18,0.026,0.006,0.026
48,0.19,0.035,0.008,0.04
49,0.19,0.035,0.008,0.04
50,0.17,0.019,0.004,0.017
51,0.19,0.035,0.008,0.04
52,0.18,0.026,0.006,0.026
53,0.19,0.035,0.008,0.04
54,0.18,0.026,0.006,0.026
55,0.19,0.035,0.008,0.04
56,0.18,0.026,0.006,0.026
57,0.19,0.035,0.008,0.04
58,0.17,0.019,0.004,0.017
59,0.18,0.026,0.006,0.026
60,0.18,0.026,0.006,0.026
61,0.18,0.026,0.006,0.026
62,0.19,0.035,0.008,0.04
63,0.18,0.026,0.006,0.026
64,0.18,0.026,0.006,0.026
65,0.18,0.026,0.006,0.026
66,0.18,0.026,0.006,0.026
67,0.19,0.035,0.008,0.04
68,0.18,0.026,0.006,0.026
69,0.18,0.026,0.006,0.026
70,0.18,0.026,0.006,0.026
71,0.18,0.026,0.006,0.026
72,0.18,0.026,0.006,0.026
73,0.18,0.026,0.006,0.026
74,0.18,0.026,0.006,0.026
75,0.18,0.026,0.006,0.026
76,0.18,0.026,0.006,0.026
77,0.19,0.035,0.008,0.04
78,0.18,0.026,0.006,0.026
79,0.18,0.026,0.006,0.026
80,0.18,0.026,0.006,0.026
81,0.18,0.026,0.006,0.026
82,0.18,0.026,0.006,0.026
83,0.18,0.026,0.006,0.026
84,0.18,0.026,0.006,0.026
85,0.18,0.026,0.006,0.026
86,0.19,0.035,0.008,0.04
87,0.19,0.035,0.008,0.04
88,0.19,0.035,0.008,0.04
89,0.18,0.026,0.006,0.026
90,0.18,0.026,0.006,0.026
91,0.18,0.026,0.006,0.026
92,0.19,0.035,0.008,0.04
93,0.19,0.035,0.008,0.04
94,0.18,0.026,0.006,0.026
95,0.18,0.026,0.006,0.026
96,0.18,0.026,0.006,0.026
97,0.19,0.035,0.008,0.04
98,0.18,0.026,0.006,0.026
99,0.18,0.026,0.006,0.026
100,0.19,0.035,0.008,0.04
101,0.19,0.035,0.008,0.04
102,0.18,0.026,0.006,0.026
103,0.18,0.026,0.006,0.026
104,0.18,0.026,0.006,0.026
105,0.18,0.026,0.006,0.026
106,0.18,0.026,0.006,0.026
107,0.18,0.026,0.006,0.026
108,0.18,0.026,0.006,0.026
109,0.19,0.035,0.008,0.04
110,0.18,0.026,0.006,0.026
111,0.18,0.026,0.006,0.026
112,0.18,0.026,0.006,0.026
113,0.18,0.026,0.006,0.026
114,0.18,0.026,0.006,0.026
115,0.18,0.026,0.006,0.026
116,0.18,0.026,0.006,0.026
117,0.19,0.035,0.008,0.04
118,0.19,0.035,0.008,0.04
119,0.19,0.035,0.008,0.04
120,0.19,0.035,0.008,0.04
121,0.18,0.026,0.006,0.026
122,0.19,0.035,0.008,0.04
123,0.18,0.026,0.006,0.026
124,0.18,0.026,0.006,0.026
125,0.18,0.026,0.006,0.026
126,0.18,0.026,0.006,0.026
127,0.17,0.019,0.004,0.017
128,0.18,0.026,0.006,0.026
129,0.18,0.026,0.006,0.026
130,0.18,0.026,0.006,0.026
131,0.18,0.026,0.006,0.026
132,0.18,0.026,0.006,0.026
133,0.19,0.035,0.008,0.04
134,0.18,0.026,0.006,0.026
135,0.19,0.035,0.008,0.04
136,0.18,0.026,0.006,0.026
137,0.19,0.035,0.008,0.04
138,0.19,0.035,0.008,0.04
