,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
1,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
2,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
3,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
4,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
5,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
6,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
7,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
8,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
9,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
10,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
11,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
12,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
13,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
14,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
15,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
16,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
17,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
18,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
19,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
20,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
21,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
22,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
23,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
24,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
25,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
26,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
27,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
28,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
29,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
30,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
31,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
32,0.17,12.571,6.793,12.952,55.793,13.872,25.005,8.873
33,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
34,0.17,12.571,6.793,12.952,55.793,13.872,25.005,8.873
35,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
36,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
37,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
38,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
39,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
40,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
41,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
42,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
43,0.16,10.989,5.925,10.716,45.184,11.682,21.248,7.786
44,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
45,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
46,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
47,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
48,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
49,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
50,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
51,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
52,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
53,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
54,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
55,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
56,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
57,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
58,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
59,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
