,volt,lpg,co,ch4
0,0.15,0.015,0.003,0.012
1,0.14,0.01,0.002,0.007
2,0.14,0.01,0.002,0.007
3,0.15,0.015,0.003,0.012
4,0.15,0.015,0.003,0.012
5,0.15,0.015,0.003,0.012
6,0.15,0.015,0.003,0.012
7,0.15,0.015,0.003,0.012
8,0.15,0.015,0.003,0.012
9,0.15,0.015,0.003,0.012
10,0.15,0.015,0.003,0.012
11,0.16,0.021,0.005,0.019
12,0.15,0.015,0.003,0.012
13,0.15,0.015,0.003,0.012
14,0.15,0.015,0.003,0.012
15,0.15,0.015,0.003,0.012
16,0.15,0.015,0.003,0.012
17,0.14,0.01,0.002,0.007
18,0.14,0.01,0.002,0.007
19,0.15,0.015,0.003,0.012
20,0.14,0.01,0.002,0.007
21,0.15,0.015,0.003,0.012
22,0.15,0.015,0.003,0.012
23,0.15,0.015,0.003,0.012
24,0.15,0.015,0.003,0.012
25,0.14,0.01,0.002,0.007
26,0.15,0.015,0.003,0.012
27,0.15,0.015,0.003,0.012
28,0.15,0.015,0.003,0.012
29,0.14,0.01,0.002,0.007
30,0.15,0.015,0.003,0.012
31,0.16,0.021,0.005,0.019
32,0.15,0.015,0.003,0.012
33,0.15,0.015,0.003,0.012
34,0.13,0.007,0.001,0.004
35,0.15,0.015,0.003,0.012
36,0.15,0.015,0.003,0.012
37,0.15,0.015,0.003,0.012
38,0.15,0.015,0.003,0.012
39,0.14,0.01,0.002,0.007
40,0.15,0.015,0.003,0.012
41,0.15,0.015,0.003,0.012
42,0.15,0.015,0.003,0.012
43,0.15,0.015,0.003,0.012
44,0.15,0.015,0.003,0.012
45,0.15,0.015,0.003,0.012
46,0.15,0.015,0.003,0.012
47,0.14,0.01,0.002,0.007
48,0.15,0.015,0.003,0.012
49,0.15,0.015,0.003,0.012
50,0.14,0.01,0.002,0.007
51,0.14,0.01,0.002,0.007
52,0.15,0.015,0.003,0.012
53,0.15,0.015,0.003,0.012
54,0.15,0.015,0.003,0.012
55,0.15,0.015,0.003,0.012
56,0.14,0.01,0.002,0.007
57,0.15,0.015,0.003,0.012
58,0.16,0.021,0.005,0.019
59,0.16,0.021,0.005,0.019
60,0.15,0.015,0.003,0.012
61,0.15,0.015,0.003,0.012
62,0.15,0.015,0.003,0.012
63,0.14,0.01,0.002,0.007
64,0.14,0.01,0.002,0.007
65,0.15,0.015,0.003,0.012
66,0.15,0.015,0.003,0.012
67,0.14,0.01,0.002,0.007
68,0.15,0.015,0.003,0.012
69,0.15,0.015,0.003,0.012
70,0.15,0.015,0.003,0.012
71,0.15,0.015,0.003,0.012
72,0.15,0.015,0.003,0.012
73,0.15,0.015,0.003,0.012
74,0.15,0.015,0.003,0.012
75,0.15,0.015,0.003,0.012
76,0.14,0.01,0.002,0.007
77,0.15,0.015,0.003,0.012
78,0.15,0.015,0.003,0.012
79,0.15,0.015,0.003,0.012
80,0.14,0.01,0.002,0.007
81,0.15,0.015,0.003,0.012
82,0.15,0.015,0.003,0.012
83,0.15,0.015,0.003,0.012
84,0.15,0.015,0.003,0.012
85,0.15,0.015,0.003,0.012
86,0.14,0.01,0.002,0.007
87,0.15,0.015,0.003,0.012
88,0.16,0.021,0.005,0.019
89,0.15,0.015,0.003,0.012
90,0.15,0.015,0.003,0.012
91,0.14,0.01,0.002,0.007
92,0.15,0.015,0.003,0.012
93,0.15,0.015,0.003,0.012
94,0.15,0.015,0.003,0.012
95,0.15,0.015,0.003,0.012
96,0.14,0.01,0.002,0.007
97,0.15,0.015,0.003,0.012
98,0.15,0.015,0.003,0.012
99,0.15,0.015,0.003,0.012
100,0.14,0.01,0.002,0.007
101,0.14,0.01,0.002,0.007
102,0.15,0.015,0.003,0.012
103,0.15,0.015,0.003,0.012
104,0.15,0.015,0.003,0.012
105,0.15,0.015,0.003,0.012
106,0.15,0.015,0.003,0.012
107,0.15,0.015,0.003,0.012
108,0.15,0.015,0.003,0.012
109,0.15,0.015,0.003,0.012
110,0.15,0.015,0.003,0.012
111,0.15,0.015,0.003,0.012
112,0.16,0.021,0.005,0.019
113,0.16,0.021,0.005,0.019
114,0.15,0.015,0.003,0.012
115,0.14,0.01,0.002,0.007
116,0.14,0.01,0.002,0.007
117,0.15,0.015,0.003,0.012
118,0.15,0.015,0.003,0.012
119,0.15,0.015,0.003,0.012
120,0.15,0.015,0.003,0.012
121,0.15,0.015,0.003,0.012
122,0.15,0.015,0.003,0.012
123,0.15,0.015,0.003,0.012
124,0.14,0.01,0.002,0.007
125,0.15,0.015,0.003,0.012
126,0.15,0.015,0.003,0.012
127,0.15,0.015,0.003,0.012
128,0.15,0.015,0.003,0.012
129,0.15,0.015,0.003,0.012
130,0.15,0.015,0.003,0.012
131,0.15,0.015,0.003,0.012
132,0.15,0.015,0.003,0.012
133,0.15,0.015,0.003,0.012
134,0.15,0.015,0.003,0.012
135,0.15,0.015,0.003,0.012
136,0.14,0.01,0.002,0.007
137,0.15,0.015,0.003,0.012
138,0.15,0.015,0.003,0.012
139,0.15,0.015,0.003,0.012
140,0.16,0.021,0.005,0.019
141,0.15,0.015,0.003,0.012
142,0.15,0.015,0.003,0.012
