id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.24,0.11,0.17,0.14,0.03,0.16
2,0.24,0.11,0.16,0.15,0.03,0.17
3,0.23,0.12,0.17,0.15,0.02,0.17
4,0.24,0.11,0.18,0.15,0.02,0.15
5,0.24,0.11,0.17,0.14,0.03,0.16
6,0.23,0.11,0.17,0.15,0.03,0.16
7,0.23,0.12,0.17,0.15,0.03,0.17
8,0.24,0.11,0.17,0.15,0.03,0.16
9,0.24,0.12,0.17,0.15,0.03,0.17
10,0.24,0.11,0.17,0.15,0.03,0.16
11,0.24,0.12,0.17,0.15,0.03,0.17
12,0.24,0.11,0.17,0.15,0.03,0.16
13,0.24,0.12,0.17,0.15,0.02,0.17
14,0.24,0.12,0.17,0.15,0.03,0.17
15,0.24,0.11,0.17,0.15,0.03,0.17
16,0.24,0.11,0.17,0.15,0.03,0.16
17,0.24,0.12,0.17,0.15,0.03,0.16
18,0.24,0.11,0.17,0.15,0.02,0.16
19,0.24,0.12,0.17,0.15,0.03,0.17
20,0.24,0.11,0.18,0.14,0.03,0.17
21,0.24,0.12,0.17,0.15,0.03,0.17
22,0.23,0.11,0.18,0.14,0.03,0.16
23,0.24,0.11,0.18,0.15,0.03,0.16
24,0.24,0.12,0.17,0.15,0.03,0.17
25,0.24,0.12,0.17,0.15,0.03,0.17
26,0.24,0.11,0.16,0.15,0.03,0.17
27,0.24,0.12,0.17,0.15,0.03,0.16
28,0.24,0.11,0.18,0.15,0.03,0.17
29,0.23,0.12,0.17,0.15,0.03,0.16
30,0.23,0.12,0.17,0.15,0.02,0.17
31,0.24,0.11,0.17,0.14,0.02,0.16
32,0.24,0.11,0.17,0.15,0.02,0.16
33,0.24,0.11,0.17,0.15,0.03,0.16
34,0.24,0.12,0.17,0.15,0.03,0.16
35,0.24,0.11,0.17,0.14,0.02,0.16
36,0.23,0.11,0.17,0.14,0.02,0.16
37,0.24,0.11,0.17,0.15,0.03,0.16
38,0.24,0.11,0.17,0.14,0.03,0.17
39,0.25,0.11,0.18,0.15,0.02,0.16
40,0.24,0.11,0.17,0.15,0.02,0.16
41,0.23,0.12,0.18,0.15,0.02,0.18
42,0.23,0.11,0.18,0.15,0.03,0.17
43,0.24,0.12,0.17,0.15,0.03,0.16
44,0.24,0.11,0.17,0.15,0.03,0.17
45,0.23,0.12,0.17,0.14,0.03,0.17
46,0.24,0.12,0.18,0.15,0.02,0.16
47,0.24,0.11,0.17,0.15,0.03,0.16
48,0.23,0.12,0.17,0.16,0.03,0.17
49,0.24,0.11,0.17,0.15,0.02,0.16
50,0.24,0.11,0.18,0.14,0.02,0.16
51,0.24,0.12,0.17,0.15,0.04,0.15
52,0.24,0.11,0.17,0.15,0.03,0.16
53,0.24,0.12,0.17,0.15,0.02,0.16
