,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,1.2,9.832,5.291,9.162,37.952,10.134,18.57,6.987
1,1.2,9.832,5.291,9.162,37.952,10.134,18.57,6.987
2,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
3,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
4,1.2,9.832,5.291,9.162,37.952,10.134,18.57,6.987
5,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
6,1.2,9.832,5.291,9.162,37.952,10.134,18.57,6.987
7,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
8,1.2,9.832,5.291,9.162,37.952,10.134,18.57,6.987
9,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
10,1.2,9.832,5.291,9.162,37.952,10.134,18.57,6.987
11,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
12,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
13,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
14,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
15,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
16,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
17,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
18,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
19,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
20,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
21,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
22,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
23,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
24,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
25,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
26,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
27,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
28,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
29,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
30,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
31,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
32,1.19,9.602,5.166,8.863,36.574,9.834,18.047,6.829
33,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
34,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
35,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
36,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
37,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
38,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
39,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
40,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
41,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
42,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
43,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
44,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
45,1.18,9.377,5.043,8.571,35.238,9.54,17.536,6.673
46,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
47,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
48,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
49,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
50,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
51,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
52,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
53,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
54,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
55,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
56,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
57,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
58,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
59,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
60,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
61,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
62,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
63,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
64,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
65,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
66,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
67,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
68,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
69,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
70,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
71,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
72,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
73,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
74,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
75,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
76,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
77,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
78,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
79,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
80,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
81,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
82,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
83,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
84,1.17,9.156,4.922,8.288,33.944,9.254,17.037,6.52
85,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
86,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
87,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
88,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
89,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
90,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
91,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
92,1.16,8.939,4.803,8.012,32.69,8.974,16.549,6.37
93,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
94,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
95,1.14,8.516,4.572,7.484,30.298,8.435,15.606,6.077
96,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
97,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
98,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
99,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
100,1.14,8.516,4.572,7.484,30.298,8.435,15.606,6.077
101,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
102,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
103,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
104,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
105,1.14,8.516,4.572,7.484,30.298,8.435,15.606,6.077
106,1.14,8.516,4.572,7.484,30.298,8.435,15.606,6.077
107,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
108,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
109,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
110,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
111,1.14,8.516,4.572,7.484,30.298,8.435,15.606,6.077
112,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
113,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
114,1.14,8.516,4.572,7.484,30.298,8.435,15.606,6.077
115,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
116,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
117,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
118,1.14,8.516,4.572,7.484,30.298,8.435,15.606,6.077
119,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
120,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
121,1.15,8.725,4.687,7.744,31.475,8.701,16.072,6.222
