,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,1.29,12.088,6.528,12.257,52.47,13.195,23.847,8.542
1,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
2,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
3,1.29,12.088,6.528,12.257,52.47,13.195,23.847,8.542
4,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
5,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
6,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
7,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
8,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
9,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
10,1.28,11.82,6.381,11.875,50.653,12.821,23.207,8.357
11,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
12,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
13,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
14,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
15,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
16,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
17,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
18,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
19,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
20,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
21,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
22,1.27,11.555,6.236,11.503,48.891,12.457,22.581,8.176
23,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
24,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
25,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
26,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
27,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
28,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
29,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
30,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
31,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
32,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
33,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
34,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
35,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
36,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
37,1.26,11.296,6.094,11.141,47.181,12.101,21.969,7.997
38,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
39,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
40,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
41,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
42,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
43,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
44,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
45,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
46,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
47,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
48,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
49,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
50,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
51,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
52,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
53,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
54,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
55,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
56,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
57,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
58,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
59,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
60,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
61,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
62,1.23,10.544,5.682,10.111,42.354,11.082,20.212,7.479
63,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
64,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
65,1.24,10.791,5.817,10.445,43.914,11.414,20.785,7.649
66,1.25,11.041,5.954,10.788,45.522,11.753,21.37,7.822
