,volt,lpg,co,ch4
0,0.16,0.014,0.003,0.011
1,0.17,0.019,0.004,0.017
2,0.17,0.019,0.004,0.017
3,0.16,0.014,0.003,0.011
4,0.17,0.019,0.004,0.017
5,0.16,0.014,0.003,0.011
6,0.17,0.019,0.004,0.017
7,0.17,0.019,0.004,0.017
8,0.17,0.019,0.004,0.017
9,0.17,0.019,0.004,0.017
10,0.17,0.019,0.004,0.017
11,0.17,0.019,0.004,0.017
12,0.16,0.014,0.003,0.011
13,0.17,0.019,0.004,0.017
14,0.16,0.014,0.003,0.011
15,0.17,0.019,0.004,0.017
16,0.16,0.014,0.003,0.011
17,0.16,0.014,0.003,0.011
18,0.16,0.014,0.003,0.011
19,0.16,0.014,0.003,0.011
20,0.17,0.019,0.004,0.017
21,0.17,0.019,0.004,0.017
22,0.17,0.019,0.004,0.017
23,0.16,0.014,0.003,0.011
24,0.16,0.014,0.003,0.011
25,0.16,0.014,0.003,0.011
26,0.16,0.014,0.003,0.011
27,0.17,0.019,0.004,0.017
28,0.16,0.014,0.003,0.011
29,0.16,0.014,0.003,0.011
30,0.17,0.019,0.004,0.017
31,0.16,0.014,0.003,0.011
32,0.17,0.019,0.004,0.017
33,0.16,0.014,0.003,0.011
34,0.16,0.014,0.003,0.011
35,0.17,0.019,0.004,0.017
36,0.17,0.019,0.004,0.017
37,0.17,0.019,0.004,0.017
38,0.17,0.019,0.004,0.017
39,0.16,0.014,0.003,0.011
40,0.16,0.014,0.003,0.011
41,0.16,0.014,0.003,0.011
42,0.17,0.019,0.004,0.017
43,0.17,0.019,0.004,0.017
44,0.16,0.014,0.003,0.011
45,0.16,0.014,0.003,0.011
46,0.16,0.014,0.003,0.011
47,0.16,0.014,0.003,0.011
48,0.16,0.014,0.003,0.011
49,0.16,0.014,0.003,0.011
50,0.16,0.014,0.003,0.011
51,0.16,0.014,0.003,0.011
52,0.16,0.014,0.003,0.011
53,0.16,0.014,0.003,0.011
54,0.16,0.014,0.003,0.011
55,0.16,0.014,0.003,0.011
56,0.17,0.019,0.004,0.017
57,0.16,0.014,0.003,0.011
58,0.16,0.014,0.003,0.011
59,0.16,0.014,0.003,0.011
60,0.16,0.014,0.003,0.011
61,0.16,0.014,0.003,0.011
62,0.16,0.014,0.003,0.011
63,0.16,0.014,0.003,0.011
64,0.16,0.014,0.003,0.011
65,0.16,0.014,0.003,0.011
66,0.16,0.014,0.003,0.011
67,0.17,0.019,0.004,0.017
68,0.17,0.019,0.004,0.017
69,0.15,0.01,0.002,0.006
70,0.16,0.014,0.003,0.011
71,0.16,0.014,0.003,0.011
72,0.16,0.014,0.003,0.011
73,0.16,0.014,0.003,0.011
74,0.16,0.014,0.003,0.011
75,0.17,0.019,0.004,0.017
76,0.17,0.019,0.004,0.017
77,0.16,0.014,0.003,0.011
78,0.16,0.014,0.003,0.011
79,0.16,0.014,0.003,0.011
80,0.17,0.019,0.004,0.017
81,0.16,0.014,0.003,0.011
82,0.16,0.014,0.003,0.011
83,0.17,0.019,0.004,0.017
84,0.17,0.019,0.004,0.017
85,0.17,0.019,0.004,0.017
86,0.17,0.019,0.004,0.017
87,0.17,0.019,0.004,0.017
88,0.16,0.014,0.003,0.011
89,0.16,0.014,0.003,0.011
90,0.16,0.014,0.003,0.011
91,0.17,0.019,0.004,0.017
92,0.17,0.019,0.004,0.017
93,0.16,0.014,0.003,0.011
94,0.16,0.014,0.003,0.011
95,0.16,0.014,0.003,0.011
96,0.17,0.019,0.004,0.017
97,0.16,0.014,0.003,0.011
98,0.16,0.014,0.003,0.011
99,0.16,0.014,0.003,0.011
100,0.16,0.014,0.003,0.011
101,0.17,0.019,0.004,0.017
102,0.17,0.019,0.004,0.017
103,0.16,0.014,0.003,0.011
104,0.16,0.014,0.003,0.011
105,0.16,0.014,0.003,0.011
106,0.16,0.014,0.003,0.011
107,0.16,0.014,0.003,0.011
108,0.16,0.014,0.003,0.011
109,0.16,0.014,0.003,0.011
110,0.16,0.014,0.003,0.011
111,0.16,0.014,0.003,0.011
112,0.16,0.014,0.003,0.011
113,0.16,0.014,0.003,0.011
114,0.16,0.014,0.003,0.011
115,0.16,0.014,0.003,0.011
116,0.16,0.014,0.003,0.011
117,0.16,0.014,0.003,0.011
118,0.16,0.014,0.003,0.011
119,0.16,0.014,0.003,0.011
120,0.17,0.019,0.004,0.017
121,0.17,0.019,0.004,0.017
122,0.16,0.014,0.003,0.011
123,0.16,0.014,0.003,0.011
124,0.16,0.014,0.003,0.011
125,0.16,0.014,0.003,0.011
126,0.16,0.014,0.003,0.011
127,0.17,0.019,0.004,0.017
128,0.17,0.019,0.004,0.017
129,0.16,0.014,0.003,0.011
130,0.17,0.019,0.004,0.017
131,0.16,0.014,0.003,0.011
132,0.16,0.014,0.003,0.011
133,0.16,0.014,0.003,0.011
134,0.16,0.014,0.003,0.011
135,0.17,0.019,0.004,0.017
136,0.16,0.014,0.003,0.011
137,0.16,0.014,0.003,0.011
138,0.16,0.014,0.003,0.011
139,0.17,0.019,0.004,0.017
140,0.17,0.019,0.004,0.017
141,0.18,0.026,0.006,0.026
142,0.16,0.014,0.003,0.011
143,0.16,0.014,0.003,0.011
144,0.16,0.014,0.003,0.011
145,0.16,0.014,0.003,0.011
146,0.16,0.014,0.003,0.011
147,0.16,0.014,0.003,0.011
148,0.16,0.014,0.003,0.011
149,0.16,0.014,0.003,0.011
150,0.16,0.014,0.003,0.011
151,0.16,0.014,0.003,0.011
152,0.16,0.014,0.003,0.011
153,0.16,0.014,0.003,0.011
154,0.16,0.014,0.003,0.011
155,0.16,0.014,0.003,0.011
156,0.16,0.014,0.003,0.011
157,0.16,0.014,0.003,0.011
158,0.16,0.014,0.003,0.011
159,0.17,0.019,0.004,0.017
160,0.16,0.014,0.003,0.011
161,0.16,0.014,0.003,0.011
162,0.16,0.014,0.003,0.011
163,0.17,0.019,0.004,0.017
164,0.17,0.019,0.004,0.017
165,0.16,0.014,0.003,0.011
166,0.16,0.014,0.003,0.011
167,0.17,0.019,0.004,0.017
168,0.16,0.014,0.003,0.011
169,0.16,0.014,0.003,0.011
170,0.16,0.014,0.003,0.011
171,0.16,0.014,0.003,0.011
172,0.16,0.014,0.003,0.011
173,0.17,0.019,0.004,0.017
174,0.17,0.019,0.004,0.017
175,0.16,0.014,0.003,0.011
176,0.16,0.014,0.003,0.011
177,0.16,0.014,0.003,0.011
178,0.17,0.019,0.004,0.017
179,0.16,0.014,0.003,0.011
180,0.17,0.019,0.004,0.017
181,0.16,0.014,0.003,0.011
182,0.16,0.014,0.003,0.011
183,0.17,0.019,0.004,0.017
184,0.17,0.019,0.004,0.017
185,0.17,0.019,0.004,0.017
186,0.16,0.014,0.003,0.011
187,0.16,0.014,0.003,0.011
188,0.16,0.014,0.003,0.011
189,0.17,0.019,0.004,0.017
190,0.17,0.019,0.004,0.017
191,0.16,0.014,0.003,0.011
192,0.16,0.014,0.003,0.011
193,0.16,0.014,0.003,0.011
194,0.16,0.014,0.003,0.011
195,0.17,0.019,0.004,0.017
196,0.16,0.014,0.003,0.011
197,0.17,0.019,0.004,0.017
198,0.16,0.014,0.003,0.011
199,0.16,0.014,0.003,0.011
200,0.17,0.019,0.004,0.017
201,0.16,0.014,0.003,0.011
202,0.16,0.014,0.003,0.011
203,0.17,0.019,0.004,0.017
204,0.16,0.014,0.003,0.011
205,0.16,0.014,0.003,0.011
206,0.17,0.019,0.004,0.017
207,0.16,0.014,0.003,0.011
208,0.16,0.014,0.003,0.011
209,0.16,0.014,0.003,0.011
210,0.17,0.019,0.004,0.017
211,0.17,0.019,0.004,0.017
212,0.16,0.014,0.003,0.011
213,0.16,0.014,0.003,0.011
214,0.17,0.019,0.004,0.017
215,0.16,0.014,0.003,0.011
216,0.16,0.014,0.003,0.011
217,0.15,0.01,0.002,0.006
218,0.16,0.014,0.003,0.011
219,0.17,0.019,0.004,0.017
220,0.16,0.014,0.003,0.011
221,0.17,0.019,0.004,0.017
222,0.16,0.014,0.003,0.011
223,0.16,0.014,0.003,0.011
224,0.16,0.014,0.003,0.011
225,0.16,0.014,0.003,0.011
226,0.16,0.014,0.003,0.011
227,0.16,0.014,0.003,0.011
228,0.16,0.014,0.003,0.011
229,0.16,0.014,0.003,0.011
230,0.16,0.014,0.003,0.011
231,0.16,0.014,0.003,0.011
232,0.17,0.019,0.004,0.017
233,0.16,0.014,0.003,0.011
234,0.16,0.014,0.003,0.011
235,0.16,0.014,0.003,0.011
236,0.16,0.014,0.003,0.011
237,0.16,0.014,0.003,0.011
238,0.17,0.019,0.004,0.017
239,0.16,0.014,0.003,0.011
240,0.16,0.014,0.003,0.011
241,0.17,0.019,0.004,0.017
242,0.16,0.014,0.003,0.011
243,0.16,0.014,0.003,0.011
244,0.16,0.014,0.003,0.011
245,0.15,0.01,0.002,0.006
246,0.16,0.014,0.003,0.011
247,0.17,0.019,0.004,0.017
248,0.17,0.019,0.004,0.017
249,0.16,0.014,0.003,0.011
250,0.16,0.014,0.003,0.011
251,0.16,0.014,0.003,0.011
252,0.16,0.014,0.003,0.011
253,0.16,0.014,0.003,0.011
254,0.16,0.014,0.003,0.011
255,0.16,0.014,0.003,0.011
256,0.16,0.014,0.003,0.011
257,0.16,0.014,0.003,0.011
258,0.16,0.014,0.003,0.011
259,0.16,0.014,0.003,0.011
260,0.17,0.019,0.004,0.017
261,0.16,0.014,0.003,0.011
262,0.16,0.014,0.003,0.011
263,0.16,0.014,0.003,0.011
264,0.16,0.014,0.003,0.011
265,0.17,0.019,0.004,0.017
266,0.16,0.014,0.003,0.011
267,0.16,0.014,0.003,0.011
268,0.16,0.014,0.003,0.011
269,0.17,0.019,0.004,0.017
270,0.16,0.014,0.003,0.011
271,0.16,0.014,0.003,0.011
272,0.16,0.014,0.003,0.011
273,0.16,0.014,0.003,0.011
274,0.15,0.01,0.002,0.006
275,0.16,0.014,0.003,0.011
276,0.16,0.014,0.003,0.011
277,0.16,0.014,0.003,0.011
278,0.16,0.014,0.003,0.011
279,0.16,0.014,0.003,0.011
280,0.16,0.014,0.003,0.011
281,0.16,0.014,0.003,0.011
282,0.17,0.019,0.004,0.017
283,0.16,0.014,0.003,0.011
284,0.16,0.014,0.003,0.011
285,0.16,0.014,0.003,0.011
286,0.16,0.014,0.003,0.011
287,0.17,0.019,0.004,0.017
288,0.17,0.019,0.004,0.017
289,0.16,0.014,0.003,0.011
290,0.16,0.014,0.003,0.011
291,0.16,0.014,0.003,0.011
292,0.16,0.014,0.003,0.011
293,0.16,0.014,0.003,0.011
294,0.16,0.014,0.003,0.011
295,0.16,0.014,0.003,0.011
296,0.17,0.019,0.004,0.017
297,0.16,0.014,0.003,0.011
298,0.16,0.014,0.003,0.011
299,0.16,0.014,0.003,0.011
300,0.16,0.014,0.003,0.011
301,0.16,0.014,0.003,0.011
302,0.16,0.014,0.003,0.011
303,0.16,0.014,0.003,0.011
304,0.16,0.014,0.003,0.011
305,0.17,0.019,0.004,0.017
306,0.16,0.014,0.003,0.011
307,0.16,0.014,0.003,0.011
308,0.16,0.014,0.003,0.011
309,0.16,0.014,0.003,0.011
310,0.17,0.019,0.004,0.017
311,0.16,0.014,0.003,0.011
312,0.16,0.014,0.003,0.011
313,0.16,0.014,0.003,0.011
314,0.16,0.014,0.003,0.011
315,0.16,0.014,0.003,0.011
316,0.16,0.014,0.003,0.011
317,0.16,0.014,0.003,0.011
318,0.15,0.01,0.002,0.006
319,0.16,0.014,0.003,0.011
320,0.16,0.014,0.003,0.011
321,0.16,0.014,0.003,0.011
322,0.17,0.019,0.004,0.017
323,0.16,0.014,0.003,0.011
324,0.17,0.019,0.004,0.017
325,0.16,0.014,0.003,0.011
326,0.16,0.014,0.003,0.011
327,0.15,0.01,0.002,0.006
328,0.17,0.019,0.004,0.017
329,0.16,0.014,0.003,0.011
330,0.16,0.014,0.003,0.011
331,0.16,0.014,0.003,0.011
332,0.16,0.014,0.003,0.011
333,0.16,0.014,0.003,0.011
334,0.16,0.014,0.003,0.011
335,0.17,0.019,0.004,0.017
336,0.16,0.014,0.003,0.011
337,0.16,0.014,0.003,0.011
338,0.16,0.014,0.003,0.011
339,0.16,0.014,0.003,0.011
340,0.17,0.019,0.004,0.017
341,0.16,0.014,0.003,0.011
342,0.15,0.01,0.002,0.006
343,0.16,0.014,0.003,0.011
344,0.17,0.019,0.004,0.017
345,0.16,0.014,0.003,0.011
346,0.16,0.014,0.003,0.011
347,0.17,0.019,0.004,0.017
348,0.15,0.01,0.002,0.006
349,0.17,0.019,0.004,0.017
350,0.16,0.014,0.003,0.011
351,0.17,0.019,0.004,0.017
352,0.16,0.014,0.003,0.011
353,0.16,0.014,0.003,0.011
354,0.16,0.014,0.003,0.011
355,0.17,0.019,0.004,0.017
356,0.16,0.014,0.003,0.011
357,0.16,0.014,0.003,0.011
358,0.16,0.014,0.003,0.011
359,0.16,0.014,0.003,0.011
360,0.17,0.019,0.004,0.017
361,0.17,0.019,0.004,0.017
362,0.16,0.014,0.003,0.011
363,0.16,0.014,0.003,0.011
364,0.16,0.014,0.003,0.011
365,0.16,0.014,0.003,0.011
366,0.16,0.014,0.003,0.011
367,0.16,0.014,0.003,0.011
368,0.17,0.019,0.004,0.017
369,0.17,0.019,0.004,0.017
370,0.16,0.014,0.003,0.011
371,0.16,0.014,0.003,0.011
372,0.16,0.014,0.003,0.011
373,0.16,0.014,0.003,0.011
374,0.16,0.014,0.003,0.011
375,0.16,0.014,0.003,0.011
376,0.15,0.01,0.002,0.006
377,0.15,0.01,0.002,0.006
378,0.16,0.014,0.003,0.011
379,0.16,0.014,0.003,0.011
380,0.16,0.014,0.003,0.011
381,0.16,0.014,0.003,0.011
382,0.16,0.014,0.003,0.011
383,0.16,0.014,0.003,0.011
384,0.16,0.014,0.003,0.011
385,0.16,0.014,0.003,0.011
386,0.17,0.019,0.004,0.017
387,0.16,0.014,0.003,0.011
388,0.16,0.014,0.003,0.011
389,0.16,0.014,0.003,0.011
390,0.16,0.014,0.003,0.011
391,0.16,0.014,0.003,0.011
392,0.16,0.014,0.003,0.011
393,0.16,0.014,0.003,0.011
394,0.16,0.014,0.003,0.011
395,0.15,0.01,0.002,0.006
396,0.16,0.014,0.003,0.011
397,0.17,0.019,0.004,0.017
398,0.16,0.014,0.003,0.011
399,0.16,0.014,0.003,0.011
400,0.16,0.014,0.003,0.011
401,0.16,0.014,0.003,0.011
402,0.16,0.014,0.003,0.011
403,0.16,0.014,0.003,0.011
404,0.16,0.014,0.003,0.011
405,0.16,0.014,0.003,0.011
406,0.16,0.014,0.003,0.011
407,0.16,0.014,0.003,0.011
408,0.16,0.014,0.003,0.011
409,0.16,0.014,0.003,0.011
410,0.16,0.014,0.003,0.011
411,0.16,0.014,0.003,0.011
412,0.16,0.014,0.003,0.011
413,0.16,0.014,0.003,0.011
414,0.16,0.014,0.003,0.011
415,0.15,0.01,0.002,0.006
416,0.16,0.014,0.003,0.011
417,0.16,0.014,0.003,0.011
418,0.16,0.014,0.003,0.011
419,0.16,0.014,0.003,0.011
420,0.16,0.014,0.003,0.011
421,0.16,0.014,0.003,0.011
422,0.16,0.014,0.003,0.011
423,0.15,0.01,0.002,0.006
424,0.16,0.014,0.003,0.011
425,0.16,0.014,0.003,0.011
426,0.17,0.019,0.004,0.017
427,0.15,0.01,0.002,0.006
428,0.16,0.014,0.003,0.011
429,0.16,0.014,0.003,0.011
430,0.16,0.014,0.003,0.011
431,0.16,0.014,0.003,0.011
432,0.16,0.014,0.003,0.011
433,0.16,0.014,0.003,0.011
434,0.17,0.019,0.004,0.017
435,0.16,0.014,0.003,0.011
436,0.16,0.014,0.003,0.011
437,0.16,0.014,0.003,0.011
438,0.16,0.014,0.003,0.011
439,0.16,0.014,0.003,0.011
440,0.16,0.014,0.003,0.011
441,0.16,0.014,0.003,0.011
442,0.16,0.014,0.003,0.011
443,0.15,0.01,0.002,0.006
444,0.16,0.014,0.003,0.011
445,0.16,0.014,0.003,0.011
446,0.16,0.014,0.003,0.011
447,0.16,0.014,0.003,0.011
448,0.15,0.01,0.002,0.006
449,0.16,0.014,0.003,0.011
450,0.16,0.014,0.003,0.011
451,0.16,0.014,0.003,0.011
