id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.17,0.63,0.01,1.38,0.17,0.25
2,0.17,0.63,0.02,1.40,0.17,0.25
3,0.17,0.63,0.01,1.39,0.16,0.24
4,0.17,0.63,0.01,1.39,0.17,0.24
5,0.17,0.63,0.01,1.39,0.17,0.25
6,0.18,0.63,0.01,1.39,0.17,0.25
7,0.18,0.63,0.02,1.39,0.16,0.23
8,0.17,0.63,0.01,1.39,0.18,0.26
9,0.17,0.63,0.01,1.38,0.17,0.24
10,0.17,0.64,0.00,1.38,0.17,0.26
11,0.17,0.62,0.01,1.39,0.18,0.25
12,0.17,0.63,0.01,1.38,0.17,0.24
13,0.18,0.63,0.00,1.38,0.16,0.24
14,0.18,0.63,0.00,1.38,0.17,0.24
15,0.17,0.63,0.01,1.38,0.17,0.25
16,0.18,0.62,0.01,1.38,0.17,0.23
17,0.17,0.62,0.01,1.38,0.17,0.24
18,0.17,0.62,0.01,1.37,0.17,0.24
19,0.17,0.62,0.01,1.37,0.18,0.25
20,0.18,0.62,0.01,1.38,0.17,0.24
21,0.17,0.62,0.01,1.38,0.17,0.24
22,0.17,0.62,0.01,1.37,0.17,0.24
23,0.18,0.61,0.02,1.37,0.17,0.23
24,0.17,0.62,0.01,1.37,0.17,0.24
25,0.17,0.62,0.01,1.37,0.17,0.25
26,0.17,0.62,0.01,1.37,0.16,0.24
27,0.17,0.62,0.01,1.37,0.17,0.24
28,0.17,0.62,0.02,1.36,0.17,0.23
29,0.17,0.62,0.01,1.37,0.17,0.25
30,0.17,0.62,0.01,1.36,0.17,0.24
31,0.18,0.62,0.01,1.36,0.17,0.25
32,0.18,0.62,0.01,1.36,0.17,0.24
33,0.17,0.61,0.02,1.36,0.18,0.22
34,0.18,0.62,0.01,1.36,0.17,0.25
35,0.18,0.62,0.01,1.36,0.17,0.24
36,0.18,0.61,0.01,1.37,0.19,0.23
37,0.17,0.61,0.01,1.37,0.18,0.24
38,0.18,0.62,0.01,1.36,0.17,0.24
39,0.17,0.62,0.01,1.35,0.16,0.23
40,0.17,0.61,0.01,1.36,0.16,0.24
41,0.17,0.62,0.01,1.37,0.16,0.24
42,0.17,0.60,0.00,1.35,0.18,0.24
43,0.17,0.61,0.01,1.35,0.17,0.24
44,0.18,0.60,0.02,1.36,0.16,0.24
45,0.17,0.62,0.01,1.36,0.18,0.24
46,0.17,0.61,0.01,1.35,0.18,0.25
47,0.18,0.62,0.00,1.35,0.17,0.24
48,0.18,0.61,0.01,1.35,0.17,0.24
49,0.18,0.61,0.02,1.36,0.18,0.24
50,0.18,0.61,0.01,1.35,0.16,0.25
