,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
1,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
2,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
3,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
4,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
5,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
6,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
7,0.26,9.567,5.147,8.817,36.363,9.787,17.967,6.805
8,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
9,0.26,9.567,5.147,8.817,36.363,9.787,17.967,6.805
10,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
11,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
12,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
13,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
14,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
15,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
16,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
17,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
18,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
19,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
20,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
21,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
22,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
23,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
24,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
25,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
26,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
27,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
28,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
29,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
30,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
31,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
32,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
33,0.25,8.755,4.703,7.782,31.643,8.739,16.138,6.243
34,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
35,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
36,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
37,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
38,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
39,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
40,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
41,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
