,volt,co,h2,lpg,ch4,alcohol
0,0.12,0.914,0.687,0.147,0.427,2.393
1,0.11,0.802,0.604,0.088,0.205,1.256
2,0.11,0.802,0.604,0.088,0.205,1.256
3,0.12,0.914,0.687,0.147,0.427,2.393
4,0.12,0.914,0.687,0.147,0.427,2.393
5,0.11,0.802,0.604,0.088,0.205,1.256
6,0.11,0.802,0.604,0.088,0.205,1.256
7,0.12,0.914,0.687,0.147,0.427,2.393
8,0.12,0.914,0.687,0.147,0.427,2.393
9,0.11,0.802,0.604,0.088,0.205,1.256
10,0.12,0.914,0.687,0.147,0.427,2.393
11,0.11,0.802,0.604,0.088,0.205,1.256
12,0.11,0.802,0.604,0.088,0.205,1.256
13,0.11,0.802,0.604,0.088,0.205,1.256
14,0.11,0.802,0.604,0.088,0.205,1.256
15,0.12,0.914,0.687,0.147,0.427,2.393
16,0.12,0.914,0.687,0.147,0.427,2.393
17,0.12,0.914,0.687,0.147,0.427,2.393
18,0.12,0.914,0.687,0.147,0.427,2.393
19,0.11,0.802,0.604,0.088,0.205,1.256
20,0.11,0.802,0.604,0.088,0.205,1.256
21,0.11,0.802,0.604,0.088,0.205,1.256
22,0.12,0.914,0.687,0.147,0.427,2.393
23,0.11,0.802,0.604,0.088,0.205,1.256
24,0.12,0.914,0.687,0.147,0.427,2.393
25,0.11,0.802,0.604,0.088,0.205,1.256
26,0.12,0.914,0.687,0.147,0.427,2.393
27,0.12,0.914,0.687,0.147,0.427,2.393
28,0.11,0.802,0.604,0.088,0.205,1.256
29,0.11,0.802,0.604,0.088,0.205,1.256
30,0.12,0.914,0.687,0.147,0.427,2.393
31,0.11,0.802,0.604,0.088,0.205,1.256
32,0.12,0.914,0.687,0.147,0.427,2.393
33,0.11,0.802,0.604,0.088,0.205,1.256
34,0.11,0.802,0.604,0.088,0.205,1.256
35,0.11,0.802,0.604,0.088,0.205,1.256
36,0.11,0.802,0.604,0.088,0.205,1.256
37,0.12,0.914,0.687,0.147,0.427,2.393
38,0.11,0.802,0.604,0.088,0.205,1.256
39,0.11,0.802,0.604,0.088,0.205,1.256
40,0.12,0.914,0.687,0.147,0.427,2.393
41,0.11,0.802,0.604,0.088,0.205,1.256
42,0.12,0.914,0.687,0.147,0.427,2.393
43,0.11,0.802,0.604,0.088,0.205,1.256
44,0.11,0.802,0.604,0.088,0.205,1.256
45,0.12,0.914,0.687,0.147,0.427,2.393
46,0.12,0.914,0.687,0.147,0.427,2.393
47,0.12,0.914,0.687,0.147,0.427,2.393
48,0.11,0.802,0.604,0.088,0.205,1.256
49,0.11,0.802,0.604,0.088,0.205,1.256
50,0.11,0.802,0.604,0.088,0.205,1.256
51,0.11,0.802,0.604,0.088,0.205,1.256
52,0.11,0.802,0.604,0.088,0.205,1.256
53,0.11,0.802,0.604,0.088,0.205,1.256
54,0.12,0.914,0.687,0.147,0.427,2.393
55,0.11,0.802,0.604,0.088,0.205,1.256
56,0.11,0.802,0.604,0.088,0.205,1.256
57,0.12,0.914,0.687,0.147,0.427,2.393
58,0.12,0.914,0.687,0.147,0.427,2.393
59,0.12,0.914,0.687,0.147,0.427,2.393
60,0.11,0.802,0.604,0.088,0.205,1.256
61,0.11,0.802,0.604,0.088,0.205,1.256
62,0.11,0.802,0.604,0.088,0.205,1.256
63,0.12,0.914,0.687,0.147,0.427,2.393
64,0.12,0.914,0.687,0.147,0.427,2.393
65,0.11,0.802,0.604,0.088,0.205,1.256
66,0.11,0.802,0.604,0.088,0.205,1.256
67,0.12,0.914,0.687,0.147,0.427,2.393
68,0.11,0.802,0.604,0.088,0.205,1.256
69,0.11,0.802,0.604,0.088,0.205,1.256
70,0.11,0.802,0.604,0.088,0.205,1.256
71,0.11,0.802,0.604,0.088,0.205,1.256
72,0.11,0.802,0.604,0.088,0.205,1.256
73,0.12,0.914,0.687,0.147,0.427,2.393
74,0.12,0.914,0.687,0.147,0.427,2.393
75,0.11,0.802,0.604,0.088,0.205,1.256
76,0.12,0.914,0.687,0.147,0.427,2.393
77,0.11,0.802,0.604,0.088,0.205,1.256
78,0.11,0.802,0.604,0.088,0.205,1.256
79,0.11,0.802,0.604,0.088,0.205,1.256
80,0.11,0.802,0.604,0.088,0.205,1.256
81,0.11,0.802,0.604,0.088,0.205,1.256
82,0.12,0.914,0.687,0.147,0.427,2.393
83,0.11,0.802,0.604,0.088,0.205,1.256
84,0.12,0.914,0.687,0.147,0.427,2.393
85,0.11,0.802,0.604,0.088,0.205,1.256
86,0.12,0.914,0.687,0.147,0.427,2.393
87,0.11,0.802,0.604,0.088,0.205,1.256
88,0.11,0.802,0.604,0.088,0.205,1.256
89,0.11,0.802,0.604,0.088,0.205,1.256
90,0.12,0.914,0.687,0.147,0.427,2.393
91,0.11,0.802,0.604,0.088,0.205,1.256
92,0.11,0.802,0.604,0.088,0.205,1.256
93,0.12,0.914,0.687,0.147,0.427,2.393
94,0.12,0.914,0.687,0.147,0.427,2.393
95,0.11,0.802,0.604,0.088,0.205,1.256
96,0.12,0.914,0.687,0.147,0.427,2.393
97,0.11,0.802,0.604,0.088,0.205,1.256
98,0.11,0.802,0.604,0.088,0.205,1.256
99,0.11,0.802,0.604,0.088,0.205,1.256
100,0.12,0.914,0.687,0.147,0.427,2.393
101,0.12,0.914,0.687,0.147,0.427,2.393
102,0.11,0.802,0.604,0.088,0.205,1.256
103,0.12,0.914,0.687,0.147,0.427,2.393
104,0.12,0.914,0.687,0.147,0.427,2.393
105,0.12,0.914,0.687,0.147,0.427,2.393
106,0.12,0.914,0.687,0.147,0.427,2.393
107,0.12,0.914,0.687,0.147,0.427,2.393
108,0.12,0.914,0.687,0.147,0.427,2.393
109,0.12,0.914,0.687,0.147,0.427,2.393
110,0.12,0.914,0.687,0.147,0.427,2.393
111,0.11,0.802,0.604,0.088,0.205,1.256
112,0.11,0.802,0.604,0.088,0.205,1.256
113,0.11,0.802,0.604,0.088,0.205,1.256
114,0.11,0.802,0.604,0.088,0.205,1.256
115,0.11,0.802,0.604,0.088,0.205,1.256
116,0.12,0.914,0.687,0.147,0.427,2.393
117,0.11,0.802,0.604,0.088,0.205,1.256
118,0.11,0.802,0.604,0.088,0.205,1.256
119,0.12,0.914,0.687,0.147,0.427,2.393
120,0.11,0.802,0.604,0.088,0.205,1.256
121,0.12,0.914,0.687,0.147,0.427,2.393
122,0.11,0.802,0.604,0.088,0.205,1.256
123,0.12,0.914,0.687,0.147,0.427,2.393
124,0.12,0.914,0.687,0.147,0.427,2.393
125,0.12,0.914,0.687,0.147,0.427,2.393
126,0.12,0.914,0.687,0.147,0.427,2.393
127,0.11,0.802,0.604,0.088,0.205,1.256
128,0.12,0.914,0.687,0.147,0.427,2.393
129,0.11,0.802,0.604,0.088,0.205,1.256
130,0.12,0.914,0.687,0.147,0.427,2.393
131,0.12,0.914,0.687,0.147,0.427,2.393
132,0.11,0.802,0.604,0.088,0.205,1.256
133,0.12,0.914,0.687,0.147,0.427,2.393
134,0.12,0.914,0.687,0.147,0.427,2.393
135,0.11,0.802,0.604,0.088,0.205,1.256
136,0.12,0.914,0.687,0.147,0.427,2.393
137,0.12,0.914,0.687,0.147,0.427,2.393
138,0.12,0.914,0.687,0.147,0.427,2.393
139,0.11,0.802,0.604,0.088,0.205,1.256
140,0.12,0.914,0.687,0.147,0.427,2.393
141,0.11,0.802,0.604,0.088,0.205,1.256
142,0.11,0.802,0.604,0.088,0.205,1.256
143,0.11,0.802,0.604,0.088,0.205,1.256
144,0.11,0.802,0.604,0.088,0.205,1.256
145,0.11,0.802,0.604,0.088,0.205,1.256
146,0.11,0.802,0.604,0.088,0.205,1.256
147,0.11,0.802,0.604,0.088,0.205,1.256
148,0.11,0.802,0.604,0.088,0.205,1.256
149,0.12,0.914,0.687,0.147,0.427,2.393
150,0.11,0.802,0.604,0.088,0.205,1.256
151,0.12,0.914,0.687,0.147,0.427,2.393
152,0.12,0.914,0.687,0.147,0.427,2.393
153,0.12,0.914,0.687,0.147,0.427,2.393
154,0.12,0.914,0.687,0.147,0.427,2.393
155,0.11,0.802,0.604,0.088,0.205,1.256
156,0.12,0.914,0.687,0.147,0.427,2.393
157,0.11,0.802,0.604,0.088,0.205,1.256
158,0.12,0.914,0.687,0.147,0.427,2.393
159,0.12,0.914,0.687,0.147,0.427,2.393
160,0.11,0.802,0.604,0.088,0.205,1.256
161,0.12,0.914,0.687,0.147,0.427,2.393
162,0.12,0.914,0.687,0.147,0.427,2.393
163,0.11,0.802,0.604,0.088,0.205,1.256
164,0.12,0.914,0.687,0.147,0.427,2.393
165,0.11,0.802,0.604,0.088,0.205,1.256
166,0.12,0.914,0.687,0.147,0.427,2.393
167,0.12,0.914,0.687,0.147,0.427,2.393
168,0.12,0.914,0.687,0.147,0.427,2.393
169,0.11,0.802,0.604,0.088,0.205,1.256
170,0.11,0.802,0.604,0.088,0.205,1.256
171,0.11,0.802,0.604,0.088,0.205,1.256
172,0.11,0.802,0.604,0.088,0.205,1.256
173,0.11,0.802,0.604,0.088,0.205,1.256
174,0.11,0.802,0.604,0.088,0.205,1.256
175,0.12,0.914,0.687,0.147,0.427,2.393
176,0.11,0.802,0.604,0.088,0.205,1.256
177,0.12,0.914,0.687,0.147,0.427,2.393
178,0.11,0.802,0.604,0.088,0.205,1.256
179,0.12,0.914,0.687,0.147,0.427,2.393
180,0.11,0.802,0.604,0.088,0.205,1.256
181,0.11,0.802,0.604,0.088,0.205,1.256
182,0.11,0.802,0.604,0.088,0.205,1.256
183,0.13,1.031,0.774,0.236,0.843,4.334
184,0.13,1.031,0.774,0.236,0.843,4.334
185,0.12,0.914,0.687,0.147,0.427,2.393
186,0.13,1.031,0.774,0.236,0.843,4.334
187,0.13,1.031,0.774,0.236,0.843,4.334
188,0.13,1.031,0.774,0.236,0.843,4.334
189,0.15,1.279,0.958,0.554,2.848,12.578
190,0.16,1.41,1.055,0.815,4.942,20.369
191,0.15,1.279,0.958,0.554,2.848,12.578
192,0.15,1.279,0.958,0.554,2.848,12.578
193,0.14,1.153,0.864,0.367,1.583,7.521
194,0.13,1.031,0.774,0.236,0.843,4.334
195,0.13,1.031,0.774,0.236,0.843,4.334
196,0.13,1.031,0.774,0.236,0.843,4.334
197,0.13,1.031,0.774,0.236,0.843,4.334
198,0.18,1.686,1.259,1.651,13.548,49.226
199,0.19,1.831,1.366,2.286,21.555,73.903
200,0.21,2.133,1.588,4.18,51.058,206.058
201,0.2,1.979,1.476,3.113,33.52,114.355
202,0.2,1.979,1.476,3.113,33.52,114.355
203,0.19,1.831,1.366,2.286,21.555,73.903
204,0.18,1.686,1.259,1.651,13.548,49.226
205,0.16,1.41,1.055,0.815,4.942,20.369
206,0.15,1.279,0.958,0.554,2.848,12.578
207,0.16,1.41,1.055,0.815,4.942,20.369
208,0.16,1.41,1.055,0.815,4.942,20.369
209,0.16,1.41,1.055,0.815,4.942,20.369
210,0.16,1.41,1.055,0.815,4.942,20.369
211,0.16,1.41,1.055,0.815,4.942,20.369
212,0.16,1.41,1.055,0.815,4.942,20.369
213,0.16,1.41,1.055,0.815,4.942,20.369
214,0.16,1.41,1.055,0.815,4.942,20.369
215,0.16,1.41,1.055,0.815,4.942,20.369
216,0.16,1.41,1.055,0.815,4.942,20.369
217,0.16,1.41,1.055,0.815,4.942,20.369
218,0.16,1.41,1.055,0.815,4.942,20.369
219,0.17,1.546,1.156,1.172,8.3,32.064
220,0.17,1.546,1.156,1.172,8.3,32.064
221,0.17,1.546,1.156,1.172,8.3,32.064
222,0.18,1.686,1.259,1.651,13.548,49.226
223,0.17,1.546,1.156,1.172,8.3,32.064
224,0.17,1.546,1.156,1.172,8.3,32.064
225,0.16,1.41,1.055,0.815,4.942,20.369
226,0.16,1.41,1.055,0.815,4.942,20.369
227,0.16,1.41,1.055,0.815,4.942,20.369
228,0.16,1.41,1.055,0.815,4.942,20.369
229,0.15,1.279,0.958,0.554,2.848,12.578
230,0.16,1.41,1.055,0.815,4.942,20.369
231,0.16,1.41,1.055,0.815,4.942,20.369
232,0.16,1.41,1.055,0.815,4.942,20.369
233,0.17,1.546,1.156,1.172,8.3,32.064
234,0.16,1.41,1.055,0.815,4.942,20.369
235,0.18,1.686,1.259,1.651,13.548,49.226
236,0.17,1.546,1.156,1.172,8.3,32.064
237,0.17,1.546,1.156,1.172,8.3,32.064
238,0.16,1.41,1.055,0.815,4.942,20.369
239,0.17,1.546,1.156,1.172,8.3,32.064
240,0.16,1.41,1.055,0.815,4.942,20.369
241,0.16,1.41,1.055,0.815,4.942,20.369
242,0.17,1.546,1.156,1.172,8.3,32.064
243,0.15,1.279,0.958,0.554,2.848,12.578
244,0.16,1.41,1.055,0.815,4.942,20.369
245,0.16,1.41,1.055,0.815,4.942,20.369
246,0.16,1.41,1.055,0.815,4.942,20.369
247,0.16,1.41,1.055,0.815,4.942,20.369
248,0.15,1.279,0.958,0.554,2.848,12.578
249,0.16,1.41,1.055,0.815,4.942,20.369
250,0.16,1.41,1.055,0.815,4.942,20.369
251,0.16,1.41,1.055,0.815,4.942,20.369
252,0.16,1.41,1.055,0.815,4.942,20.369
253,0.16,1.41,1.055,0.815,4.942,20.369
254,0.15,1.279,0.958,0.554,2.848,12.578
255,0.15,1.279,0.958,0.554,2.848,12.578
256,0.15,1.279,0.958,0.554,2.848,12.578
257,0.15,1.279,0.958,0.554,2.848,12.578
258,0.15,1.279,0.958,0.554,2.848,12.578
259,0.15,1.279,0.958,0.554,2.848,12.578
260,0.15,1.279,0.958,0.554,2.848,12.578
261,0.16,1.41,1.055,0.815,4.942,20.369
262,0.15,1.279,0.958,0.554,2.848,12.578
263,0.16,1.41,1.055,0.815,4.942,20.369
264,0.16,1.41,1.055,0.815,4.942,20.369
265,0.16,1.41,1.055,0.815,4.942,20.369
266,0.16,1.41,1.055,0.815,4.942,20.369
267,0.15,1.279,0.958,0.554,2.848,12.578
268,0.16,1.41,1.055,0.815,4.942,20.369
269,0.15,1.279,0.958,0.554,2.848,12.578
270,0.16,1.41,1.055,0.815,4.942,20.369
271,0.16,1.41,1.055,0.815,4.942,20.369
272,0.16,1.41,1.055,0.815,4.942,20.369
