,volt,lpg,co,ch4
0,0.03,0.051,0.012,0.068
1,0.03,0.051,0.012,0.068
2,0.03,0.051,0.012,0.068
3,0.02,0.006,0.001,0.003
4,0.03,0.051,0.012,0.068
5,0.02,0.006,0.001,0.003
6,0.02,0.006,0.001,0.003
7,0.03,0.051,0.012,0.068
8,0.02,0.006,0.001,0.003
9,0.02,0.006,0.001,0.003
10,0.03,0.051,0.012,0.068
11,0.03,0.051,0.012,0.068
12,0.03,0.051,0.012,0.068
13,0.03,0.051,0.012,0.068
14,0.03,0.051,0.012,0.068
15,0.03,0.051,0.012,0.068
16,0.03,0.051,0.012,0.068
17,0.03,0.051,0.012,0.068
18,0.02,0.006,0.001,0.003
19,0.02,0.006,0.001,0.003
20,0.02,0.006,0.001,0.003
21,0.02,0.006,0.001,0.003
22,0.03,0.051,0.012,0.068
23,0.02,0.006,0.001,0.003
24,0.03,0.051,0.012,0.068
25,0.03,0.051,0.012,0.068
26,0.02,0.006,0.001,0.003
27,0.02,0.006,0.001,0.003
28,0.03,0.051,0.012,0.068
29,0.03,0.051,0.012,0.068
30,0.03,0.051,0.012,0.068
31,0.02,0.006,0.001,0.003
32,0.02,0.006,0.001,0.003
33,0.03,0.051,0.012,0.068
34,0.03,0.051,0.012,0.068
35,0.03,0.051,0.012,0.068
36,0.02,0.006,0.001,0.003
37,0.03,0.051,0.012,0.068
38,0.03,0.051,0.012,0.068
39,0.03,0.051,0.012,0.068
40,0.03,0.051,0.012,0.068
41,0.02,0.006,0.001,0.003
42,0.03,0.051,0.012,0.068
43,0.03,0.051,0.012,0.068
44,0.03,0.051,0.012,0.068
45,0.03,0.051,0.012,0.068
46,0.02,0.006,0.001,0.003
47,0.03,0.051,0.012,0.068
48,0.03,0.051,0.012,0.068
49,0.02,0.006,0.001,0.003
50,0.02,0.006,0.001,0.003
51,0.03,0.051,0.012,0.068
52,0.03,0.051,0.012,0.068
53,0.03,0.051,0.012,0.068
54,0.03,0.051,0.012,0.068
55,0.02,0.006,0.001,0.003
56,0.03,0.051,0.012,0.068
57,0.02,0.006,0.001,0.003
58,0.03,0.051,0.012,0.068
59,0.03,0.051,0.012,0.068
60,0.03,0.051,0.012,0.068
61,0.02,0.006,0.001,0.003
62,0.03,0.051,0.012,0.068
63,0.03,0.051,0.012,0.068
64,0.03,0.051,0.012,0.068
65,0.03,0.051,0.012,0.068
66,0.03,0.051,0.012,0.068
67,0.02,0.006,0.001,0.003
68,0.03,0.051,0.012,0.068
69,0.03,0.051,0.012,0.068
70,0.01,0.0,0.0,0.0
71,0.03,0.051,0.012,0.068
72,0.03,0.051,0.012,0.068
73,0.03,0.051,0.012,0.068
74,0.04,0.243,0.058,0.589
75,0.02,0.006,0.001,0.003
76,0.03,0.051,0.012,0.068
77,0.03,0.051,0.012,0.068
78,0.03,0.051,0.012,0.068
79,0.02,0.006,0.001,0.003
80,0.03,0.051,0.012,0.068
81,0.03,0.051,0.012,0.068
82,0.03,0.051,0.012,0.068
83,0.03,0.051,0.012,0.068
84,0.03,0.051,0.012,0.068
85,0.03,0.051,0.012,0.068
86,0.03,0.051,0.012,0.068
87,0.02,0.006,0.001,0.003
88,0.03,0.051,0.012,0.068
89,0.03,0.051,0.012,0.068
90,0.03,0.051,0.012,0.068
91,0.03,0.051,0.012,0.068
92,0.03,0.051,0.012,0.068
93,0.03,0.051,0.012,0.068
94,0.03,0.051,0.012,0.068
95,0.02,0.006,0.001,0.003
96,0.03,0.051,0.012,0.068
97,0.02,0.006,0.001,0.003
98,0.02,0.006,0.001,0.003
99,0.03,0.051,0.012,0.068
100,0.03,0.051,0.012,0.068
101,0.02,0.006,0.001,0.003
102,0.04,0.243,0.058,0.589
103,0.02,0.006,0.001,0.003
104,0.03,0.051,0.012,0.068
105,0.02,0.006,0.001,0.003
106,0.02,0.006,0.001,0.003
107,0.02,0.006,0.001,0.003
108,0.03,0.051,0.012,0.068
109,0.03,0.051,0.012,0.068
110,0.03,0.051,0.012,0.068
111,0.03,0.051,0.012,0.068
112,0.03,0.051,0.012,0.068
113,0.03,0.051,0.012,0.068
114,0.03,0.051,0.012,0.068
115,0.03,0.051,0.012,0.068
116,0.03,0.051,0.012,0.068
117,0.03,0.051,0.012,0.068
118,0.02,0.006,0.001,0.003
119,0.02,0.006,0.001,0.003
120,0.03,0.051,0.012,0.068
121,0.03,0.051,0.012,0.068
122,0.03,0.051,0.012,0.068
123,0.03,0.051,0.012,0.068
124,0.03,0.051,0.012,0.068
125,0.03,0.051,0.012,0.068
126,0.03,0.051,0.012,0.068
127,0.03,0.051,0.012,0.068
128,0.02,0.006,0.001,0.003
129,0.03,0.051,0.012,0.068
130,0.03,0.051,0.012,0.068
131,0.02,0.006,0.001,0.003
132,0.03,0.051,0.012,0.068
133,0.03,0.051,0.012,0.068
134,0.02,0.006,0.001,0.003
135,0.03,0.051,0.012,0.068
136,0.03,0.051,0.012,0.068
137,0.02,0.006,0.001,0.003
138,0.03,0.051,0.012,0.068
139,0.02,0.006,0.001,0.003
140,0.03,0.051,0.012,0.068
141,0.02,0.006,0.001,0.003
142,0.02,0.006,0.001,0.003
143,0.03,0.051,0.012,0.068
144,0.03,0.051,0.012,0.068
145,0.02,0.006,0.001,0.003
146,0.02,0.006,0.001,0.003
147,0.02,0.006,0.001,0.003
