sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.23,0.11,0.18,0.15,0.03,0.16
2,0.25,0.11,0.17,0.14,0.02,0.16
3,0.25,0.12,0.17,0.15,0.01,0.16
4,0.24,0.11,0.17,0.15,0.02,0.16
5,0.24,0.12,0.17,0.15,0.02,0.16
6,0.24,0.12,0.18,0.15,0.02,0.16
7,0.24,0.11,0.17,0.15,0.02,0.16
8,0.23,0.10,0.17,0.15,0.02,0.16
9,0.24,0.12,0.17,0.15,0.02,0.16
10,0.24,0.12,0.17,0.15,0.02,0.16
11,0.24,0.11,0.18,0.15,0.02,0.16
12,0.24,0.11,0.17,0.15,0.02,0.16
13,0.24,0.12,0.18,0.15,0.02,0.16
14,0.24,0.12,0.18,0.14,0.02,0.16
15,0.24,0.11,0.18,0.14,0.02,0.16
16,0.23,0.11,0.17,0.15,0.02,0.16
17,0.24,0.12,0.18,0.15,0.02,0.16
18,0.24,0.11,0.17,0.15,0.02,0.15
19,0.24,0.12,0.17,0.15,0.02,0.15
20,0.24,0.11,0.18,0.15,0.03,0.16
21,0.24,0.11,0.17,0.15,0.03,0.16
22,0.24,0.11,0.18,0.15,0.03,0.16
23,0.25,0.12,0.18,0.15,0.02,0.15
24,0.24,0.11,0.17,0.14,0.02,0.16
25,0.24,0.12,0.18,0.15,0.02,0.16
26,0.25,0.11,0.19,0.15,0.01,0.16
27,0.24,0.12,0.18,0.15,0.02,0.16
28,0.24,0.12,0.18,0.14,0.03,0.15
29,0.24,0.12,0.17,0.15,0.02,0.16
30,0.25,0.12,0.17,0.14,0.03,0.15
31,0.25,0.12,0.17,0.15,0.02,0.15
32,0.24,0.12,0.18,0.15,0.03,0.15
33,0.24,0.12,0.17,0.15,0.03,0.16
34,0.25,0.11,0.17,0.15,0.03,0.16
35,0.24,0.11,0.18,0.14,0.02,0.16
36,0.24,0.12,0.18,0.15,0.02,0.16
37,0.24,0.12,0.17,0.15,0.02,0.16
38,0.24,0.12,0.17,0.14,0.01,0.15
39,0.24,0.12,0.18,0.14,0.03,0.16
40,0.24,0.12,0.17,0.15,0.03,0.17
41,0.24,0.12,0.18,0.15,0.02,0.16
42,0.24,0.11,0.17,0.15,0.03,0.16
43,0.24,0.11,0.18,0.15,0.03,0.16
44,0.24,0.11,0.17,0.14,0.02,0.16
45,0.24,0.12,0.18,0.15,0.03,0.17
46,0.24,0.12,0.18,0.14,0.03,0.15
47,0.24,0.12,0.18,0.14,0.03,0.17
48,0.24,0.12,0.17,0.15,0.02,0.16
49,0.24,0.12,0.18,0.14,0.02,0.16
50,0.24,0.12,0.17,0.15,0.02,0.16
51,0.24,0.12,0.17,0.15,0.02,0.16
52,0.24,0.12,0.18,0.14,0.02,0.16
53,0.24,0.11,0.17,0.15,0.03,0.16
54,0.24,0.11,0.17,0.15,0.03,0.16
55,0.24,0.11,0.18,0.15,0.02,0.16
56,0.24,0.12,0.18,0.15,0.02,0.16
57,0.23,0.12,0.17,0.15,0.02,0.16
58,0.24,0.12,0.18,0.15,0.03,0.16
59,0.24,0.12,0.18,0.15,0.03,0.16
60,0.24,0.12,0.17,0.16,0.03,0.16
61,0.24,0.12,0.18,0.15,0.03,0.16
62,0.24,0.12,0.17,0.15,0.03,0.16
63,0.25,0.12,0.18,0.15,0.03,0.16
64,0.26,0.13,0.18,0.15,0.03,0.16
65,0.26,0.13,0.18,0.15,0.02,0.16
66,0.26,0.13,0.18,0.15,0.03,0.16
67,0.27,0.15,0.18,0.15,0.02,0.15
68,0.29,0.17,0.18,0.15,0.02,0.16
69,0.31,0.20,0.17,0.15,0.03,0.16
70,0.32,0.23,0.18,0.16,0.03,0.16
71,0.32,0.22,0.18,0.15,0.03,0.16
72,0.34,0.20,0.18,0.15,0.02,0.16
73,0.33,0.18,0.18,0.16,0.03,0.16
74,0.32,0.17,0.18,0.16,0.02,0.16
75,0.31,0.17,0.18,0.17,0.03,0.16
76,0.32,0.19,0.18,0.16,0.02,0.16
77,0.32,0.21,0.18,0.16,0.02,0.16
78,0.33,0.21,0.18,0.15,0.03,0.17
79,0.35,0.22,0.18,0.16,0.02,0.16
80,0.35,0.24,0.18,0.16,0.03,0.16
81,0.35,0.24,0.18,0.16,0.02,0.16
82,0.35,0.25,0.19,0.17,0.03,0.16
83,0.34,0.23,0.18,0.16,0.03,0.16
84,0.33,0.21,0.18,0.16,0.02,0.16
85,0.32,0.20,0.18,0.15,0.03,0.16
86,0.31,0.19,0.18,0.16,0.02,0.16
87,0.31,0.19,0.18,0.16,0.03,0.16
88,0.31,0.19,0.18,0.16,0.02,0.16
89,0.31,0.17,0.18,0.16,0.02,0.16
90,0.30,0.18,0.18,0.16,0.02,0.16
91,0.31,0.18,0.18,0.16,0.02,0.16
92,0.31,0.19,0.18,0.16,0.02,0.16
93,0.31,0.20,0.19,0.15,0.03,0.17
94,0.32,0.21,0.19,0.16,0.02,0.16
95,0.32,0.21,0.18,0.16,0.02,0.16
96,0.32,0.21,0.18,0.16,0.02,0.16
97,0.32,0.20,0.18,0.16,0.04,0.16
98,0.33,0.21,0.18,0.17,0.02,0.16
99,0.33,0.20,0.18,0.17,0.02,0.17
100,0.32,0.20,0.18,0.17,0.02,0.17
101,0.31,0.20,0.18,0.18,0.03,0.17
102,0.32,0.19,0.19,0.17,0.02,0.18
103,0.31,0.19,0.18,0.17,0.02,0.17
104,0.31,0.19,0.18,0.18,0.02,0.16
105,0.31,0.19,0.18,0.18,0.03,0.17
106,0.31,0.19,0.18,0.18,0.02,0.17
107,0.30,0.19,0.18,0.18,0.02,0.16
108,0.31,0.20,0.18,0.18,0.03,0.17
109,0.31,0.21,0.18,0.19,0.03,0.17
110,0.32,0.20,0.18,0.19,0.03,0.18
111,0.32,0.20,0.19,0.19,0.02,0.17
112,0.32,0.19,0.18,0.19,0.03,0.17
113,0.32,0.19,0.19,0.19,0.03,0.18
114,0.32,0.18,0.18,0.18,0.03,0.17
115,0.31,0.18,0.18,0.19,0.02,0.17
116,0.31,0.18,0.18,0.18,0.03,0.17
117,0.31,0.18,0.18,0.18,0.02,0.17
118,0.31,0.18,0.18,0.19,0.03,0.17
119,0.30,0.17,0.18,0.19,0.03,0.17
120,0.30,0.17,0.18,0.19,0.02,0.17
121,0.30,0.17,0.18,0.19,0.02,0.18
