,volt,co,h2,lpg,ch4,alcohol
1,0.23,0.797,0.6,0.085,0.196,1.212
2,0.25,0.906,0.681,0.142,0.405,2.285
3,0.25,0.906,0.681,0.142,0.405,2.285
4,0.24,0.85,0.64,0.11,0.284,1.675
5,0.24,0.85,0.64,0.11,0.284,1.675
6,0.24,0.85,0.64,0.11,0.284,1.675
7,0.24,0.85,0.64,0.11,0.284,1.675
8,0.23,0.797,0.6,0.085,0.196,1.212
9,0.24,0.85,0.64,0.11,0.284,1.675
10,0.24,0.85,0.64,0.11,0.284,1.675
11,0.24,0.85,0.64,0.11,0.284,1.675
12,0.24,0.85,0.64,0.11,0.284,1.675
13,0.24,0.85,0.64,0.11,0.284,1.675
14,0.24,0.85,0.64,0.11,0.284,1.675
15,0.24,0.85,0.64,0.11,0.284,1.675
16,0.23,0.797,0.6,0.085,0.196,1.212
17,0.24,0.85,0.64,0.11,0.284,1.675
18,0.24,0.85,0.64,0.11,0.284,1.675
19,0.24,0.85,0.64,0.11,0.284,1.675
20,0.24,0.85,0.64,0.11,0.284,1.675
21,0.24,0.85,0.64,0.11,0.284,1.675
22,0.24,0.85,0.64,0.11,0.284,1.675
23,0.25,0.906,0.681,0.142,0.405,2.285
24,0.24,0.85,0.64,0.11,0.284,1.675
25,0.24,0.85,0.64,0.11,0.284,1.675
26,0.25,0.906,0.681,0.142,0.405,2.285
27,0.24,0.85,0.64,0.11,0.284,1.675
28,0.24,0.85,0.64,0.11,0.284,1.675
29,0.24,0.85,0.64,0.11,0.284,1.675
30,0.25,0.906,0.681,0.142,0.405,2.285
31,0.25,0.906,0.681,0.142,0.405,2.285
32,0.24,0.85,0.64,0.11,0.284,1.675
33,0.24,0.85,0.64,0.11,0.284,1.675
34,0.25,0.906,0.681,0.142,0.405,2.285
35,0.24,0.85,0.64,0.11,0.284,1.675
36,0.24,0.85,0.64,0.11,0.284,1.675
37,0.24,0.85,0.64,0.11,0.284,1.675
38,0.24,0.85,0.64,0.11,0.284,1.675
39,0.24,0.85,0.64,0.11,0.284,1.675
40,0.24,0.85,0.64,0.11,0.284,1.675
41,0.24,0.85,0.64,0.11,0.284,1.675
42,0.24,0.85,0.64,0.11,0.284,1.675
43,0.24,0.85,0.64,0.11,0.284,1.675
44,0.24,0.85,0.64,0.11,0.284,1.675
45,0.24,0.85,0.64,0.11,0.284,1.675
46,0.24,0.85,0.64,0.11,0.284,1.675
47,0.24,0.85,0.64,0.11,0.284,1.675
48,0.24,0.85,0.64,0.11,0.284,1.675
49,0.24,0.85,0.64,0.11,0.284,1.675
50,0.24,0.85,0.64,0.11,0.284,1.675
51,0.24,0.85,0.64,0.11,0.284,1.675
52,0.24,0.85,0.64,0.11,0.284,1.675
53,0.24,0.85,0.64,0.11,0.284,1.675
54,0.24,0.85,0.64,0.11,0.284,1.675
55,0.24,0.85,0.64,0.11,0.284,1.675
56,0.24,0.85,0.64,0.11,0.284,1.675
57,0.23,0.797,0.6,0.085,0.196,1.212
58,0.24,0.85,0.64,0.11,0.284,1.675
59,0.24,0.85,0.64,0.11,0.284,1.675
60,0.24,0.85,0.64,0.11,0.284,1.675
61,0.24,0.85,0.64,0.11,0.284,1.675
62,0.24,0.85,0.64,0.11,0.284,1.675
63,0.25,0.906,0.681,0.142,0.405,2.285
64,0.26,0.962,0.723,0.18,0.571,3.081
65,0.26,0.962,0.723,0.18,0.571,3.081
66,0.26,0.962,0.723,0.18,0.571,3.081
67,0.27,1.02,0.766,0.227,0.793,4.111
68,0.29,1.14,0.855,0.351,1.484,7.111
69,0.31,1.264,0.947,0.53,2.669,11.882
70,0.32,1.329,0.995,0.644,3.532,15.185
71,0.32,1.329,0.995,0.644,3.532,15.185
72,0.34,1.461,1.093,0.938,6.043,24.289
73,0.33,1.394,1.044,0.78,4.638,19.268
74,0.32,1.329,0.995,0.644,3.532,15.185
75,0.31,1.264,0.947,0.53,2.669,11.882
76,0.32,1.329,0.995,0.644,3.532,15.185
77,0.32,1.329,0.995,0.644,3.532,15.185
78,0.33,1.394,1.044,0.78,4.638,19.268
79,0.35,1.53,1.143,1.124,7.818,30.429
