,volt,co,h2,lpg,ch4,alcohol
0,0.11,0.802,0.604,0.088,0.205,1.256
1,0.12,0.914,0.687,0.147,0.427,2.393
2,0.12,0.914,0.687,0.147,0.427,2.393
3,0.11,0.802,0.604,0.088,0.205,1.256
4,0.11,0.802,0.604,0.088,0.205,1.256
5,0.12,0.914,0.687,0.147,0.427,2.393
6,0.11,0.802,0.604,0.088,0.205,1.256
7,0.11,0.802,0.604,0.088,0.205,1.256
8,0.12,0.914,0.687,0.147,0.427,2.393
9,0.12,0.914,0.687,0.147,0.427,2.393
10,0.12,0.914,0.687,0.147,0.427,2.393
11,0.11,0.802,0.604,0.088,0.205,1.256
12,0.11,0.802,0.604,0.088,0.205,1.256
13,0.11,0.802,0.604,0.088,0.205,1.256
14,0.11,0.802,0.604,0.088,0.205,1.256
15,0.11,0.802,0.604,0.088,0.205,1.256
16,0.12,0.914,0.687,0.147,0.427,2.393
17,0.11,0.802,0.604,0.088,0.205,1.256
18,0.12,0.914,0.687,0.147,0.427,2.393
19,0.11,0.802,0.604,0.088,0.205,1.256
20,0.11,0.802,0.604,0.088,0.205,1.256
21,0.12,0.914,0.687,0.147,0.427,2.393
22,0.11,0.802,0.604,0.088,0.205,1.256
23,0.12,0.914,0.687,0.147,0.427,2.393
24,0.12,0.914,0.687,0.147,0.427,2.393
25,0.12,0.914,0.687,0.147,0.427,2.393
26,0.11,0.802,0.604,0.088,0.205,1.256
27,0.12,0.914,0.687,0.147,0.427,2.393
28,0.11,0.802,0.604,0.088,0.205,1.256
29,0.11,0.802,0.604,0.088,0.205,1.256
30,0.12,0.914,0.687,0.147,0.427,2.393
31,0.11,0.802,0.604,0.088,0.205,1.256
32,0.12,0.914,0.687,0.147,0.427,2.393
33,0.12,0.914,0.687,0.147,0.427,2.393
34,0.11,0.802,0.604,0.088,0.205,1.256
35,0.12,0.914,0.687,0.147,0.427,2.393
36,0.11,0.802,0.604,0.088,0.205,1.256
37,0.12,0.914,0.687,0.147,0.427,2.393
38,0.12,0.914,0.687,0.147,0.427,2.393
39,0.11,0.802,0.604,0.088,0.205,1.256
40,0.12,0.914,0.687,0.147,0.427,2.393
41,0.11,0.802,0.604,0.088,0.205,1.256
42,0.11,0.802,0.604,0.088,0.205,1.256
43,0.11,0.802,0.604,0.088,0.205,1.256
44,0.11,0.802,0.604,0.088,0.205,1.256
45,0.11,0.802,0.604,0.088,0.205,1.256
46,0.11,0.802,0.604,0.088,0.205,1.256
47,0.12,0.914,0.687,0.147,0.427,2.393
48,0.12,0.914,0.687,0.147,0.427,2.393
49,0.12,0.914,0.687,0.147,0.427,2.393
50,0.11,0.802,0.604,0.088,0.205,1.256
51,0.11,0.802,0.604,0.088,0.205,1.256
52,0.12,0.914,0.687,0.147,0.427,2.393
53,0.11,0.802,0.604,0.088,0.205,1.256
54,0.12,0.914,0.687,0.147,0.427,2.393
55,0.11,0.802,0.604,0.088,0.205,1.256
56,0.12,0.914,0.687,0.147,0.427,2.393
57,0.11,0.802,0.604,0.088,0.205,1.256
58,0.12,0.914,0.687,0.147,0.427,2.393
59,0.11,0.802,0.604,0.088,0.205,1.256
60,0.12,0.914,0.687,0.147,0.427,2.393
61,0.12,0.914,0.687,0.147,0.427,2.393
62,0.11,0.802,0.604,0.088,0.205,1.256
63,0.12,0.914,0.687,0.147,0.427,2.393
64,0.12,0.914,0.687,0.147,0.427,2.393
65,0.12,0.914,0.687,0.147,0.427,2.393
66,0.12,0.914,0.687,0.147,0.427,2.393
67,0.11,0.802,0.604,0.088,0.205,1.256
68,0.12,0.914,0.687,0.147,0.427,2.393
69,0.11,0.802,0.604,0.088,0.205,1.256
70,0.11,0.802,0.604,0.088,0.205,1.256
71,0.12,0.914,0.687,0.147,0.427,2.393
72,0.12,0.914,0.687,0.147,0.427,2.393
73,0.11,0.802,0.604,0.088,0.205,1.256
74,0.11,0.802,0.604,0.088,0.205,1.256
75,0.12,0.914,0.687,0.147,0.427,2.393
76,0.12,0.914,0.687,0.147,0.427,2.393
77,0.12,0.914,0.687,0.147,0.427,2.393
78,0.12,0.914,0.687,0.147,0.427,2.393
79,0.11,0.802,0.604,0.088,0.205,1.256
80,0.12,0.914,0.687,0.147,0.427,2.393
81,0.11,0.802,0.604,0.088,0.205,1.256
82,0.11,0.802,0.604,0.088,0.205,1.256
83,0.12,0.914,0.687,0.147,0.427,2.393
84,0.12,0.914,0.687,0.147,0.427,2.393
85,0.12,0.914,0.687,0.147,0.427,2.393
86,0.12,0.914,0.687,0.147,0.427,2.393
87,0.12,0.914,0.687,0.147,0.427,2.393
88,0.12,0.914,0.687,0.147,0.427,2.393
89,0.12,0.914,0.687,0.147,0.427,2.393
90,0.12,0.914,0.687,0.147,0.427,2.393
91,0.11,0.802,0.604,0.088,0.205,1.256
92,0.11,0.802,0.604,0.088,0.205,1.256
93,0.11,0.802,0.604,0.088,0.205,1.256
94,0.11,0.802,0.604,0.088,0.205,1.256
95,0.11,0.802,0.604,0.088,0.205,1.256
96,0.12,0.914,0.687,0.147,0.427,2.393
97,0.11,0.802,0.604,0.088,0.205,1.256
98,0.11,0.802,0.604,0.088,0.205,1.256
99,0.11,0.802,0.604,0.088,0.205,1.256
100,0.12,0.914,0.687,0.147,0.427,2.393
101,0.12,0.914,0.687,0.147,0.427,2.393
102,0.12,0.914,0.687,0.147,0.427,2.393
103,0.11,0.802,0.604,0.088,0.205,1.256
104,0.12,0.914,0.687,0.147,0.427,2.393
105,0.12,0.914,0.687,0.147,0.427,2.393
106,0.11,0.802,0.604,0.088,0.205,1.256
107,0.12,0.914,0.687,0.147,0.427,2.393
108,0.12,0.914,0.687,0.147,0.427,2.393
109,0.11,0.802,0.604,0.088,0.205,1.256
110,0.11,0.802,0.604,0.088,0.205,1.256
111,0.12,0.914,0.687,0.147,0.427,2.393
112,0.11,0.802,0.604,0.088,0.205,1.256
113,0.11,0.802,0.604,0.088,0.205,1.256
114,0.11,0.802,0.604,0.088,0.205,1.256
115,0.12,0.914,0.687,0.147,0.427,2.393
116,0.12,0.914,0.687,0.147,0.427,2.393
117,0.11,0.802,0.604,0.088,0.205,1.256
118,0.11,0.802,0.604,0.088,0.205,1.256
119,0.12,0.914,0.687,0.147,0.427,2.393
120,0.12,0.914,0.687,0.147,0.427,2.393
121,0.12,0.914,0.687,0.147,0.427,2.393
122,0.11,0.802,0.604,0.088,0.205,1.256
123,0.12,0.914,0.687,0.147,0.427,2.393
124,0.12,0.914,0.687,0.147,0.427,2.393
125,0.11,0.802,0.604,0.088,0.205,1.256
126,0.11,0.802,0.604,0.088,0.205,1.256
127,0.11,0.802,0.604,0.088,0.205,1.256
128,0.11,0.802,0.604,0.088,0.205,1.256
129,0.11,0.802,0.604,0.088,0.205,1.256
130,0.12,0.914,0.687,0.147,0.427,2.393
131,0.11,0.802,0.604,0.088,0.205,1.256
132,0.12,0.914,0.687,0.147,0.427,2.393
133,0.11,0.802,0.604,0.088,0.205,1.256
134,0.12,0.914,0.687,0.147,0.427,2.393
135,0.11,0.802,0.604,0.088,0.205,1.256
136,0.12,0.914,0.687,0.147,0.427,2.393
137,0.11,0.802,0.604,0.088,0.205,1.256
138,0.11,0.802,0.604,0.088,0.205,1.256
139,0.12,0.914,0.687,0.147,0.427,2.393
140,0.12,0.914,0.687,0.147,0.427,2.393
141,0.12,0.914,0.687,0.147,0.427,2.393
142,0.11,0.802,0.604,0.088,0.205,1.256
143,0.12,0.914,0.687,0.147,0.427,2.393
144,0.12,0.914,0.687,0.147,0.427,2.393
145,0.11,0.802,0.604,0.088,0.205,1.256
146,0.12,0.914,0.687,0.147,0.427,2.393
147,0.11,0.802,0.604,0.088,0.205,1.256
148,0.12,0.914,0.687,0.147,0.427,2.393
149,0.12,0.914,0.687,0.147,0.427,2.393
150,0.11,0.802,0.604,0.088,0.205,1.256
151,0.12,0.914,0.687,0.147,0.427,2.393
152,0.12,0.914,0.687,0.147,0.427,2.393
153,0.12,0.914,0.687,0.147,0.427,2.393
154,0.12,0.914,0.687,0.147,0.427,2.393
155,0.11,0.802,0.604,0.088,0.205,1.256
156,0.12,0.914,0.687,0.147,0.427,2.393
157,0.12,0.914,0.687,0.147,0.427,2.393
158,0.12,0.914,0.687,0.147,0.427,2.393
159,0.11,0.802,0.604,0.088,0.205,1.256
160,0.11,0.802,0.604,0.088,0.205,1.256
161,0.12,0.914,0.687,0.147,0.427,2.393
162,0.11,0.802,0.604,0.088,0.205,1.256
163,0.11,0.802,0.604,0.088,0.205,1.256
164,0.12,0.914,0.687,0.147,0.427,2.393
165,0.12,0.914,0.687,0.147,0.427,2.393
166,0.12,0.914,0.687,0.147,0.427,2.393
167,0.12,0.914,0.687,0.147,0.427,2.393
168,0.11,0.802,0.604,0.088,0.205,1.256
169,0.1,0.696,0.525,0.05,0.091,0.621
170,0.12,0.914,0.687,0.147,0.427,2.393
171,0.12,0.914,0.687,0.147,0.427,2.393
172,0.12,0.914,0.687,0.147,0.427,2.393
173,0.12,0.914,0.687,0.147,0.427,2.393
174,0.12,0.914,0.687,0.147,0.427,2.393
175,0.12,0.914,0.687,0.147,0.427,2.393
176,0.12,0.914,0.687,0.147,0.427,2.393
177,0.12,0.914,0.687,0.147,0.427,2.393
178,0.13,1.031,0.774,0.236,0.843,4.334
179,0.12,0.914,0.687,0.147,0.427,2.393
180,0.12,0.914,0.687,0.147,0.427,2.393
181,0.12,0.914,0.687,0.147,0.427,2.393
182,0.13,1.031,0.774,0.236,0.843,4.334
183,0.13,1.031,0.774,0.236,0.843,4.334
184,0.12,0.914,0.687,0.147,0.427,2.393
185,0.12,0.914,0.687,0.147,0.427,2.393
186,0.12,0.914,0.687,0.147,0.427,2.393
187,0.12,0.914,0.687,0.147,0.427,2.393
188,0.12,0.914,0.687,0.147,0.427,2.393
189,0.13,1.031,0.774,0.236,0.843,4.334
190,0.11,0.802,0.604,0.088,0.205,1.256
191,0.13,1.031,0.774,0.236,0.843,4.334
192,0.12,0.914,0.687,0.147,0.427,2.393
193,0.13,1.031,0.774,0.236,0.843,4.334
194,0.12,0.914,0.687,0.147,0.427,2.393
195,0.12,0.914,0.687,0.147,0.427,2.393
196,0.13,1.031,0.774,0.236,0.843,4.334
197,0.12,0.914,0.687,0.147,0.427,2.393
198,0.13,1.031,0.774,0.236,0.843,4.334
199,0.12,0.914,0.687,0.147,0.427,2.393
200,0.13,1.031,0.774,0.236,0.843,4.334
201,0.12,0.914,0.687,0.147,0.427,2.393
202,0.13,1.031,0.774,0.236,0.843,4.334
203,0.12,0.914,0.687,0.147,0.427,2.393
204,0.12,0.914,0.687,0.147,0.427,2.393
205,0.12,0.914,0.687,0.147,0.427,2.393
206,0.12,0.914,0.687,0.147,0.427,2.393
207,0.12,0.914,0.687,0.147,0.427,2.393
208,0.12,0.914,0.687,0.147,0.427,2.393
209,0.12,0.914,0.687,0.147,0.427,2.393
210,0.13,1.031,0.774,0.236,0.843,4.334
211,0.13,1.031,0.774,0.236,0.843,4.334
212,0.13,1.031,0.774,0.236,0.843,4.334
213,0.12,0.914,0.687,0.147,0.427,2.393
214,0.13,1.031,0.774,0.236,0.843,4.334
215,0.13,1.031,0.774,0.236,0.843,4.334
216,0.13,1.031,0.774,0.236,0.843,4.334
217,0.13,1.031,0.774,0.236,0.843,4.334
218,0.12,0.914,0.687,0.147,0.427,2.393
219,0.13,1.031,0.774,0.236,0.843,4.334
220,0.13,1.031,0.774,0.236,0.843,4.334
221,0.13,1.031,0.774,0.236,0.843,4.334
222,0.13,1.031,0.774,0.236,0.843,4.334
223,0.13,1.031,0.774,0.236,0.843,4.334
224,0.13,1.031,0.774,0.236,0.843,4.334
225,0.12,0.914,0.687,0.147,0.427,2.393
226,0.12,0.914,0.687,0.147,0.427,2.393
227,0.12,0.914,0.687,0.147,0.427,2.393
228,0.12,0.914,0.687,0.147,0.427,2.393
