,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
1,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
2,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
3,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
4,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
5,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
6,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
7,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
8,0.03,58.979,32.701,114.228,615.513,99.89,162.423,39.866
9,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
10,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
11,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
12,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
13,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
14,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
15,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
16,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
17,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
18,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
19,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
20,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
23,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
24,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
25,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
26,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
27,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
28,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
29,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
