,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
1,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
2,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
3,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
4,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
5,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
6,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
7,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
8,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
9,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
10,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
11,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
12,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
13,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
14,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
15,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
16,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
17,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
18,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
19,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
20,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
21,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
22,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
23,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
24,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
25,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
26,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
27,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
28,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
29,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
30,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
31,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
32,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
33,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
34,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
35,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
36,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
37,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
38,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
39,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
40,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
41,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
42,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
43,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
44,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
45,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
46,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
47,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
48,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
49,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
50,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
51,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
52,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
53,0.11,4.811,2.558,3.348,12.376,4.068,7.817,3.488
54,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
55,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
56,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
57,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
58,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
59,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
60,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
61,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
62,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
63,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
64,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
65,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
66,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
67,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
68,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
69,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
70,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
71,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
72,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
73,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
74,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
75,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
76,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
77,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
78,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
79,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
80,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
81,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
82,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
83,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
84,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
85,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
86,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
87,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
88,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
89,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
90,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
91,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
92,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
93,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
94,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
95,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
96,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
97,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
98,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
99,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
100,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
101,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
102,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
103,0.14,8.178,4.388,7.069,28.437,8.011,14.86,5.843
104,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
105,0.11,4.811,2.558,3.348,12.376,4.068,7.817,3.488
106,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
107,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
108,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
109,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
110,0.11,4.811,2.558,3.348,12.376,4.068,7.817,3.488
111,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
112,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
113,0.12,5.824,3.107,4.382,16.698,5.192,9.852,4.2
114,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
115,0.13,6.945,3.716,5.616,22.009,6.502,12.193,4.984
116,0.15,9.525,5.124,8.763,36.115,9.733,17.872,6.776
