,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
1,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
2,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
3,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
4,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
5,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
6,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
7,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
10,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
11,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
12,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
13,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
14,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
15,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
16,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
17,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
18,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
19,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
20,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
21,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
22,0.03,58.979,32.701,114.228,615.513,99.89,162.423,39.866
23,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
24,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
25,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
26,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
27,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
28,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
29,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
30,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
31,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
32,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
33,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
34,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
35,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
36,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
37,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
38,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
39,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
40,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
41,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
42,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
43,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
44,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
45,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
46,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
47,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
48,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
51,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
52,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
53,0.03,58.979,32.701,114.228,615.513,99.89,162.423,39.866
54,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
55,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
56,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
57,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
58,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
59,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
60,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
61,0.03,58.979,32.701,114.228,615.513,99.89,162.423,39.866
62,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
65,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
66,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
67,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
68,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
69,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
70,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
71,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
72,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
73,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
74,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
75,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
76,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
77,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
78,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
79,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
80,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
81,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
82,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
83,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
84,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
85,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
86,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
87,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
88,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
89,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
