,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
1,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
2,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
3,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
4,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
5,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
6,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
7,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
8,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
9,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
10,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
11,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
12,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
13,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
14,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
15,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
16,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
17,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
18,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
19,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
20,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
21,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
22,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
23,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
24,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
25,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
26,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
27,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
28,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
29,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
30,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
31,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
32,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
33,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
34,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
35,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
36,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
37,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
38,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
39,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
40,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
41,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
42,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
43,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
44,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
45,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
46,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
47,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
48,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
49,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
50,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
51,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
52,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
53,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
54,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
55,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
56,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
57,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
58,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
59,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
60,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
61,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
62,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
63,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
64,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
65,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
66,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
67,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
68,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
69,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
70,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
71,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
72,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
73,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
74,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
75,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
76,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
77,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
78,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
79,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
80,1.03,6.449,3.447,5.059,19.594,5.914,11.146,4.638
81,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
82,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
83,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
84,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
85,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
86,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
87,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
88,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
89,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
90,1.04,6.62,3.539,5.249,20.414,6.115,11.505,4.757
91,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
92,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
93,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
94,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
95,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
96,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
97,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
98,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
99,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
100,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
101,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
102,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
103,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
104,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
105,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
106,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
107,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
108,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
109,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
110,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
111,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
112,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
113,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
114,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
115,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
116,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
117,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
118,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
119,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
120,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
121,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
122,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
123,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
124,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
125,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
126,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
127,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
128,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
129,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
130,1.05,6.794,3.634,5.444,21.262,6.321,11.872,4.879
131,1.06,6.971,3.731,5.646,22.138,6.533,12.248,5.002
132,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
133,1.08,7.336,3.929,6.066,23.982,6.973,13.029,5.257
134,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
135,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
136,1.08,7.336,3.929,6.066,23.982,6.973,13.029,5.257
137,1.07,7.152,3.829,5.853,23.045,6.75,12.634,5.129
