,volt,co,h2,lpg,ch4,alcohol
0,0.11,0.802,0.604,0.088,0.205,1.256
1,0.11,0.802,0.604,0.088,0.205,1.256
2,0.12,0.914,0.687,0.147,0.427,2.393
3,0.12,0.914,0.687,0.147,0.427,2.393
4,0.12,0.914,0.687,0.147,0.427,2.393
5,0.12,0.914,0.687,0.147,0.427,2.393
6,0.12,0.914,0.687,0.147,0.427,2.393
7,0.12,0.914,0.687,0.147,0.427,2.393
8,0.12,0.914,0.687,0.147,0.427,2.393
9,0.12,0.914,0.687,0.147,0.427,2.393
10,0.11,0.802,0.604,0.088,0.205,1.256
11,0.11,0.802,0.604,0.088,0.205,1.256
12,0.12,0.914,0.687,0.147,0.427,2.393
13,0.11,0.802,0.604,0.088,0.205,1.256
14,0.12,0.914,0.687,0.147,0.427,2.393
15,0.12,0.914,0.687,0.147,0.427,2.393
16,0.12,0.914,0.687,0.147,0.427,2.393
17,0.12,0.914,0.687,0.147,0.427,2.393
18,0.12,0.914,0.687,0.147,0.427,2.393
19,0.11,0.802,0.604,0.088,0.205,1.256
20,0.12,0.914,0.687,0.147,0.427,2.393
21,0.12,0.914,0.687,0.147,0.427,2.393
22,0.11,0.802,0.604,0.088,0.205,1.256
23,0.12,0.914,0.687,0.147,0.427,2.393
24,0.12,0.914,0.687,0.147,0.427,2.393
25,0.11,0.802,0.604,0.088,0.205,1.256
26,0.12,0.914,0.687,0.147,0.427,2.393
27,0.13,1.031,0.774,0.236,0.843,4.334
28,0.11,0.802,0.604,0.088,0.205,1.256
29,0.11,0.802,0.604,0.088,0.205,1.256
30,0.12,0.914,0.687,0.147,0.427,2.393
31,0.12,0.914,0.687,0.147,0.427,2.393
32,0.12,0.914,0.687,0.147,0.427,2.393
33,0.12,0.914,0.687,0.147,0.427,2.393
34,0.11,0.802,0.604,0.088,0.205,1.256
35,0.12,0.914,0.687,0.147,0.427,2.393
36,0.11,0.802,0.604,0.088,0.205,1.256
37,0.12,0.914,0.687,0.147,0.427,2.393
38,0.12,0.914,0.687,0.147,0.427,2.393
39,0.12,0.914,0.687,0.147,0.427,2.393
40,0.12,0.914,0.687,0.147,0.427,2.393
41,0.12,0.914,0.687,0.147,0.427,2.393
42,0.11,0.802,0.604,0.088,0.205,1.256
43,0.11,0.802,0.604,0.088,0.205,1.256
44,0.12,0.914,0.687,0.147,0.427,2.393
45,0.12,0.914,0.687,0.147,0.427,2.393
46,0.12,0.914,0.687,0.147,0.427,2.393
47,0.12,0.914,0.687,0.147,0.427,2.393
48,0.11,0.802,0.604,0.088,0.205,1.256
49,0.12,0.914,0.687,0.147,0.427,2.393
50,0.12,0.914,0.687,0.147,0.427,2.393
51,0.12,0.914,0.687,0.147,0.427,2.393
52,0.11,0.802,0.604,0.088,0.205,1.256
53,0.11,0.802,0.604,0.088,0.205,1.256
54,0.11,0.802,0.604,0.088,0.205,1.256
55,0.11,0.802,0.604,0.088,0.205,1.256
56,0.12,0.914,0.687,0.147,0.427,2.393
57,0.11,0.802,0.604,0.088,0.205,1.256
58,0.12,0.914,0.687,0.147,0.427,2.393
59,0.12,0.914,0.687,0.147,0.427,2.393
60,0.11,0.802,0.604,0.088,0.205,1.256
61,0.12,0.914,0.687,0.147,0.427,2.393
62,0.12,0.914,0.687,0.147,0.427,2.393
63,0.12,0.914,0.687,0.147,0.427,2.393
64,0.11,0.802,0.604,0.088,0.205,1.256
65,0.12,0.914,0.687,0.147,0.427,2.393
66,0.12,0.914,0.687,0.147,0.427,2.393
67,0.11,0.802,0.604,0.088,0.205,1.256
68,0.11,0.802,0.604,0.088,0.205,1.256
69,0.12,0.914,0.687,0.147,0.427,2.393
70,0.11,0.802,0.604,0.088,0.205,1.256
71,0.12,0.914,0.687,0.147,0.427,2.393
72,0.12,0.914,0.687,0.147,0.427,2.393
73,0.12,0.914,0.687,0.147,0.427,2.393
74,0.12,0.914,0.687,0.147,0.427,2.393
