,volt,lpg,co,ch4
0,0.03,0.051,0.012,0.068
1,0.02,0.006,0.001,0.003
2,0.03,0.051,0.012,0.068
3,0.02,0.006,0.001,0.003
4,0.02,0.006,0.001,0.003
5,0.03,0.051,0.012,0.068
6,0.03,0.051,0.012,0.068
7,0.02,0.006,0.001,0.003
8,0.03,0.051,0.012,0.068
9,0.03,0.051,0.012,0.068
10,0.02,0.006,0.001,0.003
11,0.03,0.051,0.012,0.068
12,0.03,0.051,0.012,0.068
13,0.03,0.051,0.012,0.068
14,0.03,0.051,0.012,0.068
15,0.02,0.006,0.001,0.003
16,0.02,0.006,0.001,0.003
17,0.03,0.051,0.012,0.068
18,0.02,0.006,0.001,0.003
19,0.03,0.051,0.012,0.068
20,0.03,0.051,0.012,0.068
21,0.02,0.006,0.001,0.003
22,0.03,0.051,0.012,0.068
23,0.02,0.006,0.001,0.003
24,0.03,0.051,0.012,0.068
25,0.03,0.051,0.012,0.068
26,0.03,0.051,0.012,0.068
27,0.02,0.006,0.001,0.003
28,0.03,0.051,0.012,0.068
29,0.02,0.006,0.001,0.003
30,0.03,0.051,0.012,0.068
31,0.03,0.051,0.012,0.068
32,0.03,0.051,0.012,0.068
33,0.03,0.051,0.012,0.068
34,0.03,0.051,0.012,0.068
35,0.03,0.051,0.012,0.068
36,0.03,0.051,0.012,0.068
37,0.02,0.006,0.001,0.003
38,0.03,0.051,0.012,0.068
39,0.02,0.006,0.001,0.003
40,0.03,0.051,0.012,0.068
41,0.03,0.051,0.012,0.068
42,0.03,0.051,0.012,0.068
43,0.03,0.051,0.012,0.068
44,0.03,0.051,0.012,0.068
45,0.03,0.051,0.012,0.068
46,0.02,0.006,0.001,0.003
47,0.03,0.051,0.012,0.068
48,0.03,0.051,0.012,0.068
49,0.02,0.006,0.001,0.003
50,0.03,0.051,0.012,0.068
51,0.03,0.051,0.012,0.068
52,0.02,0.006,0.001,0.003
53,0.03,0.051,0.012,0.068
54,0.03,0.051,0.012,0.068
55,0.03,0.051,0.012,0.068
56,0.03,0.051,0.012,0.068
57,0.03,0.051,0.012,0.068
58,0.03,0.051,0.012,0.068
59,0.02,0.006,0.001,0.003
60,0.02,0.006,0.001,0.003
61,0.03,0.051,0.012,0.068
62,0.03,0.051,0.012,0.068
63,0.02,0.006,0.001,0.003
64,0.02,0.006,0.001,0.003
65,0.03,0.051,0.012,0.068
66,0.02,0.006,0.001,0.003
67,0.03,0.051,0.012,0.068
68,0.02,0.006,0.001,0.003
69,0.02,0.006,0.001,0.003
70,0.03,0.051,0.012,0.068
71,0.03,0.051,0.012,0.068
72,0.03,0.051,0.012,0.068
73,0.02,0.006,0.001,0.003
74,0.02,0.006,0.001,0.003
75,0.03,0.051,0.012,0.068
76,0.03,0.051,0.012,0.068
77,0.02,0.006,0.001,0.003
78,0.03,0.051,0.012,0.068
79,0.03,0.051,0.012,0.068
80,0.03,0.051,0.012,0.068
81,0.03,0.051,0.012,0.068
82,0.02,0.006,0.001,0.003
83,0.03,0.051,0.012,0.068
84,0.03,0.051,0.012,0.068
85,0.03,0.051,0.012,0.068
86,0.03,0.051,0.012,0.068
87,0.02,0.006,0.001,0.003
88,0.03,0.051,0.012,0.068
89,0.02,0.006,0.001,0.003
90,0.03,0.051,0.012,0.068
91,0.02,0.006,0.001,0.003
92,0.03,0.051,0.012,0.068
93,0.02,0.006,0.001,0.003
94,0.02,0.006,0.001,0.003
95,0.03,0.051,0.012,0.068
96,0.03,0.051,0.012,0.068
97,0.02,0.006,0.001,0.003
98,0.03,0.051,0.012,0.068
99,0.03,0.051,0.012,0.068
100,0.03,0.051,0.012,0.068
101,0.03,0.051,0.012,0.068
102,0.02,0.006,0.001,0.003
103,0.03,0.051,0.012,0.068
104,0.03,0.051,0.012,0.068
105,0.02,0.006,0.001,0.003
106,0.03,0.051,0.012,0.068
107,0.03,0.051,0.012,0.068
108,0.02,0.006,0.001,0.003
109,0.02,0.006,0.001,0.003
110,0.03,0.051,0.012,0.068
111,0.03,0.051,0.012,0.068
112,0.02,0.006,0.001,0.003
113,0.02,0.006,0.001,0.003
114,0.03,0.051,0.012,0.068
115,0.03,0.051,0.012,0.068
116,0.01,0.0,0.0,0.0
117,0.03,0.051,0.012,0.068
118,0.02,0.006,0.001,0.003
119,0.04,0.243,0.058,0.589
120,0.03,0.051,0.012,0.068
121,0.03,0.051,0.012,0.068
122,0.03,0.051,0.012,0.068
123,0.02,0.006,0.001,0.003
124,0.02,0.006,0.001,0.003
125,0.02,0.006,0.001,0.003
126,0.03,0.051,0.012,0.068
127,0.02,0.006,0.001,0.003
128,0.03,0.051,0.012,0.068
129,0.03,0.051,0.012,0.068
130,0.03,0.051,0.012,0.068
131,0.02,0.006,0.001,0.003
132,0.03,0.051,0.012,0.068
133,0.02,0.006,0.001,0.003
134,0.02,0.006,0.001,0.003
135,0.03,0.051,0.012,0.068
136,0.02,0.006,0.001,0.003
137,0.02,0.006,0.001,0.003
138,0.02,0.006,0.001,0.003
139,0.03,0.051,0.012,0.068
140,0.01,0.0,0.0,0.0
141,0.02,0.006,0.001,0.003
142,0.03,0.051,0.012,0.068
143,0.03,0.051,0.012,0.068
144,0.03,0.051,0.012,0.068
145,0.04,0.243,0.058,0.589
146,0.03,0.051,0.012,0.068
147,0.03,0.051,0.012,0.068
148,0.03,0.051,0.012,0.068
149,0.02,0.006,0.001,0.003
150,0.02,0.006,0.001,0.003
151,0.03,0.051,0.012,0.068
152,0.03,0.051,0.012,0.068
153,0.04,0.243,0.058,0.589
154,0.03,0.051,0.012,0.068
155,0.02,0.006,0.001,0.003
156,0.02,0.006,0.001,0.003
157,0.02,0.006,0.001,0.003
158,0.02,0.006,0.001,0.003
159,0.03,0.051,0.012,0.068
160,0.02,0.006,0.001,0.003
161,0.03,0.051,0.012,0.068
162,0.03,0.051,0.012,0.068
163,0.03,0.051,0.012,0.068
164,0.02,0.006,0.001,0.003
165,0.03,0.051,0.012,0.068
166,0.03,0.051,0.012,0.068
167,0.03,0.051,0.012,0.068
168,0.02,0.006,0.001,0.003
169,0.03,0.051,0.012,0.068
170,0.02,0.006,0.001,0.003
171,0.03,0.051,0.012,0.068
172,0.02,0.006,0.001,0.003
173,0.03,0.051,0.012,0.068
174,0.03,0.051,0.012,0.068
175,0.03,0.051,0.012,0.068
176,0.03,0.051,0.012,0.068
177,0.02,0.006,0.001,0.003
178,0.03,0.051,0.012,0.068
179,0.03,0.051,0.012,0.068
180,0.03,0.051,0.012,0.068
181,0.03,0.051,0.012,0.068
182,0.03,0.051,0.012,0.068
183,0.03,0.051,0.012,0.068
184,0.03,0.051,0.012,0.068
185,0.03,0.051,0.012,0.068
186,0.03,0.051,0.012,0.068
187,0.03,0.051,0.012,0.068
188,0.03,0.051,0.012,0.068
189,0.02,0.006,0.001,0.003
190,0.03,0.051,0.012,0.068
191,0.03,0.051,0.012,0.068
192,0.02,0.006,0.001,0.003
193,0.03,0.051,0.012,0.068
194,0.03,0.051,0.012,0.068
195,0.03,0.051,0.012,0.068
196,0.02,0.006,0.001,0.003
197,0.03,0.051,0.012,0.068
198,0.03,0.051,0.012,0.068
199,0.03,0.051,0.012,0.068
200,0.03,0.051,0.012,0.068
201,0.02,0.006,0.001,0.003
202,0.03,0.051,0.012,0.068
203,0.02,0.006,0.001,0.003
204,0.02,0.006,0.001,0.003
205,0.02,0.006,0.001,0.003
206,0.03,0.051,0.012,0.068
207,0.03,0.051,0.012,0.068
208,0.02,0.006,0.001,0.003
209,0.03,0.051,0.012,0.068
210,0.03,0.051,0.012,0.068
211,0.03,0.051,0.012,0.068
212,0.03,0.051,0.012,0.068
213,0.03,0.051,0.012,0.068
214,0.03,0.051,0.012,0.068
215,0.02,0.006,0.001,0.003
216,0.03,0.051,0.012,0.068
217,0.03,0.051,0.012,0.068
218,0.03,0.051,0.012,0.068
219,0.03,0.051,0.012,0.068
220,0.03,0.051,0.012,0.068
221,0.03,0.051,0.012,0.068
222,0.02,0.006,0.001,0.003
223,0.02,0.006,0.001,0.003
224,0.03,0.051,0.012,0.068
225,0.03,0.051,0.012,0.068
226,0.02,0.006,0.001,0.003
227,0.03,0.051,0.012,0.068
228,0.02,0.006,0.001,0.003
