id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.18,0.57,0.02,1.04,0.13,0.22
2,0.17,0.56,0.02,1.04,0.13,0.23
3,0.18,0.57,0.01,1.03,0.13,0.22
4,0.18,0.57,0.01,1.03,0.14,0.21
5,0.18,0.57,0.01,1.03,0.13,0.23
6,0.18,0.57,0.01,1.03,0.13,0.22
7,0.17,0.56,0.02,1.03,0.13,0.22
8,0.18,0.57,0.02,1.04,0.13,0.22
9,0.18,0.58,0.00,1.03,0.13,0.23
10,0.17,0.57,0.02,1.03,0.12,0.23
11,0.18,0.57,0.02,1.03,0.13,0.22
12,0.18,0.58,0.02,1.03,0.13,0.22
13,0.18,0.56,0.02,1.04,0.13,0.22
14,0.19,0.56,0.01,1.04,0.13,0.22
15,0.19,0.57,0.02,1.03,0.13,0.23
16,0.18,0.57,0.01,1.03,0.13,0.22
17,0.18,0.57,0.01,1.03,0.14,0.22
18,0.18,0.57,0.02,1.03,0.12,0.22
19,0.17,0.57,0.02,1.03,0.13,0.22
20,0.17,0.57,0.02,1.03,0.13,0.22
21,0.18,0.57,0.01,1.03,0.13,0.22
22,0.17,0.57,0.02,1.04,0.13,0.22
23,0.18,0.57,0.03,1.03,0.13,0.22
24,0.18,0.57,0.02,1.03,0.13,0.22
25,0.18,0.57,0.01,1.03,0.13,0.22
26,0.18,0.57,0.02,1.03,0.13,0.22
27,0.18,0.57,0.01,1.03,0.14,0.22
28,0.18,0.57,0.02,1.04,0.13,0.22
29,0.19,0.57,0.02,1.03,0.14,0.22
30,0.18,0.57,0.01,1.03,0.13,0.22
31,0.18,0.57,0.01,1.03,0.13,0.22
32,0.18,0.57,0.01,1.03,0.13,0.23
33,0.18,0.57,0.01,1.03,0.13,0.23
34,0.18,0.57,0.02,1.04,0.12,0.23
35,0.18,0.58,0.01,1.03,0.13,0.22
36,0.18,0.57,0.01,1.03,0.13,0.22
37,0.18,0.57,0.02,1.03,0.13,0.23
38,0.18,0.57,0.02,1.04,0.13,0.22
39,0.17,0.56,0.01,1.02,0.14,0.23
40,0.17,0.57,0.01,1.03,0.13,0.22
41,0.18,0.57,0.02,1.03,0.13,0.22
42,0.18,0.57,0.01,1.03,0.14,0.22
43,0.18,0.57,0.02,1.02,0.13,0.23
44,0.17,0.56,0.02,1.02,0.14,0.22
45,0.18,0.57,0.02,1.03,0.13,0.22
46,0.18,0.57,0.02,1.03,0.13,0.22
47,0.18,0.57,0.01,1.03,0.13,0.22
48,0.18,0.57,0.02,1.03,0.13,0.23
49,0.18,0.57,0.02,1.03,0.13,0.22
50,0.19,0.57,0.00,1.03,0.14,0.23
51,0.18,0.57,0.02,1.03,0.13,0.22
52,0.18,0.57,0.02,1.03,0.13,0.22
53,0.18,0.57,0.01,1.03,0.14,0.24
54,0.18,0.58,0.03,1.03,0.12,0.22
55,0.18,0.57,0.02,1.04,0.13,0.22
56,0.18,0.57,0.01,1.03,0.13,0.22
57,0.18,0.57,0.01,1.03,0.13,0.22
58,0.18,0.57,0.02,1.03,0.13,0.22
59,0.18,0.57,0.02,1.02,0.13,0.22
60,0.17,0.57,0.02,1.03,0.13,0.22
61,0.18,0.57,0.01,1.03,0.13,0.22
62,0.18,0.56,0.03,1.03,0.11,0.22
63,0.18,0.57,0.01,1.04,0.12,0.23
64,0.19,0.57,0.00,1.03,0.13,0.23
65,0.18,0.57,0.02,1.03,0.12,0.24
66,0.18,0.57,0.02,1.03,0.13,0.22
67,0.18,0.57,0.02,1.02,0.13,0.22
68,0.18,0.57,0.01,1.03,0.13,0.22
69,0.18,0.57,0.01,1.03,0.13,0.22
70,0.18,0.57,0.01,1.04,0.14,0.22
71,0.18,0.55,0.02,1.03,0.12,0.22
72,0.18,0.57,0.01,1.03,0.13,0.22
73,0.18,0.57,0.01,1.03,0.13,0.23
74,0.18,0.57,0.02,1.03,0.14,0.22
75,0.18,0.57,0.02,1.03,0.13,0.22
76,0.18,0.58,0.01,1.03,0.14,0.22
77,0.18,0.57,0.01,1.03,0.13,0.22
78,0.18,0.56,0.02,1.03,0.14,0.22
79,0.18,0.57,0.02,1.03,0.13,0.23
80,0.18,0.57,0.01,1.02,0.14,0.23
81,0.18,0.57,0.01,1.03,0.14,0.23
82,0.18,0.57,0.02,1.03,0.12,0.24
83,0.19,0.57,0.02,1.02,0.13,0.22
84,0.18,0.57,0.01,1.03,0.13,0.22
85,0.18,0.58,0.01,1.03,0.14,0.22
86,0.18,0.57,0.02,1.03,0.13,0.22
87,0.17,0.57,0.01,1.03,0.13,0.22
88,0.18,0.58,0.02,1.03,0.12,0.22
89,0.18,0.57,0.02,1.02,0.14,0.22
90,0.18,0.57,0.01,1.03,0.13,0.22
91,0.18,0.56,0.01,1.03,0.14,0.22
92,0.18,0.58,0.01,1.03,0.13,0.22
93,0.18,0.57,0.02,1.02,0.13,0.22
94,0.18,0.58,0.01,1.03,0.12,0.22
95,0.18,0.57,0.02,1.02,0.13,0.22
96,0.18,0.58,0.02,1.03,0.13,0.22
97,0.18,0.57,0.02,1.03,0.13,0.23
98,0.18,0.57,0.03,1.03,0.13,0.23
99,0.18,0.56,0.00,1.03,0.12,0.23
100,0.18,0.57,0.02,1.03,0.13,0.22
101,0.18,0.56,0.02,1.03,0.13,0.23
102,0.18,0.57,0.02,1.02,0.13,0.22
103,0.17,0.56,0.02,1.03,0.14,0.23
104,0.17,0.56,0.01,1.02,0.15,0.22
105,0.18,0.57,0.01,1.02,0.13,0.22
