,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
1,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
2,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
3,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
4,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
5,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
6,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
7,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
8,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
9,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
10,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
11,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
12,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
13,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
14,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
15,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
16,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
17,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
18,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
19,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
20,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
21,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
22,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
23,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
24,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
25,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
26,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
27,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
28,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
29,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
30,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
31,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
32,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
33,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
34,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
35,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
36,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
37,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
38,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
39,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
40,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
41,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
42,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
43,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
44,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
45,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
46,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
47,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
48,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
49,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
50,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
51,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
52,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
53,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
54,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
55,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
56,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
57,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
58,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
59,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
60,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
61,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
62,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
63,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
64,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
65,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
66,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
67,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
68,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
69,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
70,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
71,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
72,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
73,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
74,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
75,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
76,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
77,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
78,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
79,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
80,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
81,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
82,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
83,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
84,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
85,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
86,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
87,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
88,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
89,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
90,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
91,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
92,0.21,5.915,3.157,4.48,17.112,5.296,10.04,4.264
93,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
94,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
95,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
96,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
97,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
98,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
99,0.24,7.985,4.283,6.835,27.389,7.769,14.436,5.708
100,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
101,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
102,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
103,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
104,0.23,7.255,3.885,5.972,23.568,6.874,12.855,5.2
105,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
106,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
107,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
108,0.22,6.566,3.51,5.188,20.152,6.051,11.391,4.719
