,volt,lpg,co,ch4
0,0.16,0.014,0.003,0.011
1,0.17,0.019,0.004,0.017
2,0.16,0.014,0.003,0.011
3,0.16,0.014,0.003,0.011
4,0.17,0.019,0.004,0.017
5,0.17,0.019,0.004,0.017
6,0.17,0.019,0.004,0.017
7,0.17,0.019,0.004,0.017
8,0.16,0.014,0.003,0.011
9,0.17,0.019,0.004,0.017
10,0.17,0.019,0.004,0.017
11,0.16,0.014,0.003,0.011
12,0.18,0.026,0.006,0.026
13,0.16,0.014,0.003,0.011
14,0.16,0.014,0.003,0.011
15,0.17,0.019,0.004,0.017
16,0.16,0.014,0.003,0.011
17,0.16,0.014,0.003,0.011
18,0.16,0.014,0.003,0.011
19,0.17,0.019,0.004,0.017
20,0.17,0.019,0.004,0.017
21,0.16,0.014,0.003,0.011
22,0.17,0.019,0.004,0.017
23,0.17,0.019,0.004,0.017
24,0.17,0.019,0.004,0.017
25,0.17,0.019,0.004,0.017
26,0.17,0.019,0.004,0.017
27,0.17,0.019,0.004,0.017
28,0.17,0.019,0.004,0.017
29,0.17,0.019,0.004,0.017
30,0.17,0.019,0.004,0.017
31,0.17,0.019,0.004,0.017
32,0.17,0.019,0.004,0.017
33,0.16,0.014,0.003,0.011
34,0.16,0.014,0.003,0.011
35,0.18,0.026,0.006,0.026
36,0.17,0.019,0.004,0.017
37,0.17,0.019,0.004,0.017
38,0.17,0.019,0.004,0.017
39,0.17,0.019,0.004,0.017
40,0.17,0.019,0.004,0.017
41,0.17,0.019,0.004,0.017
42,0.17,0.019,0.004,0.017
43,0.17,0.019,0.004,0.017
44,0.17,0.019,0.004,0.017
45,0.17,0.019,0.004,0.017
46,0.15,0.01,0.002,0.006
47,0.17,0.019,0.004,0.017
48,0.17,0.019,0.004,0.017
49,0.16,0.014,0.003,0.011
50,0.16,0.014,0.003,0.011
51,0.17,0.019,0.004,0.017
52,0.16,0.014,0.003,0.011
53,0.17,0.019,0.004,0.017
54,0.17,0.019,0.004,0.017
55,0.17,0.019,0.004,0.017
56,0.17,0.019,0.004,0.017
57,0.17,0.019,0.004,0.017
58,0.16,0.014,0.003,0.011
59,0.17,0.019,0.004,0.017
60,0.17,0.019,0.004,0.017
61,0.16,0.014,0.003,0.011
62,0.17,0.019,0.004,0.017
63,0.17,0.019,0.004,0.017
64,0.18,0.026,0.006,0.026
65,0.16,0.014,0.003,0.011
66,0.17,0.019,0.004,0.017
67,0.17,0.019,0.004,0.017
68,0.17,0.019,0.004,0.017
69,0.18,0.026,0.006,0.026
70,0.17,0.019,0.004,0.017
71,0.16,0.014,0.003,0.011
72,0.16,0.014,0.003,0.011
73,0.17,0.019,0.004,0.017
74,0.17,0.019,0.004,0.017
75,0.17,0.019,0.004,0.017
76,0.17,0.019,0.004,0.017
77,0.17,0.019,0.004,0.017
78,0.17,0.019,0.004,0.017
79,0.17,0.019,0.004,0.017
80,0.16,0.014,0.003,0.011
81,0.17,0.019,0.004,0.017
82,0.17,0.019,0.004,0.017
83,0.17,0.019,0.004,0.017
84,0.17,0.019,0.004,0.017
85,0.17,0.019,0.004,0.017
86,0.16,0.014,0.003,0.011
87,0.17,0.019,0.004,0.017
88,0.17,0.019,0.004,0.017
89,0.17,0.019,0.004,0.017
90,0.17,0.019,0.004,0.017
91,0.17,0.019,0.004,0.017
92,0.17,0.019,0.004,0.017
93,0.17,0.019,0.004,0.017
94,0.17,0.019,0.004,0.017
95,0.17,0.019,0.004,0.017
96,0.17,0.019,0.004,0.017
97,0.17,0.019,0.004,0.017
98,0.16,0.014,0.003,0.011
99,0.17,0.019,0.004,0.017
100,0.17,0.019,0.004,0.017
101,0.17,0.019,0.004,0.017
102,0.16,0.014,0.003,0.011
103,0.17,0.019,0.004,0.017
104,0.17,0.019,0.004,0.017
105,0.17,0.019,0.004,0.017
106,0.17,0.019,0.004,0.017
107,0.17,0.019,0.004,0.017
108,0.17,0.019,0.004,0.017
109,0.17,0.019,0.004,0.017
110,0.17,0.019,0.004,0.017
111,0.17,0.019,0.004,0.017
112,0.17,0.019,0.004,0.017
113,0.17,0.019,0.004,0.017
114,0.18,0.026,0.006,0.026
115,0.17,0.019,0.004,0.017
116,0.18,0.026,0.006,0.026
117,0.17,0.019,0.004,0.017
118,0.17,0.019,0.004,0.017
119,0.18,0.026,0.006,0.026
120,0.17,0.019,0.004,0.017
121,0.17,0.019,0.004,0.017
122,0.17,0.019,0.004,0.017
123,0.17,0.019,0.004,0.017
124,0.17,0.019,0.004,0.017
125,0.17,0.019,0.004,0.017
126,0.17,0.019,0.004,0.017
127,0.17,0.019,0.004,0.017
128,0.17,0.019,0.004,0.017
129,0.18,0.026,0.006,0.026
130,0.17,0.019,0.004,0.017
131,0.17,0.019,0.004,0.017
132,0.17,0.019,0.004,0.017
133,0.17,0.019,0.004,0.017
134,0.16,0.014,0.003,0.011
135,0.17,0.019,0.004,0.017
136,0.17,0.019,0.004,0.017
137,0.17,0.019,0.004,0.017
138,0.17,0.019,0.004,0.017
139,0.17,0.019,0.004,0.017
140,0.17,0.019,0.004,0.017
141,0.18,0.026,0.006,0.026
142,0.17,0.019,0.004,0.017
143,0.18,0.026,0.006,0.026
144,0.17,0.019,0.004,0.017
145,0.17,0.019,0.004,0.017
146,0.16,0.014,0.003,0.011
147,0.18,0.026,0.006,0.026
148,0.17,0.019,0.004,0.017
149,0.17,0.019,0.004,0.017
150,0.17,0.019,0.004,0.017
151,0.17,0.019,0.004,0.017
152,0.18,0.026,0.006,0.026
153,0.18,0.026,0.006,0.026
154,0.17,0.019,0.004,0.017
155,0.18,0.026,0.006,0.026
156,0.17,0.019,0.004,0.017
157,0.17,0.019,0.004,0.017
158,0.18,0.026,0.006,0.026
159,0.17,0.019,0.004,0.017
160,0.17,0.019,0.004,0.017
161,0.17,0.019,0.004,0.017
162,0.18,0.026,0.006,0.026
163,0.17,0.019,0.004,0.017
164,0.17,0.019,0.004,0.017
165,0.16,0.014,0.003,0.011
166,0.16,0.014,0.003,0.011
167,0.17,0.019,0.004,0.017
168,0.17,0.019,0.004,0.017
169,0.17,0.019,0.004,0.017
170,0.17,0.019,0.004,0.017
171,0.17,0.019,0.004,0.017
172,0.16,0.014,0.003,0.011
173,0.18,0.026,0.006,0.026
174,0.17,0.019,0.004,0.017
175,0.17,0.019,0.004,0.017
176,0.17,0.019,0.004,0.017
177,0.17,0.019,0.004,0.017
178,0.17,0.019,0.004,0.017
179,0.18,0.026,0.006,0.026
180,0.17,0.019,0.004,0.017
181,0.17,0.019,0.004,0.017
182,0.18,0.026,0.006,0.026
183,0.18,0.026,0.006,0.026
184,0.18,0.026,0.006,0.026
185,0.17,0.019,0.004,0.017
186,0.17,0.019,0.004,0.017
187,0.17,0.019,0.004,0.017
188,0.18,0.026,0.006,0.026
189,0.17,0.019,0.004,0.017
190,0.17,0.019,0.004,0.017
191,0.17,0.019,0.004,0.017
192,0.17,0.019,0.004,0.017
193,0.17,0.019,0.004,0.017
194,0.18,0.026,0.006,0.026
195,0.17,0.019,0.004,0.017
196,0.17,0.019,0.004,0.017
197,0.17,0.019,0.004,0.017
198,0.17,0.019,0.004,0.017
199,0.17,0.019,0.004,0.017
200,0.17,0.019,0.004,0.017
201,0.17,0.019,0.004,0.017
202,0.17,0.019,0.004,0.017
203,0.18,0.026,0.006,0.026
204,0.18,0.026,0.006,0.026
205,0.18,0.026,0.006,0.026
206,0.18,0.026,0.006,0.026
207,0.18,0.026,0.006,0.026
208,0.18,0.026,0.006,0.026
209,0.17,0.019,0.004,0.017
210,0.18,0.026,0.006,0.026
211,0.17,0.019,0.004,0.017
212,0.17,0.019,0.004,0.017
213,0.17,0.019,0.004,0.017
214,0.17,0.019,0.004,0.017
215,0.18,0.026,0.006,0.026
216,0.18,0.026,0.006,0.026
217,0.17,0.019,0.004,0.017
218,0.17,0.019,0.004,0.017
219,0.18,0.026,0.006,0.026
220,0.18,0.026,0.006,0.026
221,0.18,0.026,0.006,0.026
222,0.17,0.019,0.004,0.017
223,0.17,0.019,0.004,0.017
224,0.17,0.019,0.004,0.017
225,0.18,0.026,0.006,0.026
226,0.18,0.026,0.006,0.026
227,0.18,0.026,0.006,0.026
228,0.18,0.026,0.006,0.026
229,0.18,0.026,0.006,0.026
230,0.18,0.026,0.006,0.026
231,0.18,0.026,0.006,0.026
232,0.18,0.026,0.006,0.026
233,0.19,0.035,0.008,0.04
234,0.18,0.026,0.006,0.026
235,0.18,0.026,0.006,0.026
236,0.18,0.026,0.006,0.026
237,0.18,0.026,0.006,0.026
238,0.18,0.026,0.006,0.026
239,0.18,0.026,0.006,0.026
240,0.18,0.026,0.006,0.026
241,0.18,0.026,0.006,0.026
242,0.18,0.026,0.006,0.026
243,0.18,0.026,0.006,0.026
244,0.18,0.026,0.006,0.026
245,0.19,0.035,0.008,0.04
246,0.18,0.026,0.006,0.026
247,0.19,0.035,0.008,0.04
248,0.18,0.026,0.006,0.026
249,0.18,0.026,0.006,0.026
250,0.18,0.026,0.006,0.026
251,0.19,0.035,0.008,0.04
252,0.18,0.026,0.006,0.026
253,0.18,0.026,0.006,0.026
254,0.19,0.035,0.008,0.04
255,0.19,0.035,0.008,0.04
256,0.19,0.035,0.008,0.04
257,0.19,0.035,0.008,0.04
258,0.19,0.035,0.008,0.04
259,0.19,0.035,0.008,0.04
260,0.19,0.035,0.008,0.04
261,0.19,0.035,0.008,0.04
262,0.19,0.035,0.008,0.04
263,0.18,0.026,0.006,0.026
264,0.19,0.035,0.008,0.04
265,0.19,0.035,0.008,0.04
266,0.19,0.035,0.008,0.04
267,0.19,0.035,0.008,0.04
268,0.19,0.035,0.008,0.04
269,0.2,0.047,0.011,0.06
270,0.18,0.026,0.006,0.026
271,0.19,0.035,0.008,0.04
272,0.19,0.035,0.008,0.04
273,0.19,0.035,0.008,0.04
274,0.19,0.035,0.008,0.04
275,0.19,0.035,0.008,0.04
276,0.18,0.026,0.006,0.026
277,0.17,0.019,0.004,0.017
278,0.18,0.026,0.006,0.026
279,0.18,0.026,0.006,0.026
280,0.19,0.035,0.008,0.04
281,0.18,0.026,0.006,0.026
282,0.18,0.026,0.006,0.026
283,0.18,0.026,0.006,0.026
284,0.19,0.035,0.008,0.04
285,0.18,0.026,0.006,0.026
286,0.17,0.019,0.004,0.017
287,0.17,0.019,0.004,0.017
288,0.18,0.026,0.006,0.026
289,0.18,0.026,0.006,0.026
290,0.19,0.035,0.008,0.04
291,0.18,0.026,0.006,0.026
292,0.18,0.026,0.006,0.026
293,0.18,0.026,0.006,0.026
294,0.2,0.047,0.011,0.06
295,0.19,0.035,0.008,0.04
296,0.18,0.026,0.006,0.026
297,0.18,0.026,0.006,0.026
298,0.18,0.026,0.006,0.026
299,0.19,0.035,0.008,0.04
300,0.19,0.035,0.008,0.04
301,0.18,0.026,0.006,0.026
302,0.18,0.026,0.006,0.026
303,0.19,0.035,0.008,0.04
304,0.18,0.026,0.006,0.026
305,0.18,0.026,0.006,0.026
306,0.18,0.026,0.006,0.026
307,0.18,0.026,0.006,0.026
308,0.18,0.026,0.006,0.026
309,0.18,0.026,0.006,0.026
310,0.19,0.035,0.008,0.04
311,0.18,0.026,0.006,0.026
312,0.18,0.026,0.006,0.026
313,0.18,0.026,0.006,0.026
314,0.18,0.026,0.006,0.026
315,0.18,0.026,0.006,0.026
316,0.18,0.026,0.006,0.026
317,0.18,0.026,0.006,0.026
318,0.18,0.026,0.006,0.026
319,0.18,0.026,0.006,0.026
320,0.18,0.026,0.006,0.026
321,0.18,0.026,0.006,0.026
322,0.18,0.026,0.006,0.026
323,0.18,0.026,0.006,0.026
324,0.18,0.026,0.006,0.026
325,0.18,0.026,0.006,0.026
326,0.18,0.026,0.006,0.026
327,0.18,0.026,0.006,0.026
328,0.18,0.026,0.006,0.026
329,0.18,0.026,0.006,0.026
330,0.18,0.026,0.006,0.026
331,0.18,0.026,0.006,0.026
332,0.18,0.026,0.006,0.026
333,0.17,0.019,0.004,0.017
334,0.18,0.026,0.006,0.026
335,0.18,0.026,0.006,0.026
336,0.18,0.026,0.006,0.026
337,0.18,0.026,0.006,0.026
338,0.18,0.026,0.006,0.026
339,0.18,0.026,0.006,0.026
340,0.18,0.026,0.006,0.026
341,0.18,0.026,0.006,0.026
342,0.18,0.026,0.006,0.026
343,0.18,0.026,0.006,0.026
344,0.18,0.026,0.006,0.026
345,0.17,0.019,0.004,0.017
346,0.18,0.026,0.006,0.026
347,0.18,0.026,0.006,0.026
348,0.18,0.026,0.006,0.026
349,0.19,0.035,0.008,0.04
350,0.18,0.026,0.006,0.026
351,0.17,0.019,0.004,0.017
352,0.18,0.026,0.006,0.026
353,0.18,0.026,0.006,0.026
354,0.18,0.026,0.006,0.026
355,0.18,0.026,0.006,0.026
356,0.18,0.026,0.006,0.026
357,0.18,0.026,0.006,0.026
358,0.19,0.035,0.008,0.04
359,0.17,0.019,0.004,0.017
360,0.19,0.035,0.008,0.04
361,0.18,0.026,0.006,0.026
362,0.18,0.026,0.006,0.026
363,0.18,0.026,0.006,0.026
364,0.18,0.026,0.006,0.026
365,0.18,0.026,0.006,0.026
366,0.18,0.026,0.006,0.026
367,0.18,0.026,0.006,0.026
368,0.18,0.026,0.006,0.026
369,0.18,0.026,0.006,0.026
370,0.18,0.026,0.006,0.026
371,0.18,0.026,0.006,0.026
372,0.18,0.026,0.006,0.026
373,0.18,0.026,0.006,0.026
374,0.18,0.026,0.006,0.026
375,0.18,0.026,0.006,0.026
376,0.18,0.026,0.006,0.026
377,0.18,0.026,0.006,0.026
378,0.18,0.026,0.006,0.026
379,0.18,0.026,0.006,0.026
380,0.18,0.026,0.006,0.026
381,0.17,0.019,0.004,0.017
382,0.17,0.019,0.004,0.017
383,0.18,0.026,0.006,0.026
384,0.18,0.026,0.006,0.026
385,0.17,0.019,0.004,0.017
386,0.18,0.026,0.006,0.026
387,0.17,0.019,0.004,0.017
388,0.18,0.026,0.006,0.026
389,0.17,0.019,0.004,0.017
390,0.17,0.019,0.004,0.017
391,0.18,0.026,0.006,0.026
392,0.17,0.019,0.004,0.017
393,0.17,0.019,0.004,0.017
394,0.17,0.019,0.004,0.017
395,0.17,0.019,0.004,0.017
396,0.17,0.019,0.004,0.017
397,0.17,0.019,0.004,0.017
398,0.17,0.019,0.004,0.017
399,0.17,0.019,0.004,0.017
400,0.17,0.019,0.004,0.017
401,0.18,0.026,0.006,0.026
402,0.17,0.019,0.004,0.017
403,0.17,0.019,0.004,0.017
404,0.16,0.014,0.003,0.011
405,0.17,0.019,0.004,0.017
406,0.17,0.019,0.004,0.017
407,0.17,0.019,0.004,0.017
408,0.17,0.019,0.004,0.017
409,0.17,0.019,0.004,0.017
410,0.17,0.019,0.004,0.017
411,0.17,0.019,0.004,0.017
412,0.17,0.019,0.004,0.017
413,0.18,0.026,0.006,0.026
414,0.17,0.019,0.004,0.017
415,0.17,0.019,0.004,0.017
416,0.18,0.026,0.006,0.026
417,0.19,0.035,0.008,0.04
418,0.18,0.026,0.006,0.026
419,0.17,0.019,0.004,0.017
420,0.17,0.019,0.004,0.017
421,0.16,0.014,0.003,0.011
422,0.17,0.019,0.004,0.017
423,0.18,0.026,0.006,0.026
424,0.18,0.026,0.006,0.026
425,0.17,0.019,0.004,0.017
426,0.18,0.026,0.006,0.026
427,0.17,0.019,0.004,0.017
428,0.17,0.019,0.004,0.017
429,0.16,0.014,0.003,0.011
430,0.18,0.026,0.006,0.026
431,0.17,0.019,0.004,0.017
432,0.18,0.026,0.006,0.026
433,0.17,0.019,0.004,0.017
434,0.17,0.019,0.004,0.017
435,0.17,0.019,0.004,0.017
436,0.17,0.019,0.004,0.017
437,0.17,0.019,0.004,0.017
438,0.17,0.019,0.004,0.017
439,0.17,0.019,0.004,0.017
440,0.18,0.026,0.006,0.026
441,0.17,0.019,0.004,0.017
442,0.17,0.019,0.004,0.017
443,0.17,0.019,0.004,0.017
444,0.17,0.019,0.004,0.017
445,0.18,0.026,0.006,0.026
446,0.18,0.026,0.006,0.026
447,0.17,0.019,0.004,0.017
448,0.18,0.026,0.006,0.026
449,0.17,0.019,0.004,0.017
450,0.17,0.019,0.004,0.017
451,0.18,0.026,0.006,0.026
452,0.17,0.019,0.004,0.017
453,0.17,0.019,0.004,0.017
454,0.17,0.019,0.004,0.017
455,0.18,0.026,0.006,0.026
