,volt,co,h2,lpg,ch4,alcohol
0,0.13,1.031,0.774,0.236,0.843,4.334
1,0.11,0.802,0.604,0.088,0.205,1.256
2,0.12,0.914,0.687,0.147,0.427,2.393
3,0.12,0.914,0.687,0.147,0.427,2.393
4,0.12,0.914,0.687,0.147,0.427,2.393
5,0.12,0.914,0.687,0.147,0.427,2.393
6,0.12,0.914,0.687,0.147,0.427,2.393
7,0.12,0.914,0.687,0.147,0.427,2.393
8,0.12,0.914,0.687,0.147,0.427,2.393
9,0.12,0.914,0.687,0.147,0.427,2.393
10,0.11,0.802,0.604,0.088,0.205,1.256
11,0.12,0.914,0.687,0.147,0.427,2.393
12,0.11,0.802,0.604,0.088,0.205,1.256
13,0.12,0.914,0.687,0.147,0.427,2.393
14,0.12,0.914,0.687,0.147,0.427,2.393
15,0.12,0.914,0.687,0.147,0.427,2.393
16,0.12,0.914,0.687,0.147,0.427,2.393
17,0.12,0.914,0.687,0.147,0.427,2.393
18,0.11,0.802,0.604,0.088,0.205,1.256
19,0.12,0.914,0.687,0.147,0.427,2.393
20,0.12,0.914,0.687,0.147,0.427,2.393
21,0.12,0.914,0.687,0.147,0.427,2.393
22,0.11,0.802,0.604,0.088,0.205,1.256
23,0.11,0.802,0.604,0.088,0.205,1.256
24,0.12,0.914,0.687,0.147,0.427,2.393
25,0.11,0.802,0.604,0.088,0.205,1.256
26,0.11,0.802,0.604,0.088,0.205,1.256
27,0.11,0.802,0.604,0.088,0.205,1.256
28,0.11,0.802,0.604,0.088,0.205,1.256
29,0.12,0.914,0.687,0.147,0.427,2.393
30,0.11,0.802,0.604,0.088,0.205,1.256
31,0.12,0.914,0.687,0.147,0.427,2.393
32,0.11,0.802,0.604,0.088,0.205,1.256
33,0.12,0.914,0.687,0.147,0.427,2.393
34,0.12,0.914,0.687,0.147,0.427,2.393
35,0.12,0.914,0.687,0.147,0.427,2.393
36,0.11,0.802,0.604,0.088,0.205,1.256
37,0.11,0.802,0.604,0.088,0.205,1.256
38,0.1,0.696,0.525,0.05,0.091,0.621
39,0.11,0.802,0.604,0.088,0.205,1.256
40,0.12,0.914,0.687,0.147,0.427,2.393
41,0.12,0.914,0.687,0.147,0.427,2.393
42,0.12,0.914,0.687,0.147,0.427,2.393
43,0.12,0.914,0.687,0.147,0.427,2.393
44,0.11,0.802,0.604,0.088,0.205,1.256
45,0.12,0.914,0.687,0.147,0.427,2.393
46,0.12,0.914,0.687,0.147,0.427,2.393
47,0.11,0.802,0.604,0.088,0.205,1.256
48,0.11,0.802,0.604,0.088,0.205,1.256
49,0.11,0.802,0.604,0.088,0.205,1.256
50,0.11,0.802,0.604,0.088,0.205,1.256
51,0.12,0.914,0.687,0.147,0.427,2.393
52,0.12,0.914,0.687,0.147,0.427,2.393
53,0.11,0.802,0.604,0.088,0.205,1.256
54,0.12,0.914,0.687,0.147,0.427,2.393
55,0.12,0.914,0.687,0.147,0.427,2.393
56,0.11,0.802,0.604,0.088,0.205,1.256
57,0.11,0.802,0.604,0.088,0.205,1.256
58,0.11,0.802,0.604,0.088,0.205,1.256
59,0.12,0.914,0.687,0.147,0.427,2.393
60,0.11,0.802,0.604,0.088,0.205,1.256
