id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.17,0.59,0.00,1.16,0.12,0.20
2,0.17,0.59,0.00,1.15,0.12,0.21
3,0.17,0.58,0.00,1.14,0.11,0.22
4,0.17,0.60,0.00,1.16,0.12,0.19
5,0.17,0.59,0.00,1.15,0.12,0.21
6,0.17,0.59,0.00,1.15,0.13,0.21
7,0.16,0.58,0.00,1.15,0.12,0.21
8,0.16,0.58,0.00,1.14,0.12,0.19
9,0.16,0.59,0.00,1.14,0.13,0.20
10,0.16,0.58,0.00,1.15,0.12,0.21
11,0.17,0.58,0.00,1.14,0.12,0.20
12,0.17,0.58,0.00,1.15,0.12,0.21
13,0.17,0.59,0.00,1.15,0.12,0.22
14,0.17,0.58,0.00,1.14,0.12,0.20
15,0.17,0.59,0.00,1.15,0.12,0.20
16,0.16,0.58,0.00,1.14,0.13,0.20
17,0.17,0.59,0.00,1.15,0.12,0.20
18,0.17,0.59,0.00,1.15,0.12,0.21
19,0.17,0.59,0.00,1.15,0.12,0.20
20,0.17,0.59,0.00,1.15,0.12,0.20
21,0.17,0.59,0.00,1.15,0.12,0.21
22,0.17,0.59,0.00,1.15,0.12,0.21
23,0.18,0.59,0.00,1.14,0.11,0.20
24,0.17,0.59,0.00,1.15,0.12,0.21
25,0.16,0.59,0.00,1.15,0.11,0.21
26,0.17,0.60,0.00,1.15,0.12,0.21
27,0.17,0.59,0.00,1.15,0.12,0.21
28,0.17,0.58,0.00,1.15,0.11,0.19
29,0.17,0.59,0.00,1.16,0.14,0.20
30,0.17,0.59,0.00,1.15,0.12,0.21
31,0.17,0.59,0.00,1.14,0.14,0.22
32,0.18,0.59,0.00,1.15,0.13,0.20
33,0.17,0.59,0.00,1.16,0.12,0.21
34,0.17,0.60,0.00,1.14,0.14,0.20
35,0.17,0.59,0.00,1.15,0.11,0.20
36,0.17,0.59,0.00,1.15,0.12,0.21
37,0.17,0.59,0.00,1.15,0.11,0.19
38,0.17,0.59,0.00,1.15,0.12,0.21
39,0.17,0.59,0.00,1.16,0.12,0.21
40,0.17,0.59,0.00,1.15,0.12,0.21
41,0.17,0.58,0.00,1.16,0.12,0.21
42,0.17,0.58,0.00,1.15,0.13,0.21
43,0.17,0.59,0.00,1.15,0.12,0.21
44,0.17,0.59,0.00,1.15,0.12,0.19
45,0.17,0.59,0.00,1.15,0.12,0.21
46,0.17,0.59,0.00,1.15,0.12,0.21
47,0.16,0.59,0.00,1.16,0.12,0.20
48,0.16,0.59,0.00,1.15,0.11,0.21
49,0.17,0.59,0.00,1.15,0.12,0.21
50,0.16,0.59,0.00,1.15,0.12,0.21
51,0.17,0.59,0.00,1.16,0.11,0.21
52,0.17,0.59,0.00,1.16,0.10,0.20
53,0.17,0.59,0.00,1.15,0.12,0.22
54,0.16,0.58,0.00,1.15,0.12,0.21
55,0.17,0.59,0.00,1.15,0.12,0.19
56,0.17,0.59,0.00,1.15,0.11,0.21
57,0.17,0.59,0.00,1.15,0.12,0.21
58,0.17,0.59,0.00,1.14,0.11,0.21
59,0.17,0.60,0.00,1.16,0.10,0.20
60,0.17,0.59,0.00,1.15,0.12,0.21
61,0.18,0.58,0.00,1.15,0.12,0.20
62,0.17,0.59,0.00,1.15,0.12,0.21
63,0.17,0.59,0.00,1.15,0.13,0.19
64,0.17,0.59,0.00,1.16,0.11,0.20
65,0.17,0.58,0.00,1.16,0.12,0.22
66,0.17,0.59,0.00,1.16,0.12,0.22
67,0.18,0.60,0.00,1.15,0.13,0.20
68,0.17,0.59,0.00,1.15,0.12,0.21
69,0.16,0.58,0.00,1.16,0.13,0.20
70,0.17,0.59,0.00,1.16,0.13,0.21
71,0.17,0.59,0.00,1.15,0.12,0.21
72,0.17,0.59,0.00,1.15,0.12,0.22
73,0.17,0.59,0.00,1.15,0.12,0.21
74,0.17,0.59,0.00,1.15,0.11,0.20
75,0.17,0.60,0.00,1.14,0.12,0.20
76,0.17,0.59,0.00,1.15,0.12,0.21
77,0.17,0.59,0.00,1.16,0.12,0.20
78,0.17,0.59,0.00,1.16,0.12,0.21
79,0.18,0.59,0.00,1.16,0.12,0.21
80,0.17,0.59,0.00,1.14,0.14,0.21
81,0.17,0.59,0.00,1.15,0.12,0.22
82,0.17,0.59,0.00,1.15,0.12,0.21
83,0.18,0.59,0.00,1.16,0.11,0.20
84,0.17,0.59,0.00,1.14,0.11,0.22
85,0.17,0.59,0.00,1.16,0.12,0.21
86,0.17,0.59,0.00,1.15,0.13,0.22
87,0.17,0.59,0.00,1.15,0.12,0.20
88,0.17,0.59,0.00,1.16,0.11,0.21
89,0.17,0.59,0.00,1.15,0.12,0.20
90,0.17,0.59,0.00,1.16,0.12,0.20
91,0.17,0.58,0.00,1.15,0.11,0.20
92,0.17,0.60,0.00,1.15,0.12,0.22
93,0.18,0.59,0.00,1.16,0.12,0.21
94,0.17,0.59,0.00,1.15,0.11,0.21
95,0.17,0.60,0.00,1.16,0.12,0.19
96,0.17,0.58,0.00,1.15,0.12,0.21
97,0.17,0.59,0.00,1.15,0.12,0.21
98,0.17,0.59,0.00,1.15,0.13,0.22
99,0.17,0.59,0.00,1.15,0.12,0.20
100,0.17,0.59,0.00,1.16,0.12,0.21
101,0.16,0.59,0.00,1.16,0.11,0.22
102,0.17,0.59,0.00,1.15,0.11,0.20
103,0.17,0.59,0.00,1.15,0.12,0.21
104,0.16,0.60,0.00,1.14,0.14,0.19
105,0.17,0.58,0.00,1.15,0.12,0.20
106,0.17,0.59,0.00,1.15,0.12,0.21
107,0.17,0.59,0.00,1.15,0.11,0.22
108,0.17,0.59,0.00,1.15,0.12,0.21
109,0.17,0.59,0.00,1.15,0.12,0.20
110,0.17,0.59,0.00,1.15,0.12,0.21
111,0.17,0.59,0.00,1.15,0.11,0.22
112,0.17,0.59,0.00,1.14,0.12,0.19
113,0.17,0.59,0.00,1.16,0.11,0.20
114,0.17,0.59,0.00,1.15,0.12,0.21
115,0.16,0.59,0.00,1.15,0.14,0.19
116,0.18,0.59,0.00,1.15,0.12,0.21
117,0.17,0.59,0.00,1.15,0.12,0.22
118,0.16,0.59,0.00,1.15,0.10,0.21
119,0.17,0.60,0.00,1.15,0.13,0.21
120,0.16,0.59,0.00,1.15,0.13,0.20
121,0.17,0.59,0.00,1.15,0.11,0.21
122,0.17,0.59,0.00,1.15,0.12,0.21
123,0.17,0.59,0.00,1.16,0.13,0.20
124,0.17,0.59,0.00,1.15,0.11,0.20
125,0.18,0.59,0.00,1.16,0.11,0.21
126,0.17,0.59,0.00,1.16,0.12,0.19
127,0.17,0.59,0.00,1.15,0.12,0.21
128,0.17,0.58,0.00,1.15,0.13,0.21
129,0.17,0.59,0.00,1.16,0.13,0.20
130,0.17,0.59,0.00,1.15,0.12,0.21
131,0.17,0.59,0.00,1.16,0.12,0.21
132,0.17,0.59,0.00,1.16,0.12,0.21
133,0.17,0.58,0.00,1.16,0.13,0.21
134,0.18,0.58,0.00,1.15,0.11,0.19
135,0.17,0.59,0.00,1.15,0.12,0.21
136,0.17,0.59,0.00,1.15,0.13,0.20
137,0.17,0.59,0.00,1.15,0.13,0.21
138,0.17,0.59,0.00,1.15,0.12,0.21
139,0.18,0.60,0.00,1.15,0.12,0.21
140,0.17,0.59,0.00,1.15,0.12,0.20
141,0.17,0.58,0.00,1.15,0.12,0.21
142,0.17,0.59,0.00,1.14,0.13,0.21
143,0.17,0.58,0.00,1.15,0.12,0.20
144,0.17,0.59,0.00,1.15,0.12,0.20
145,0.17,0.59,0.00,1.14,0.12,0.20
146,0.17,0.58,0.00,1.15,0.12,0.21
147,0.17,0.59,0.00,1.15,0.13,0.20
148,0.17,0.59,0.00,1.15,0.12,0.21
149,0.17,0.59,0.00,1.16,0.13,0.22
150,0.17,0.59,0.00,1.14,0.12,0.22
151,0.17,0.58,0.00,1.15,0.12,0.20
152,0.17,0.59,0.00,1.15,0.12,0.20
153,0.17,0.59,0.00,1.15,0.10,0.21
154,0.17,0.59,0.00,1.15,0.12,0.21
155,0.17,0.58,0.00,1.15,0.13,0.21
156,0.16,0.57,0.00,1.15,0.10,0.21
157,0.17,0.58,0.00,1.14,0.11,0.20
158,0.17,0.59,0.00,1.15,0.12,0.22
159,0.16,0.59,0.00,1.14,0.13,0.20
160,0.17,0.58,0.00,1.15,0.11,0.21
161,0.16,0.58,0.00,1.15,0.12,0.21
162,0.17,0.59,0.00,1.14,0.12,0.21
163,0.17,0.59,0.00,1.15,0.12,0.21
164,0.17,0.59,0.00,1.15,0.12,0.21
165,0.17,0.58,0.00,1.14,0.12,0.20
166,0.17,0.58,0.00,1.15,0.12,0.21
167,0.17,0.58,0.00,1.15,0.12,0.21
168,0.17,0.58,0.00,1.15,0.12,0.22
169,0.17,0.59,0.00,1.15,0.13,0.20
170,0.17,0.59,0.00,1.14,0.11,0.22
171,0.17,0.59,0.00,1.16,0.13,0.21
172,0.17,0.58,0.00,1.15,0.11,0.21
173,0.17,0.59,0.00,1.14,0.13,0.20
174,0.17,0.59,0.00,1.15,0.12,0.20
175,0.17,0.59,0.00,1.14,0.12,0.21
176,0.17,0.58,0.00,1.15,0.12,0.20
177,0.17,0.58,0.00,1.14,0.14,0.21
178,0.17,0.59,0.00,1.14,0.12,0.21
179,0.17,0.59,0.00,1.15,0.12,0.21
180,0.17,0.59,0.00,1.14,0.12,0.21
181,0.17,0.59,0.01,1.15,0.10,0.21
