id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.17,0.63,0.00,1.29,0.13,0.23
2,0.18,0.64,0.00,1.28,0.13,0.22
3,0.17,0.63,0.00,1.28,0.14,0.22
4,0.18,0.63,0.01,1.29,0.16,0.23
5,0.17,0.63,0.00,1.28,0.15,0.22
6,0.17,0.63,0.00,1.28,0.14,0.21
7,0.17,0.63,0.00,1.28,0.14,0.22
8,0.17,0.63,0.01,1.28,0.13,0.22
9,0.18,0.63,0.00,1.27,0.14,0.22
10,0.17,0.63,0.00,1.28,0.14,0.22
11,0.18,0.63,0.01,1.28,0.13,0.22
12,0.17,0.62,0.00,1.27,0.13,0.21
13,0.18,0.62,0.00,1.27,0.15,0.21
14,0.17,0.63,0.00,1.26,0.13,0.21
15,0.18,0.62,0.00,1.27,0.14,0.22
16,0.17,0.63,0.00,1.27,0.14,0.22
17,0.17,0.63,0.00,1.27,0.14,0.22
18,0.18,0.63,0.01,1.27,0.14,0.22
19,0.17,0.63,0.00,1.26,0.13,0.22
20,0.17,0.63,0.00,1.27,0.14,0.22
21,0.17,0.62,0.00,1.27,0.14,0.22
22,0.18,0.63,0.00,1.27,0.14,0.22
23,0.17,0.63,0.01,1.27,0.14,0.21
24,0.18,0.63,0.00,1.26,0.14,0.22
25,0.17,0.62,0.00,1.25,0.13,0.22
26,0.17,0.62,0.00,1.26,0.15,0.22
27,0.17,0.62,0.01,1.26,0.13,0.22
28,0.18,0.62,0.00,1.26,0.14,0.22
29,0.17,0.61,0.00,1.25,0.14,0.21
30,0.18,0.63,0.00,1.25,0.15,0.21
31,0.17,0.61,0.01,1.26,0.14,0.23
32,0.17,0.62,0.00,1.26,0.15,0.22
33,0.17,0.61,0.00,1.26,0.13,0.22
34,0.17,0.62,0.00,1.26,0.15,0.21
35,0.17,0.62,0.00,1.26,0.14,0.22
36,0.17,0.61,0.00,1.26,0.14,0.22
37,0.18,0.61,0.00,1.26,0.13,0.21
38,0.17,0.62,0.00,1.26,0.14,0.22
39,0.17,0.62,0.00,1.25,0.14,0.22
40,0.18,0.62,0.00,1.25,0.13,0.22
41,0.17,0.61,0.01,1.25,0.14,0.21
42,0.17,0.61,0.00,1.25,0.14,0.22
43,0.17,0.60,0.00,1.25,0.13,0.21
44,0.17,0.62,0.00,1.25,0.14,0.21
45,0.17,0.62,0.00,1.25,0.14,0.21
46,0.17,0.62,0.00,1.25,0.14,0.22
47,0.17,0.62,0.00,1.25,0.13,0.22
48,0.17,0.61,0.00,1.24,0.14,0.23
49,0.17,0.62,0.00,1.25,0.14,0.21
50,0.17,0.62,0.00,1.25,0.13,0.21
51,0.17,0.62,0.01,1.25,0.14,0.23
52,0.17,0.62,0.01,1.24,0.14,0.22
53,0.17,0.62,0.00,1.24,0.14,0.21
54,0.18,0.61,0.00,1.25,0.14,0.22
55,0.17,0.61,0.00,1.25,0.14,0.21
56,0.17,0.61,0.00,1.24,0.14,0.21
57,0.18,0.60,0.00,1.25,0.14,0.22
58,0.18,0.62,0.00,1.25,0.13,0.21
59,0.17,0.61,0.00,1.24,0.14,0.21
60,0.17,0.61,0.01,1.24,0.14,0.21
61,0.18,0.62,0.00,1.24,0.14,0.19
62,0.17,0.61,0.01,1.24,0.14,0.21
63,0.17,0.60,0.00,1.23,0.15,0.21
64,0.18,0.60,0.00,1.24,0.13,0.21
65,0.17,0.61,0.01,1.24,0.13,0.21
66,0.17,0.61,0.00,1.24,0.14,0.21
67,0.17,0.61,0.00,1.25,0.14,0.22
68,0.17,0.61,0.00,1.23,0.13,0.21
69,0.17,0.61,0.00,1.23,0.14,0.22
70,0.17,0.61,0.01,1.23,0.13,0.21
71,0.17,0.60,0.00,1.25,0.15,0.22
72,0.17,0.61,0.00,1.23,0.14,0.22
73,0.17,0.61,0.00,1.24,0.13,0.20
74,0.17,0.61,0.00,1.23,0.15,0.22
75,0.17,0.60,0.00,1.23,0.14,0.21
76,0.17,0.61,0.00,1.23,0.14,0.22
77,0.17,0.60,0.01,1.23,0.13,0.22
78,0.18,0.61,0.00,1.22,0.14,0.21
79,0.17,0.61,0.01,1.23,0.14,0.21
80,0.17,0.60,0.00,1.23,0.15,0.22
81,0.17,0.61,0.01,1.23,0.14,0.22
82,0.17,0.60,0.01,1.23,0.14,0.20
83,0.17,0.60,0.00,1.23,0.14,0.22
84,0.17,0.60,0.00,1.22,0.14,0.21
85,0.16,0.61,0.01,1.23,0.13,0.22
86,0.18,0.61,0.00,1.23,0.14,0.22
87,0.17,0.61,0.00,1.23,0.14,0.22
88,0.17,0.61,0.00,1.23,0.14,0.22
89,0.16,0.60,0.00,1.22,0.14,0.22
90,0.17,0.61,0.00,1.23,0.14,0.22
91,0.17,0.61,0.01,1.22,0.14,0.22
92,0.17,0.60,0.00,1.22,0.14,0.22
93,0.17,0.60,0.00,1.22,0.14,0.21
94,0.18,0.60,0.00,1.22,0.14,0.22
95,0.17,0.61,0.00,1.23,0.13,0.21
96,0.18,0.61,0.01,1.24,0.15,0.22
97,0.17,0.60,0.00,1.22,0.14,0.22
98,0.17,0.60,0.00,1.23,0.14,0.22
99,0.17,0.60,0.00,1.23,0.14,0.21
100,0.17,0.61,0.00,1.22,0.15,0.22
101,0.17,0.60,0.00,1.22,0.14,0.22
102,0.18,0.61,0.00,1.22,0.13,0.21
103,0.17,0.60,0.00,1.22,0.14,0.22
104,0.17,0.60,0.00,1.22,0.14,0.21
105,0.17,0.61,0.01,1.21,0.14,0.20
106,0.17,0.60,0.00,1.22,0.15,0.21
107,0.17,0.60,0.00,1.22,0.15,0.22
108,0.18,0.59,0.00,1.22,0.14,0.22
109,0.18,0.60,0.01,1.22,0.13,0.21
110,0.17,0.60,0.00,1.22,0.14,0.22
111,0.17,0.60,0.00,1.22,0.14,0.22
112,0.18,0.61,0.01,1.22,0.14,0.22
113,0.17,0.61,0.00,1.22,0.14,0.22
114,0.18,0.61,0.00,1.22,0.14,0.22
115,0.18,0.62,0.01,1.21,0.15,0.22
116,0.17,0.59,0.00,1.23,0.14,0.22
117,0.18,0.60,0.00,1.22,0.14,0.22
118,0.16,0.59,0.00,1.22,0.13,0.22
119,0.18,0.60,0.00,1.22,0.12,0.22
120,0.17,0.60,0.00,1.22,0.14,0.22
121,0.18,0.61,0.00,1.21,0.14,0.20
122,0.17,0.60,0.00,1.22,0.13,0.21
123,0.18,0.60,0.00,1.21,0.14,0.21
124,0.18,0.60,0.00,1.22,0.14,0.22
125,0.17,0.61,0.00,1.22,0.13,0.22
126,0.17,0.61,0.00,1.21,0.14,0.22
127,0.18,0.60,0.00,1.22,0.14,0.22
128,0.18,0.61,0.00,1.22,0.12,0.22
129,0.18,0.60,0.00,1.21,0.13,0.22
130,0.17,0.60,0.00,1.21,0.14,0.22
131,0.17,0.60,0.00,1.21,0.14,0.22
132,0.18,0.60,0.00,1.21,0.13,0.22
133,0.17,0.60,0.00,1.21,0.14,0.21
134,0.18,0.60,0.00,1.21,0.14,0.22
135,0.17,0.60,0.00,1.20,0.12,0.22
136,0.16,0.59,0.00,1.21,0.15,0.21
137,0.17,0.60,0.00,1.21,0.14,0.22
138,0.17,0.59,0.01,1.21,0.14,0.21
139,0.18,0.60,0.00,1.21,0.14,0.21
140,0.17,0.60,0.01,1.21,0.14,0.22
141,0.17,0.61,0.00,1.22,0.14,0.22
142,0.18,0.60,0.00,1.21,0.15,0.21
143,0.17,0.60,0.00,1.21,0.13,0.21
144,0.17,0.60,0.00,1.21,0.14,0.21
145,0.18,0.60,0.01,1.21,0.13,0.21
146,0.17,0.60,0.00,1.21,0.13,0.21
147,0.17,0.60,0.00,1.21,0.14,0.21
148,0.17,0.59,0.00,1.21,0.15,0.21
149,0.17,0.61,0.00,1.22,0.15,0.22
150,0.18,0.60,0.00,1.21,0.14,0.21
151,0.17,0.59,0.00,1.21,0.15,0.22
152,0.18,0.61,0.02,1.21,0.14,0.22
153,0.18,0.60,0.00,1.20,0.14,0.21
154,0.18,0.59,0.01,1.20,0.14,0.22
155,0.17,0.60,0.00,1.21,0.14,0.20
156,0.18,0.60,0.00,1.20,0.13,0.22
157,0.18,0.60,0.00,1.20,0.15,0.19
158,0.18,0.60,0.00,1.21,0.14,0.21
159,0.17,0.60,0.00,1.21,0.14,0.22
160,0.17,0.60,0.00,1.20,0.14,0.22
161,0.18,0.60,0.00,1.20,0.14,0.21
162,0.17,0.60,0.01,1.20,0.14,0.22
163,0.18,0.60,0.00,1.20,0.14,0.22
164,0.17,0.60,0.00,1.21,0.14,0.22
165,0.18,0.60,0.01,1.19,0.14,0.21
166,0.17,0.60,0.01,1.20,0.14,0.22
167,0.17,0.59,0.00,1.20,0.15,0.22
168,0.17,0.59,0.01,1.20,0.13,0.21
169,0.17,0.60,0.00,1.20,0.14,0.21
170,0.16,0.61,0.00,1.20,0.15,0.22
171,0.17,0.59,0.00,1.19,0.14,0.23
172,0.18,0.60,0.00,1.20,0.14,0.21
173,0.17,0.60,0.01,1.20,0.12,0.22
174,0.18,0.59,0.00,1.20,0.14,0.22
175,0.17,0.60,0.00,1.20,0.14,0.21
176,0.17,0.60,0.00,1.20,0.14,0.21
177,0.18,0.60,0.00,1.20,0.13,0.21
178,0.17,0.60,0.00,1.20,0.14,0.21
179,0.17,0.60,0.00,1.20,0.14,0.22
180,0.18,0.60,0.01,1.20,0.14,0.22
181,0.17,0.59,0.01,1.18,0.13,0.22
182,0.17,0.60,0.00,1.20,0.15,0.22
183,0.18,0.60,0.02,1.19,0.14,0.22
184,0.18,0.61,0.00,1.20,0.14,0.22
185,0.17,0.60,0.00,1.23,0.14,0.22
186,0.17,0.61,0.01,1.23,0.13,0.22
187,0.17,0.62,0.01,1.22,0.13,0.22
188,0.18,0.62,0.00,1.23,0.14,0.22
189,0.18,0.62,0.00,1.23,0.16,0.22
190,0.18,0.62,0.01,1.23,0.15,0.22
191,0.18,0.62,0.01,1.23,0.14,0.21
192,0.18,0.62,0.00,1.23,0.14,0.22
193,0.18,0.62,0.01,1.24,0.14,0.21
194,0.17,0.62,0.00,1.23,0.14,0.21
195,0.18,0.63,0.00,1.24,0.14,0.22
196,0.19,0.63,0.00,1.24,0.13,0.22
197,0.18,0.63,0.01,1.25,0.14,0.21
198,0.18,0.63,0.00,1.25,0.15,0.22
199,0.18,0.63,0.00,1.25,0.14,0.22
200,0.18,0.63,0.00,1.25,0.15,0.22
201,0.18,0.64,0.01,1.25,0.15,0.22
202,0.18,0.64,0.00,1.26,0.14,0.22
203,0.17,0.65,0.00,1.28,0.15,0.22
204,0.18,0.65,0.01,1.30,0.14,0.22
205,0.17,0.65,0.00,1.31,0.14,0.23
206,0.18,0.65,0.01,1.33,0.14,0.25
207,0.18,0.66,0.00,1.34,0.13,0.23
208,0.18,0.66,0.00,1.35,0.15,0.23
209,0.17,0.67,0.01,1.36,0.14,0.22
210,0.17,0.66,0.00,1.36,0.14,0.22
211,0.18,0.66,0.01,1.37,0.15,0.24
212,0.18,0.66,0.00,1.39,0.14,0.23
213,0.18,0.66,0.01,1.43,0.14,0.25
214,0.19,0.65,0.00,1.49,0.14,0.26
215,0.18,0.66,0.00,1.52,0.12,0.25
216,0.18,0.66,0.00,1.55,0.15,0.27
217,0.18,0.66,0.01,1.56,0.14,0.27
218,0.19,0.66,0.01,1.57,0.14,0.28
219,0.18,0.66,0.01,1.58,0.14,0.27
220,0.18,0.66,0.00,1.57,0.14,0.27
221,0.18,0.66,0.00,1.55,0.15,0.26
222,0.18,0.66,0.01,1.54,0.14,0.29
223,0.17,0.66,0.00,1.52,0.14,0.27
224,0.16,0.66,0.00,1.52,0.14,0.28
225,0.17,0.65,0.01,1.51,0.14,0.28
226,0.18,0.65,0.00,1.51,0.14,0.28
227,0.18,0.66,0.00,1.50,0.16,0.28
228,0.18,0.66,0.00,1.51,0.14,0.27
229,0.18,0.66,0.00,1.50,0.14,0.28
230,0.18,0.66,0.00,1.49,0.15,0.27
231,0.18,0.67,0.00,1.50,0.15,0.27
232,0.18,0.66,0.00,1.51,0.15,0.28
233,0.18,0.67,0.00,1.50,0.15,0.28
234,0.18,0.67,0.01,1.51,0.14,0.27
235,0.18,0.66,0.00,1.51,0.14,0.28
236,0.18,0.67,0.00,1.51,0.15,0.28
237,0.18,0.67,0.00,1.51,0.15,0.30
238,0.18,0.67,0.00,1.51,0.14,0.27
239,0.17,0.67,0.00,1.51,0.14,0.28
240,0.17,0.68,0.01,1.51,0.15,0.26
241,0.18,0.68,0.00,1.52,0.14,0.27
242,0.17,0.68,0.00,1.52,0.15,0.28
243,0.18,0.68,0.00,1.53,0.14,0.27
244,0.18,0.68,0.01,1.54,0.14,0.29
245,0.17,0.69,0.01,1.54,0.15,0.29
246,0.18,0.68,0.00,1.55,0.15,0.28
247,0.18,0.69,0.01,1.55,0.15,0.28
248,0.18,0.69,0.00,1.55,0.15,0.28
249,0.17,0.68,0.00,1.56,0.15,0.28
250,0.19,0.70,0.00,1.56,0.15,0.29
251,0.18,0.69,0.00,1.57,0.15,0.27
252,0.17,0.70,0.01,1.57,0.14,0.27
253,0.18,0.70,0.00,1.58,0.14,0.27
254,0.16,0.70,0.01,1.59,0.15,0.28
255,0.18,0.70,0.00,1.59,0.14,0.28
256,0.18,0.70,0.01,1.60,0.14,0.28
257,0.18,0.70,0.00,1.61,0.14,0.28
258,0.17,0.72,0.00,1.62,0.14,0.28
259,0.17,0.71,0.00,1.61,0.14,0.28
260,0.18,0.72,0.01,1.61,0.17,0.29
261,0.17,0.71,0.01,1.62,0.16,0.28
262,0.18,0.72,0.00,1.62,0.14,0.28
263,0.18,0.73,0.00,1.61,0.15,0.28
264,0.17,0.73,0.00,1.62,0.15,0.28
265,0.18,0.73,0.01,1.63,0.15,0.28
266,0.19,0.72,0.00,1.61,0.15,0.30
267,0.18,0.74,0.01,1.62,0.14,0.27
268,0.18,0.74,0.00,1.63,0.16,0.28
269,0.18,0.74,0.01,1.62,0.16,0.28
270,0.18,0.75,0.01,1.63,0.14,0.28
271,0.17,0.76,0.00,1.62,0.15,0.28
272,0.18,0.77,0.00,1.63,0.12,0.25
273,0.17,0.78,0.00,1.63,0.13,0.28
274,0.18,0.79,0.00,1.64,0.14,0.27
275,0.18,0.80,0.00,1.64,0.14,0.27
276,0.18,0.81,0.00,1.65,0.14,0.27
277,0.17,0.83,0.00,1.65,0.14,0.26
278,0.18,0.83,0.00,1.65,0.14,0.27
279,0.18,0.83,0.00,1.65,0.14,0.28
280,0.18,0.83,0.00,1.65,0.14,0.27
281,0.18,0.84,0.00,1.65,0.13,0.25
282,0.17,0.84,0.00,1.65,0.15,0.27
283,0.18,0.85,0.00,1.65,0.15,0.27
284,0.18,0.85,0.01,1.64,0.13,0.26
285,0.18,0.85,0.01,1.65,0.15,0.25
286,0.18,0.86,0.00,1.66,0.14,0.26
287,0.19,0.86,0.00,1.66,0.16,0.28
288,0.18,0.87,0.01,1.67,0.14,0.25
289,0.18,0.87,0.00,1.67,0.15,0.27
290,0.18,0.87,0.01,1.66,0.12,0.24
291,0.18,0.88,0.01,1.66,0.13,0.26
292,0.18,0.89,0.00,1.67,0.15,0.26
293,0.18,0.89,0.01,1.68,0.14,0.26
294,0.18,0.89,0.00,1.67,0.13,0.25
295,0.18,0.91,0.00,1.66,0.13,0.27
296,0.18,0.90,0.01,1.67,0.14,0.27
297,0.18,0.91,0.01,1.67,0.14,0.26
298,0.18,0.90,0.00,1.67,0.13,0.26
299,0.18,0.91,0.00,1.69,0.12,0.27
300,0.18,0.91,0.00,1.68,0.14,0.26
301,0.17,0.91,0.00,1.68,0.16,0.25
302,0.17,0.92,0.00,1.68,0.13,0.24
303,0.18,0.92,0.00,1.68,0.15,0.24
304,0.18,0.92,0.00,1.69,0.14,0.26
305,0.18,0.91,0.00,1.69,0.14,0.28
306,0.18,0.91,0.01,1.69,0.14,0.25
307,0.18,0.91,0.01,1.70,0.13,0.26
308,0.18,0.91,0.00,1.69,0.16,0.27
309,0.18,0.92,0.01,1.69,0.14,0.26
310,0.18,0.91,0.01,1.69,0.14,0.26
311,0.17,0.92,0.00,1.70,0.16,0.25
312,0.18,0.91,0.01,1.69,0.13,0.27
313,0.18,0.93,0.01,1.70,0.14,0.26
