id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
1,0.24,0.12,0.17,0.16,0.04,0.17
2,0.24,0.12,0.18,0.15,0.03,0.17
3,0.24,0.12,0.18,0.16,0.03,0.18
4,0.24,0.11,0.18,0.15,0.03,0.18
5,0.24,0.12,0.17,0.15,0.03,0.17
6,0.24,0.12,0.17,0.15,0.03,0.17
7,0.23,0.11,0.18,0.15,0.04,0.16
8,0.24,0.12,0.18,0.15,0.03,0.17
9,0.24,0.11,0.18,0.15,0.03,0.18
10,0.24,0.12,0.18,0.15,0.03,0.17
11,0.24,0.12,0.17,0.15,0.03,0.18
12,0.24,0.12,0.18,0.15,0.04,0.17
13,0.24,0.12,0.17,0.15,0.03,0.17
14,0.24,0.12,0.17,0.15,0.03,0.17
15,0.23,0.12,0.17,0.15,0.03,0.17
16,0.23,0.12,0.17,0.16,0.03,0.18
17,0.24,0.12,0.18,0.16,0.03,0.17
18,0.24,0.11,0.17,0.15,0.03,0.17
19,0.23,0.13,0.17,0.15,0.03,0.16
20,0.24,0.11,0.18,0.16,0.03,0.18
21,0.24,0.13,0.18,0.15,0.03,0.17
22,0.24,0.12,0.18,0.15,0.03,0.17
23,0.24,0.13,0.17,0.15,0.03,0.17
24,0.24,0.12,0.18,0.15,0.03,0.16
25,0.24,0.12,0.18,0.16,0.04,0.17
26,0.24,0.12,0.18,0.15,0.03,0.17
27,0.23,0.11,0.18,0.15,0.03,0.17
28,0.23,0.12,0.18,0.15,0.03,0.17
29,0.24,0.12,0.17,0.15,0.03,0.17
30,0.24,0.12,0.18,0.15,0.03,0.17
31,0.24,0.12,0.18,0.15,0.03,0.16
32,0.23,0.12,0.17,0.15,0.03,0.17
33,0.24,0.12,0.18,0.15,0.03,0.17
34,0.23,0.12,0.18,0.15,0.03,0.17
35,0.23,0.11,0.18,0.16,0.03,0.16
36,0.24,0.12,0.18,0.15,0.03,0.17
37,0.24,0.12,0.18,0.15,0.03,0.17
38,0.23,0.11,0.17,0.15,0.04,0.17
39,0.24,0.12,0.17,0.15,0.03,0.16
40,0.24,0.12,0.18,0.15,0.03,0.16
41,0.24,0.12,0.18,0.15,0.03,0.17
42,0.24,0.12,0.18,0.15,0.03,0.17
43,0.23,0.12,0.17,0.15,0.03,0.17
44,0.24,0.12,0.17,0.15,0.03,0.17
45,0.24,0.12,0.18,0.15,0.03,0.17
46,0.23,0.11,0.18,0.15,0.04,0.18
47,0.24,0.11,0.17,0.15,0.03,0.16
48,0.24,0.12,0.18,0.15,0.03,0.17
49,0.25,0.12,0.17,0.15,0.03,0.17
50,0.24,0.11,0.18,0.15,0.02,0.16
51,0.23,0.12,0.18,0.14,0.03,0.17
52,0.24,0.11,0.17,0.15,0.03,0.17
53,0.24,0.12,0.17,0.15,0.04,0.17
54,0.24,0.12,0.18,0.15,0.03,0.17
55,0.23,0.10,0.18,0.16,0.04,0.18
56,0.24,0.12,0.18,0.15,0.03,0.17
57,0.24,0.12,0.18,0.15,0.03,0.17
58,0.24,0.12,0.17,0.15,0.03,0.17
59,0.24,0.12,0.18,0.15,0.03,0.17
60,0.24,0.12,0.18,0.15,0.03,0.17
61,0.24,0.12,0.17,0.15,0.04,0.17
62,0.24,0.11,0.18,0.15,0.03,0.17
63,0.24,0.12,0.17,0.15,0.03,0.17
64,0.23,0.11,0.18,0.15,0.03,0.17
65,0.24,0.12,0.17,0.15,0.03,0.17
66,0.24,0.12,0.17,0.15,0.04,0.17
67,0.24,0.12,0.17,0.15,0.03,0.17
68,0.24,0.11,0.17,0.15,0.03,0.16
69,0.23,0.12,0.18,0.15,0.03,0.16
70,0.24,0.11,0.17,0.15,0.03,0.17
71,0.24,0.12,0.17,0.15,0.03,0.17
72,0.24,0.12,0.18,0.15,0.03,0.16
73,0.24,0.11,0.18,0.16,0.03,0.17
74,0.24,0.12,0.18,0.15,0.03,0.17
75,0.24,0.12,0.17,0.15,0.03,0.17
76,0.24,0.13,0.16,0.14,0.03,0.16
77,0.24,0.11,0.17,0.15,0.03,0.17
78,0.23,0.11,0.18,0.14,0.04,0.17
79,0.24,0.12,0.17,0.15,0.03,0.17
80,0.24,0.12,0.18,0.15,0.03,0.15
81,0.24,0.12,0.17,0.16,0.03,0.17
82,0.24,0.11,0.18,0.15,0.03,0.17
83,0.24,0.12,0.18,0.15,0.03,0.17
84,0.24,0.12,0.17,0.15,0.02,0.17
85,0.24,0.12,0.17,0.15,0.03,0.17
86,0.24,0.11,0.18,0.15,0.03,0.17
87,0.24,0.12,0.18,0.15,0.03,0.17
88,0.24,0.12,0.17,0.15,0.03,0.17
89,0.25,0.12,0.18,0.15,0.02,0.16
90,0.24,0.11,0.17,0.15,0.03,0.16
91,0.24,0.12,0.18,0.15,0.04,0.17
92,0.24,0.12,0.17,0.15,0.03,0.17
93,0.24,0.11,0.18,0.15,0.03,0.17
94,0.23,0.12,0.18,0.15,0.03,0.16
95,0.24,0.12,0.17,0.15,0.03,0.17
96,0.24,0.12,0.17,0.15,0.03,0.17
97,0.24,0.11,0.17,0.16,0.03,0.16
98,0.24,0.12,0.18,0.15,0.03,0.17
99,0.24,0.12,0.18,0.15,0.03,0.17
100,0.24,0.12,0.18,0.15,0.03,0.17
101,0.24,0.12,0.17,0.15,0.02,0.18
102,0.24,0.12,0.18,0.14,0.03,0.17
103,0.24,0.12,0.18,0.15,0.04,0.17
104,0.24,0.12,0.17,0.15,0.04,0.17
105,0.24,0.12,0.18,0.15,0.03,0.17
106,0.24,0.12,0.18,0.15,0.04,0.16
107,0.24,0.12,0.17,0.15,0.03,0.18
108,0.24,0.12,0.17,0.15,0.03,0.17
109,0.24,0.12,0.18,0.15,0.03,0.17
110,0.24,0.12,0.18,0.15,0.03,0.17
111,0.24,0.11,0.17,0.16,0.03,0.16
112,0.25,0.12,0.17,0.14,0.03,0.17
113,0.24,0.12,0.18,0.14,0.04,0.17
114,0.24,0.12,0.17,0.15,0.03,0.17
115,0.24,0.12,0.17,0.15,0.03,0.18
116,0.24,0.11,0.18,0.15,0.04,0.16
117,0.24,0.12,0.17,0.15,0.04,0.16
118,0.24,0.12,0.17,0.15,0.03,0.17
119,0.24,0.12,0.18,0.15,0.03,0.17
120,0.24,0.12,0.17,0.15,0.03,0.17
121,0.24,0.12,0.18,0.15,0.03,0.17
122,0.24,0.12,0.17,0.16,0.03,0.17
123,0.24,0.11,0.17,0.15,0.03,0.17
124,0.24,0.12,0.18,0.15,0.03,0.17
125,0.24,0.11,0.17,0.16,0.03,0.17
126,0.24,0.11,0.17,0.15,0.03,0.17
127,0.24,0.11,0.17,0.15,0.03,0.18
128,0.24,0.12,0.18,0.15,0.03,0.17
129,0.23,0.11,0.17,0.15,0.03,0.17
130,0.24,0.12,0.18,0.15,0.03,0.17
131,0.23,0.12,0.17,0.15,0.03,0.16
132,0.24,0.12,0.17,0.15,0.04,0.18
133,0.24,0.12,0.19,0.15,0.03,0.16
134,0.24,0.12,0.18,0.16,0.03,0.16
135,0.24,0.12,0.18,0.15,0.03,0.17
136,0.24,0.12,0.18,0.17,0.04,0.17
137,0.25,0.12,0.18,0.15,0.03,0.17
138,0.24,0.12,0.17,0.16,0.03,0.17
139,0.24,0.12,0.17,0.15,0.03,0.17
140,0.24,0.11,0.17,0.15,0.03,0.17
141,0.24,0.12,0.18,0.15,0.03,0.17
142,0.24,0.12,0.18,0.15,0.03,0.16
143,0.24,0.12,0.17,0.15,0.03,0.17
144,0.24,0.11,0.18,0.15,0.03,0.16
145,0.24,0.12,0.17,0.15,0.03,0.17
146,0.24,0.12,0.18,0.15,0.03,0.17
147,0.24,0.12,0.16,0.16,0.03,0.17
148,0.24,0.12,0.17,0.16,0.03,0.16
149,0.24,0.12,0.17,0.15,0.03,0.17
150,0.24,0.12,0.17,0.15,0.03,0.16
151,0.24,0.12,0.18,0.15,0.03,0.17
152,0.23,0.11,0.18,0.15,0.03,0.18
153,0.24,0.12,0.18,0.15,0.03,0.17
154,0.24,0.12,0.18,0.15,0.03,0.18
155,0.24,0.11,0.17,0.15,0.03,0.17
156,0.24,0.12,0.18,0.15,0.03,0.17
157,0.24,0.12,0.18,0.16,0.03,0.16
158,0.24,0.12,0.18,0.15,0.03,0.17
159,0.24,0.12,0.18,0.15,0.03,0.17
160,0.24,0.12,0.17,0.15,0.03,0.17
161,0.24,0.12,0.18,0.15,0.03,0.17
